geo,avg_residual,rank
CY,9.361661862472543,1
PT,6.513443070841514,2
LU,6.212534773197764,3
CZ,4.611018460614292,4
BE,3.974824310250775,5
LV,3.061115523927294,6
EL,2.2749727095649503,7
HR,2.1872892807956728,8
FR,2.1120521236589678,9
HU,1.9368818546360054,10
NL,1.6870890558443814,11
IT,1.3880291451544007,12
MT,1.2792569500482638,13
AT,1.031635865567746,14
SE,0.9012827266729497,15
PL,0.5855769079161156,16
DK,0.5596337995874937,17
BG,0.27669103289509495,18
SK,-1.0036690506848167,19
LT,-3.245054575768335,20
ES,-3.3009596717852205,21
IE,-4.237242099747742,22
EE,-5.285842179438115,23
RO,-5.410309712034734,24
SI,-6.189754592679764,25
DE,-8.942084091858904,26
FI,-11.000753443428218,27
