geo,avg_residual,rank
CY,8.854473536223434,1
LU,6.521934222708419,2
PT,5.913108858377933,3
CZ,5.884858196206826,4
MT,4.09624716540822,5
BE,3.607293678226518,6
HR,3.5935102799622443,7
LV,3.039804856108808,8
IT,2.2994982003690807,9
DK,1.368001648761878,10
NL,1.2486169699767218,11
HU,1.2335843858660724,12
BG,1.0241045540465263,13
AT,0.6515163395125685,14
SK,0.6014726135511872,15
PL,-0.09117676898309987,16
SE,-0.1140823561113951,17
FR,-1.6364472745387673,18
EL,-1.7532604673754477,19
IE,-2.5645143125256538,20
ES,-3.385566746579048,21
LT,-3.92702930380934,22
RO,-6.072244193469238,23
DE,-6.123583746430319,24
SI,-6.868933736312142,25
EE,-7.155256562438316,26
FI,-11.77398328846416,27
