geo,avg_residual,rank
CY,8.92396404184252,1
LU,8.244884572263073,2
PT,6.515155102794618,3
CZ,4.900885067635694,4
BE,4.37945426891779,5
IT,3.09226314977113,6
EL,2.96538334326396,7
LV,2.9406337143600965,8
HR,2.939904836542324,9
MT,2.4463266010101257,10
BG,2.3416486301654516,11
NL,1.542608393459751,12
HU,1.4993854396045134,13
SK,1.4758304205467858,14
AT,1.184194978970557,15
PL,0.9034460277411961,16
FR,-0.14199709651322934,17
DK,-0.5231666506155224,18
SE,-1.2563804700237964,19
LT,-3.418361406904572,20
IE,-3.4646731767637435,21
SI,-5.2641964854715635,22
DE,-5.521917217843983,23
ES,-5.96704655888609,24
EE,-6.015668980042534,25
RO,-6.999132852322674,26
FI,-12.408658066757113,27
