geo,avg_residual,rank
CY,9.045714559641748,1
LU,8.320124319805231,2
PT,6.731182472634428,3
CZ,5.078929899303206,4
BE,4.253739305891291,5
EL,3.536826540322515,6
IT,3.317707387002445,7
LV,2.81655250835254,8
HR,2.7896266433242234,9
MT,2.5224448703934756,10
HU,1.6916433647776408,11
NL,1.449783303287192,12
BG,1.3016876844457954,13
AT,1.1003330615347062,14
PL,1.0564340701897748,15
SK,0.9341274248283777,16
FR,-0.014025690481333127,17
DK,-0.6808825676103847,18
SE,-1.2389326305937183,19
LT,-3.7555250662362964,20
IE,-3.7865732667517245,21
EE,-5.419647549982963,22
SI,-5.6312446027114955,23
ES,-6.243060449246993,24
DE,-6.54879593290084,25
RO,-6.770004645519023,26
FI,-12.216913192395932,27
