geo,avg_residual,rank
CY,8.902296854078433,1
LU,8.348339446948916,2
PT,6.591672792957271,3
CZ,5.036365063764381,4
BE,4.270330528349254,5
EL,3.8557776582365313,6
IT,3.2483872496269455,7
LV,2.9055619449118812,8
MT,2.624579359555804,9
HR,2.526789656873876,10
HU,1.6303451752295621,11
NL,1.5300803873214899,12
BG,1.4666942188623053,13
AT,1.2431267431699333,14
SK,1.126055315633094,15
PL,0.9287597573503781,16
FR,-0.15948996286110054,17
DK,-0.8038468985591891,18
SE,-1.368269971629859,19
LT,-3.3560025652352024,20
IE,-3.5273898527318934,21
SI,-5.2845915930069145,22
EE,-5.454794201181346,23
DE,-5.604640467953953,24
ES,-6.050525482576734,25
RO,-6.2583842090603214,26
FI,-11.91709620312626,27
