geo,avg_residual,rank
CY,8.062117487156916,1
LU,8.026584033934292,2
PT,6.777081840836546,3
CZ,6.35608407093091,4
MT,5.95010234248162,5
IT,5.733364934965154,6
SK,4.996253529244759,7
BE,4.51234074399082,8
HR,3.7424751322291825,9
EL,3.6116771509531254,10
LV,2.0973086030885972,11
AT,0.6186655662916474,12
NL,0.5375648242301583,13
BG,-0.2510533647980706,14
HU,-0.5725829994694113,15
DK,-0.6700323364313112,16
PL,-0.8879559280308136,17
IE,-1.5436777093656366,18
SE,-2.660947610167775,19
ES,-3.05473362898346,20
LT,-4.343190926253561,21
FR,-4.557739363631153,22
DE,-6.036575237352579,23
RO,-6.476337720872209,24
SI,-6.796489832750784,25
EE,-9.23285765686251,26
FI,-13.025673798266917,27
