geo,avg_residual,rank
EL,11.594035696823827,1
LU,10.687242152179554,2
CY,8.070549962525625,3
PT,7.9950251156379935,4
IT,7.428499920637243,5
SK,6.119077405601935,6
BE,5.716677731271405,7
CZ,4.9466028520022505,8
MT,3.902548710122004,9
HR,2.1304221041082108,10
LV,1.6732616438805141,11
AT,1.4951779022394887,12
NL,0.8572429609744349,13
HU,0.5422463843281538,14
BG,0.3031509595159285,15
PL,0.021959727897877635,16
FR,-1.6142874067221737,17
IE,-2.978737217618657,18
LT,-3.808473514004769,19
DK,-3.9320707287189576,20
SE,-4.3620357979597015,21
SI,-4.656790649951298,22
DE,-5.954306879615276,23
ES,-7.420154067786856,24
EE,-7.681200351664873,25
RO,-7.8657696570744715,26
FI,-13.837676623926262,27
