geo,avg_residual,rank
EL,10.791536185388,1
LU,8.353819379357514,2
CY,7.907284480762874,3
PT,7.029742462343043,4
MT,5.453265361225643,5
BE,5.366090303569512,6
IT,5.323559076865822,7
SK,5.106041082923653,8
CZ,4.346257476335908,9
LV,4.115990003859704,10
AT,3.142931294321497,11
NL,2.1116716640620936,12
BG,1.887184052697254,13
HR,0.5915731089015832,14
HU,0.43435425372641595,15
PL,-0.9381910743267102,16
FR,-1.64483471127562,17
LT,-1.8573564092963823,18
IE,-2.2100871739876515,19
DK,-3.4854726985036373,20
SI,-4.055395184870014,21
DE,-4.960776198961047,22
SE,-5.422505172485202,23
ES,-5.5266118393782815,24
EE,-7.549842092588935,25
RO,-10.470871836986445,26
FI,-13.443253164552289,27
