geo,avg_residual,rank
EL,13.010239016748693,1
LU,10.94121481820914,2
CY,9.423544221404981,3
PT,8.732742472149766,4
IT,8.19155534108801,5
SK,5.980720580291269,6
BE,5.844728995167719,7
CZ,5.163848214388788,8
MT,3.821789855104787,9
HR,2.2859520593983182,10
AT,1.9246711362681672,11
LV,1.3884947646649095,12
HU,0.9367138847847212,13
PL,0.710978232175816,14
NL,0.6813161843385995,15
BG,0.41142314003199054,16
FR,-1.2157827176688376,17
IE,-2.9752603025593283,18
LT,-4.092252316386728,19
SE,-4.5162834449445235,20
SI,-4.927038547376754,21
DK,-5.354169924437741,22
DE,-6.452634866863766,23
ES,-7.807087232246457,24
EE,-7.830849121596671,25
RO,-8.131107429922052,26
FI,-13.943435716583185,27
