geo,avg_residual,rank
LU,9.788132630209436,1
CY,7.717580604195217,2
PT,7.533946365092731,3
EL,7.09563593455367,4
IT,6.459299327537536,5
SK,6.412799630656528,6
BE,5.859652275002509,7
CZ,4.157010913704366,8
HR,3.5293008802050165,9
MT,2.899594520334016,10
BG,2.8276248758119564,11
LV,1.953361071866554,12
AT,1.2225848089730542,13
NL,0.9901881082252093,14
HU,0.12518321603584362,15
PL,0.008435359554731648,16
FR,-1.200754467184333,17
DK,-2.562344010112228,18
IE,-2.705355209818491,19
SE,-3.4954853995824493,20
LT,-3.9857197981921373,21
SI,-4.723943610626813,22
ES,-5.5643940006063035,23
DE,-5.748703287482472,24
EE,-8.676842677942052,25
RO,-9.389455532267629,26
FI,-14.339124803708268,27
