geo,r,n,rank
PT,0.9046880157614979,9,1
AT,0.8281231177612398,9,2
IE,0.6160746635440645,9,3
EE,0.576376822972115,9,4
NL,0.48972746421768587,9,5
SK,0.47883332832957115,9,6
BG,0.432858163427542,9,7
BE,0.4123734599883784,9,8
CY,0.40379458130204277,9,9
SE,0.299077997225766,9,10
DE,0.29787516999237856,9,11
PL,0.28775127245962684,9,12
LT,0.22120605580064345,9,13
FI,0.2028318301349141,9,14
LV,0.19743244454776676,9,15
CZ,0.16716391414329668,9,16
FR,0.057830127853473905,9,17
SI,0.035903659953643,9,18
DK,-0.05197210906721639,9,19
ES,-0.09058122360890698,9,20
EL,-0.0924882229289227,9,21
IT,-0.1043869357062101,9,22
HR,-0.14428705485620663,9,23
HU,-0.20581404868931585,9,24
MT,-0.341068356193337,9,25
LU,-0.5577918597555533,9,26
RO,-0.6247481999393375,9,27
