geo,r,n,rank
FR,0.8116769754594668,9,1
SI,0.7714818840314055,9,2
EL,0.7066781320292581,9,3
EE,0.5648523562954217,9,4
BG,0.49236468279559187,9,5
RO,0.4857591500845785,9,6
IE,0.414475749423773,9,7
ES,0.3451892537112468,9,8
LT,0.3167114024867772,9,9
CY,0.2940897154185828,9,10
FI,0.22592159927731756,9,11
PT,0.18472745288986797,9,12
IT,0.15214883774204124,9,13
SE,0.11821134695559517,9,14
AT,0.10546966155017556,9,15
BE,0.09389346542763535,9,16
SK,0.06190325761459968,9,17
LU,-0.014807895633571155,9,18
CZ,-0.1392674552905346,9,19
PL,-0.15773737767701201,9,20
HR,-0.3079201188067461,9,21
DK,-0.31917167154162257,9,22
HU,-0.329715836475718,9,23
DE,-0.3542459542160381,9,24
MT,-0.42776885732414244,9,25
NL,-0.4375996873024039,9,26
LV,-0.4746499462358632,9,27
