geo,r,n,rank
FI,0.836355113268658,9,1
DE,0.7096698268723434,9,2
HU,0.636429083704082,9,3
NL,0.6170582543084514,9,4
BG,0.615223990658035,9,5
IT,0.5933112325749277,9,6
LV,0.5058835965439997,9,7
IE,0.43067319912375795,9,8
ES,0.3973899806748783,9,9
PT,0.3273921440582616,9,10
CZ,0.3249494824550987,9,11
AT,0.3109060477586685,9,12
DK,0.29491488588398934,9,13
LT,0.258954716495414,9,14
SI,0.24012700164444742,9,15
EE,0.1692668726637308,9,16
SK,0.1006276859837632,9,17
BE,0.09514393888532105,9,18
RO,0.07416916032005222,9,19
SE,0.06427310943741033,9,20
HR,0.0020716734113093577,9,21
MT,2.6146916915881224e-05,9,22
FR,-0.0032536184089114184,9,23
CY,-0.10331592828328395,9,24
PL,-0.1850747121563944,9,25
LU,-0.27817291834416097,6,26
EL,-0.33681309101187773,9,27
