geo,r,n,rank
CZ,0.7356999942072606,9,1
LT,0.589264321927493,9,2
SI,0.5185394753070043,9,3
LV,0.4800098212692683,9,4
SE,0.4376140491002557,9,5
EE,0.42543827016395863,9,6
PT,0.4072790524724903,9,7
BG,0.3746197106723167,9,8
PL,0.2794818725361925,9,9
DE,0.2647621062812845,9,10
IE,0.23543833728761274,9,11
NL,0.22346469106966546,9,12
HU,0.22325892708238618,9,13
DK,0.12473325449381661,9,14
RO,0.11119361816156456,9,15
SK,0.045385481059584704,9,16
AT,0.022364258342641385,9,17
BE,0.0037955986873806635,9,18
FI,-0.016048851247776524,9,19
ES,-0.08553627399762333,9,20
CY,-0.10814901061802186,9,21
EL,-0.1681040515496151,9,22
FR,-0.20243290891991356,7,23
IT,-0.24692368085699445,9,24
HR,-0.42028417952715585,9,25
LU,-0.4377675955724776,9,26
MT,-0.4966855839272215,9,27
