geo,r,n,rank
RO,0.6632656734420508,9,1
LU,0.614104375585123,9,2
LT,0.48785656290135077,9,3
HU,0.4542999165526115,9,4
MT,0.4077280789021638,9,5
CZ,0.31141425729440836,9,6
HR,0.27767229249785863,9,7
IE,0.25801956890287614,9,8
EE,0.25487184134047774,9,9
ES,0.24866993732242193,9,10
LV,0.18238535811349874,9,11
FR,0.17343426790728556,9,12
SK,0.13573506307947403,9,13
IT,0.09832661046532379,9,14
EL,0.07342457375223854,9,15
SI,0.04699107718089501,9,16
SE,0.044252304927409114,9,17
FI,-0.00537938362165568,9,18
DE,-0.07155458916851506,9,19
CY,-0.15827432377672923,9,20
DK,-0.2021087550981831,9,21
AT,-0.24134539385972695,9,22
BG,-0.3084786332050875,9,23
PT,-0.35901800982241316,9,24
NL,-0.4315420210504563,9,25
BE,-0.5219943965565311,9,26
