geo,r,n,rank
PT,0.6310581608916139,9,1
CY,0.4607166750145608,9,2
AT,0.4211195539810506,9,3
BE,0.3204799204609036,9,4
NL,0.25630198835461615,9,5
BG,0.1700285087076112,9,6
EL,0.1334523341080591,9,7
IE,0.12019063526888452,9,8
DE,-0.021703075598504068,9,9
IT,-0.08112058405105288,9,10
ES,-0.16270739523582328,9,11
SE,-0.16545709861249513,9,12
LU,-0.1831295711084185,9,13
HR,-0.26516368953904224,9,14
SK,-0.30144862560787433,9,15
FR,-0.3100579061373196,9,16
DK,-0.31757126472852026,9,17
CZ,-0.3497938126509542,9,18
LV,-0.3543291790482248,9,19
LT,-0.4027708337451903,9,20
PL,-0.4568527994221351,9,21
EE,-0.4655483043055103,9,22
HU,-0.515226215051775,9,23
MT,-0.5265603497017902,9,24
SI,-0.5462515689517424,9,25
FI,-0.6466934556714306,9,26
RO,-0.7985905723736647,9,27
