geo,r,n,rank
LT,0.9017019261420415,9,1
CZ,0.8947659653182518,9,2
LV,0.8601068976374452,9,3
DE,0.784778083929284,9,4
NL,0.667746940238006,9,5
DK,0.618633883372892,9,6
FI,0.6167116733216172,9,7
FR,0.5653925948351303,9,8
PL,0.5531664839713585,9,9
HU,0.5022945866266213,9,10
PT,0.45026925731879375,9,11
ES,0.43867457894598394,9,12
IT,0.42554962621360826,9,13
IE,0.39643742538514537,9,14
HR,0.3911830367644146,9,15
SK,0.3850476300911076,9,16
SI,0.3798713296412517,9,17
AT,0.27727780247370726,9,18
EL,0.2659719363790356,9,19
RO,0.2531086508554147,9,20
MT,0.22508112208232225,9,21
BE,0.1712799121256024,9,22
EE,0.09465358201192661,9,23
LU,0.07415680276607692,9,24
BG,-0.030746132211206395,9,25
SE,-0.05427535994698293,9,26
CY,-0.3242281886908147,9,27
