geo,r,n,rank
LU,0.7376207091471856,9,1
RO,0.6547238194746219,9,2
FI,0.6241623098374037,9,3
CZ,0.4651651613692359,9,4
PL,0.4367905573152695,9,5
HU,0.4275812157886699,9,6
SK,0.3905070663487877,9,7
PT,0.31533068584793633,9,8
LV,0.3121522525407581,9,9
ES,0.3109084086023586,9,10
MT,0.2047870829053161,9,11
SI,0.18813446679360077,9,12
IE,0.1410077355685865,9,13
HR,0.011155209528295212,9,14
SE,0.00703719970913573,9,15
DK,-0.0049551994030101465,9,16
IT,-0.06689190734299735,9,17
EE,-0.08651706381273466,9,18
NL,-0.09327909777776511,9,19
DE,-0.1145873121285261,9,20
EL,-0.116878028847162,9,21
BE,-0.15165813142342818,9,22
BG,-0.1973802405472248,9,23
CY,-0.204859639151816,9,24
LT,-0.22813063595756855,9,25
FR,-0.25356678274320105,9,26
AT,-0.3633142512743801,9,27
