geo,r,n,rank
BE,0.8426996289961686,9,1
LV,0.8250401838270487,9,2
FI,0.8189240490413662,9,3
FR,0.8185127854855601,9,4
AT,0.7966237225644877,9,5
CZ,0.7934693444175365,9,6
CY,0.7539489472759948,9,7
PL,0.7233197571394409,9,8
IE,0.7200919771038553,9,9
PT,0.6950999870471266,9,10
DK,0.6736585313549346,9,11
NL,0.6564702826630477,9,12
LT,0.5876256829191977,9,13
ES,0.5805107275553569,9,14
SI,0.5421437818971604,9,15
LU,0.5097680128952177,9,16
MT,0.36565954894904334,9,17
DE,0.3109087896253242,9,18
RO,0.2908257464852647,9,19
EE,0.23577260868592173,9,20
SE,0.21265165232508013,9,21
SK,0.1496630261092245,9,22
IT,0.06556462013733394,9,23
EL,0.01645632487002549,9,24
BG,-0.028111038054719414,9,25
HU,-0.0778855502813671,9,26
HR,-0.41909237814133676,9,27
