geo,OWN_L,OWN_NL,RENT_FR,RENT_MKT,TOTAL,gap
NL,1.0,2.5,14.3,43.9,6.9,41.4
HU,10.1,6.7,14.8,43.8,9.0,37.099999999999994
PT,3.8,2.0,3.6,30.3,6.9,28.3
CZ,4.0,3.9,7.5,30.6,9.2,26.700000000000003
HR,2.4,3.1,6.3,29.2,3.7,26.099999999999998
ES,4.3,2.2,8.2,28.1,7.8,25.900000000000002
EE,6.6,5.6,11.6,30.8,8.6,25.200000000000003
RO,0.2,4.0,11.1,28.3,4.7,24.3
SK,3.8,5.9,12.3,29.1,6.4,23.200000000000003
DK,5.5,6.0,,28.7,14.6,22.7
BE,1.0,2.3,7.7,24.3,6.7,22.0
BG,13.7,7.0,10.3,27.8,8.0,20.8
MT,1.7,1.3,7.6,20.5,5.9,19.2
FR,1.1,1.4,12.2,20.2,7.0,18.8
LU,4.5,1.2,10.5,20.0,8.0,18.8
IE,1.3,1.0,7.4,18.3,4.5,17.3
IT,1.7,2.2,4.8,19.4,5.1,17.2
LT,4.9,5.2,11.2,21.8,6.2,16.6
CY,0.3,0.1,1.1,14.4,2.4,14.3
SI,3.5,2.6,3.5,16.5,3.8,13.9
AT,2.1,1.9,4.9,14.6,6.3,12.7
EL,20.9,25.7,37.6,37.4,28.9,11.7
FI,1.8,2.5,9.8,14.1,5.4,11.6
PL,5.0,4.4,7.0,15.1,5.2,10.7
LV,3.1,6.2,10.3,16.0,6.7,9.8
DE,14.5,6.8,8.8,13.8,12.0,7.000000000000001
SE,4.7,14.0,0.0,17.9,10.6,3.8999999999999986
