geo,time,weekly_actual_hours,weekly_hours_eu100,hourly_compensation_eur,hourly_compensation_nac,hourly_compensation_pps,hourly_comp_pps_eu100,hicp,real_hourly_comp_idx2008,real_hourly_shortfall,cum_real_hourly_shortfall,years_hourly_pay_below_2008,employee_weekly_hours,employee_weekly_hours_eu100,annual_hours_per_employee,annual_employee_hours_eu100,work_effort_squeeze,employee_lfs_effort_squeeze,matched_employee_effort_squeeze,low_hourly_reward_eu,full_time_weekly_hours,self_employed_weekly_hours,rank_weekly_actual_hours,rank_hourly_compensation_pps,rank_work_effort_squeeze,rank_matched_employee_effort_squeeze
AT,2024,33.9,94.16666666666667,41.4,41.4,36.5,123.3108108108108,134.21,113.95387045655983,0.0,0.0,0,33.0,93.4844192634561,1459.572323128315,94.32732419969436,76.36529680365298,75.81202219721372,76.49558346057405,-23.310810810810807,39.1,40.8,25,22,22,21
BE,2024,34.5,95.83333333333333,49.7,49.7,44.3,149.66216216216216,131.52,103.68913565960479,0.0,0.7155210283240194,1,33.1,93.76770538243626,1441.8718966049748,93.18340426870975,64.03310759969901,62.65291375440437,62.26250036916046,-49.66216216216216,37.8,43.2,23,26,26,26
BG,2024,39.0,108.33333333333333,10.7,10.7,17.4,58.783783783783775,137.63,273.7509711098318,0.0,0.0,0,38.9,110.19830028328613,1659.056647554604,107.21933526673439,184.2911877394636,187.46377519455575,182.39611056869762,41.216216216216225,39.2,39.9,2,2,2,7
CY,2024,38.0,105.55555555555556,18.8,18.8,20.8,70.27027027027027,117.09,106.90540572922139,0.0,35.44767020950228,7,38.2,108.21529745042496,1790.072447859495,115.68645243168176,150.21367521367523,153.99869252560472,164.6307207681625,29.729729729729726,39.5,36.2,7,10,10,10
CZ,2024,37.8,104.99999999999999,17.0,425.8,20.8,70.27027027027027,151.9,116.74487762182454,0.0,4.44386677642521,4,37.3,105.6657223796034,1757.407502657477,113.57542523062325,149.42307692307688,150.37045107866635,161.62656667434848,29.729729729729726,39.1,41.0,10,10,11,12
DE,2024,34.0,94.44444444444444,42.6,42.6,38.1,128.7162162162162,129.0,118.36570907432743,0.0,0.0,0,33.5,94.90084985835695,1308.3118427285647,84.55186042364245,73.37416156313795,73.72874424691248,65.68858447611068,-28.716216216216196,38.9,39.5,24,24,23,25
DK,2024,33.9,94.16666666666667,49.1,366.1,38.0,128.3783783783784,119.1,114.09789948832773,0.0,0.0,0,33.5,94.90084985835695,1356.848016455875,87.68859254855421,73.35087719298247,73.92276725808856,68.30479840624221,-28.378378378378386,37.9,38.9,25,23,24,23
EE,2024,36.5,101.38888888888889,19.6,19.6,21.3,71.95945945945945,155.1,152.08906566413313,0.0,6.364056287165454,3,36.7,103.9660056657224,1694.2937416821385,109.49659193223425,140.89723526343246,144.47858064344524,152.16427799033494,28.040540540540547,38.6,34.8,15,13,14,13
EL,2024,39.8,110.55555555555554,11.6,11.6,14.2,47.97297297297297,119.31,72.18623487167616,27.813765128323837,296.99639388017704,14,38.0,107.6487252124646,1899.6173121684246,122.76597412878611,230.45383411580596,224.39452579499664,255.90653762056826,52.02702702702703,41.1,45.4,1,1,1,1
ES,2024,36.4,101.11111111111111,25.6,25.6,28.6,96.62162162162161,123.33,105.97700191688024,0.0,9.103643908017432,7,35.3,100.0,1582.313152533741,102.25965740744535,104.64646464646465,103.49650349650351,105.83516990420917,3.378378378378386,38.9,43.1,16,18,18,18
EU27_2020,2024,36.0,100.0,29.6,29.6,29.6,100.0,129.67,107.76329657335289,0.0,0.0,0,35.3,100.0,1547.3483802406477,99.99999999999999,100.0,100.0,99.99999999999999,0.0,38.8,40.8,,,,
FI,2024,34.9,96.94444444444444,35.9,35.9,29.8,100.67567567567568,119.83,103.66559318614758,0.0,0.0,0,34.4,97.45042492917848,1507.0513597607792,97.39573705608551,96.2938105891126,96.79639523166722,96.74207439127956,-0.6756756756756772,37.2,38.7,22,19,19,19
FR,2024,35.8,99.44444444444443,39.3,39.3,36.2,122.2972972972973,123.29,102.91733572616043,0.0,0.0,0,34.9,98.86685552407933,1407.9046427783092,90.98821317532565,81.31368937998771,80.84140672687148,74.39920193341544,-22.297297297297305,38.3,41.6,18,21,21,22
HR,2024,37.8,104.99999999999999,13.6,13.6,19.1,64.52702702702703,132.04,113.88393341336894,0.0,81.24257644136684,11,37.6,106.51558073654392,1951.673758772816,126.13020982833139,162.7225130890052,165.07126648176438,195.46880685437742,35.47297297297297,38.3,39.3,10,6,7,3
HU,2024,37.4,103.88888888888889,12.3,4859.6,17.4,58.783783783783775,166.56,120.63012403257792,0.0,78.08234422516108,10,37.3,105.6657223796034,1646.507364216926,106.40831665593348,176.73052362707537,179.75318289863569,181.01644672503627,41.216216216216225,38.1,38.5,14,2,4,8
IE,2024,35.1,97.5,41.3,41.3,34.9,117.9054054054054,119.4,127.46913580246913,0.0,0.0,0,34.4,97.45042492917848,1605.311656518737,103.7459745341301,82.69340974212035,82.65136326371585,87.9908551922708,-17.905405405405403,38.3,41.3,21,20,20,20
IT,2024,36.1,100.27777777777777,26.0,26.0,27.2,91.89189189189189,122.3,92.39574816026166,7.604251839738339,26.549800099713508,10,35.0,99.1501416430595,1628.465071686078,105.24230305736417,109.12581699346406,107.89868355274123,114.52838862124925,8.108108108108112,38.8,40.5,17,15,16,15
LT,2024,38.3,106.38888888888887,15.7,15.7,20.0,67.56756756756756,150.79,154.74804447986367,0.0,46.59690401881603,5,38.6,109.34844192634561,1881.7326994189118,121.61015085214747,157.45555555555552,161.83569405099152,179.98302326117826,32.432432432432435,39.4,36.1,5,9,9,9
LU,2024,35.7,99.16666666666669,60.1,60.1,46.2,156.08108108108107,124.77,119.00327714105066,0.0,0.0,0,35.7,101.1331444759207,1478.7395736793326,95.56604010852135,63.53535353535355,64.79526139582799,61.22845859766737,-56.08108108108107,38.1,36.6,19,27,27,27
LV,2024,38.3,106.38888888888887,14.5,14.5,18.3,61.82432432432432,145.32,144.3481053307643,0.0,69.53792802712259,6,38.6,109.34844192634561,1844.0609327983952,119.17554936863036,172.08257437765633,176.86961098469018,192.76482302248408,38.17567567567568,39.5,36.3,5,5,5,5
MT,2024,37.5,104.16666666666667,19.4,19.4,21.0,70.94594594594594,122.94,149.87658985675324,0.0,0.0,0,37.2,105.38243626062325,1777.497592467097,114.87378118369543,146.82539682539687,148.53905301497375,161.9173296684469,29.054054054054063,39.1,39.8,12,12,12,11
NL,2024,32.1,89.16666666666667,45.0,45.0,38.6,130.4054054054054,131.92,103.04207881131973,0.0,1.5886696219847636,1,31.2,88.38526912181304,1368.6788475052706,88.45317996794039,68.37651122625218,67.77730481879964,67.82938152981957,-30.40540540540539,37.6,36.6,27,25,25,24
PL,2024,38.9,108.05555555555556,12.7,54.7,17.6,59.45945945945947,148.7,158.85468421175895,0.0,0.05013691233754969,1,38.2,108.21529745042496,1973.2503572876005,127.52463391474359,181.72979797979798,181.9984548029874,214.47324794752328,40.54054054054053,39.9,42.1,3,4,3,2
PT,2024,37.5,104.16666666666667,15.8,15.8,19.3,65.2027027027027,122.15,113.2171240123881,0.0,29.9241973851137,8,37.1,105.09915014164307,1947.1617555671794,125.83861400781326,159.7582037996546,161.18833389599143,192.9960090482525,34.797297297297305,38.9,40.5,12,7,8,4
RO,2024,38.8,107.77777777777777,11.7,58.0,19.3,65.2027027027027,149.91,189.41114668801282,0.0,61.00287813016109,7,39.0,110.4815864022663,1886.5420658059143,121.92096427001877,165.29648819804262,169.4432620469991,186.98759287008065,34.797297297297305,39.2,38.0,4,7,6,6
SE,2024,35.7,99.16666666666669,32.6,373.3,27.6,93.24324324324324,128.98,117.94247796345229,0.0,0.0,0,35.5,100.56657223796034,1588.3397608947166,102.64913714180473,106.35265700483093,107.85400500882703,110.08748041295,6.756756756756758,38.2,38.2,19,16,17,16
SI,2024,38.0,105.55555555555556,24.9,24.9,28.4,95.94594594594594,127.87,126.83813918153479,0.0,10.268685730705897,5,37.5,106.23229461756375,1581.3007945773777,102.1942320663075,110.01564945226919,110.72098312253124,106.51229820995431,4.054054054054063,39.5,41.4,7,17,15,17
SK,2024,37.9,105.27777777777777,17.2,17.2,21.4,72.29729729729729,143.17,144.51668180019092,0.0,0.0,0,37.3,105.6657223796034,1552.2215866209674,100.31493918516023,145.61786085150572,146.15445712318976,138.75337382620293,27.70270270270271,38.6,41.5,9,14,13,14
