geo,avg_residual_loo,candidate_coef,candidate_p,rank
BG,30.627995815591674,0.2510027289791744,1.650056261458031e-48,1
EL,22.30839491300667,0.15738294205980302,0.029046883571639502,2
SK,14.692206206218833,0.22200695950614632,1.292079785755323e-09,3
CY,14.147834144059024,0.21444600246931697,4.80691013546585e-08,4
IE,4.967056116338521,0.2202075159711386,3.4607623875834047e-09,5
CZ,3.9885999512046033,0.2178666415336626,8.119800942685445e-09,6
IT,3.6767018597897403,0.22139070876549927,1.2535641666111805e-08,7
FR,3.3949849751146495,0.22076208194472166,3.8287640952374216e-09,8
PT,2.7445010116278334,0.21875464254991098,6.32229257480622e-09,9
BE,2.448578643812987,0.21943272543215872,4.938753986777618e-09,10
ES,2.2167817911115972,0.2204160267960616,3.402979244944372e-08,11
SI,1.543283536891315,0.21866086724712647,5.351614951478948e-09,12
PL,1.5035513502370308,0.21931193135829316,6.083103951592339e-09,13
HR,-0.7601299035810101,0.2205036973270444,1.7469357486752e-09,14
MT,-1.1869686929191454,0.21851258688977915,1.395578828947858e-08,15
HU,-1.4470638823054511,0.22072799312663127,6.531125698968764e-08,16
RO,-3.291819504382122,0.21989918810656772,7.185521318245226e-10,17
AT,-4.527886261771945,0.21786505517522836,9.716157972663049e-09,18
DK,-4.592245667023255,0.2186892807795209,6.516829698060903e-09,19
NL,-6.507707148357869,0.2176264414970223,9.17398849959085e-09,20
FI,-8.063381202097364,0.21842836700631582,8.079646697618084e-09,21
LU,-8.541353641242848,0.21412495114912145,4.204589263470749e-08,22
LV,-9.975627775283169,0.22404056273656686,4.775405208266662e-12,23
SE,-10.172549345774316,0.21429709397514551,3.0057781126442415e-08,24
DE,-10.801556821159117,0.21416684817059312,2.822906875509274e-08,25
EE,-13.265781721120726,0.20792757850099045,1.3089751121275875e-07,26
LT,-14.186020760350981,0.22036344139538094,1.0928680414496157e-10,27
