geo,time,subjective_poverty_employed,arop_employed,arope_employed,subjective_poverty_population_status_table,weekly_actual_hours,weekly_hours_eu100,hourly_compensation_eur,hourly_compensation_nac,hourly_compensation_pps,hourly_comp_pps_eu100,hicp,real_hourly_comp_idx2008,real_hourly_shortfall,cum_real_hourly_shortfall,years_hourly_pay_below_2008,employee_weekly_hours,employee_weekly_hours_eu100,annual_hours_per_employee,annual_employee_hours_eu100,work_effort_squeeze,employee_lfs_effort_squeeze,matched_employee_effort_squeeze,low_hourly_reward_eu,employed_subjective_minus_arop,employed_subjective_minus_arope,rank_subjective_poverty_employed_worst,rank_arop_employed_worst,rank_arope_employed_worst
AT,2025,8.6,8.9,9.8,11.3,,,,,,,,,,,,,,,,,,,,-0.3000000000000007,-1.200000000000001,19,9,15
BE,2025,9.1,4.1,5.2,14.5,,,,,,,,,,,,,,,,,,,,5.0,3.8999999999999995,18,25,25
BG,2025,27.0,11.5,16.3,35.5,,,,,,,,,,,,,,,,,,,,15.5,10.7,2,1,1
CY,2025,13.5,6.8,7.4,17.5,,,,,,,,,,,,,,,,,,,,6.7,6.1,11,18,22
CZ,2025,9.5,4.0,4.7,12.4,,,,,,,,,,,,,,,,,,,,5.5,4.8,16,26,27
DE,2025,5.6,6.8,9.6,7.3,,,,,,,,,,,,,,,,,,,,-1.2000000000000002,-4.0,24,18,16
DK,2025,8.2,5.9,8.4,11.3,,,,,,,,,,,,,,,,,,,,2.299999999999999,-0.20000000000000107,20,21,19
EE,2025,9.3,10.1,11.5,12.8,,,,,,,,,,,,,,,,,,,,-0.7999999999999989,-2.1999999999999993,17,5,6
EL,2025,59.8,9.9,16.0,66.7,,,,,,,,,,,,,,,,,,,,49.9,43.8,1,6,2
ES,2025,18.2,11.2,15.9,19.7,,,,,,,,,,,,,,,,,,,,7.0,2.299999999999999,4,2,4
EU27_2020,2025,13.6,8.3,10.9,16.9,,,,,,,,,,,,,,,,,,,,5.299999999999999,2.6999999999999993,,,
FI,2025,6.1,3.1,4.9,8.6,,,,,,,,,,,,,,,,,,,,2.9999999999999996,1.1999999999999993,23,27,26
FR,2025,18.5,8.7,11.2,19.7,,,,,,,,,,,,,,,,,,,,9.8,7.300000000000001,3,10,8
HR,2025,12.3,7.9,8.3,20.2,,,,,,,,,,,,,,,,,,,,4.4,4.0,13,16,20
HU,2025,14.8,8.1,11.3,19.4,,,,,,,,,,,,,,,,,,,,6.700000000000001,3.5,9,15,7
IE,2025,11.0,5.7,7.8,14.2,,,,,,,,,,,,,,,,,,,,5.3,3.2,15,22,21
IT,2025,17.7,10.2,12.0,21.7,,,,,,,,,,,,,,,,,,,,7.5,5.699999999999999,5,4,5
LT,2025,5.4,8.4,9.9,12.4,,,,,,,,,,,,,,,,,,,,-3.0,-4.5,26,13,13
LU,2025,5.5,9.5,11.0,6.4,,,,,,,,,,,,,,,,,,,,-4.0,-5.5,25,7,9
LV,2025,14.5,8.7,10.5,21.2,,,,,,,,,,,,,,,,,,,,5.800000000000001,4.0,10,10,11
MT,2025,12.5,9.2,10.8,14.1,,,,,,,,,,,,,,,,,,,,3.3000000000000007,1.6999999999999993,12,8,10
NL,2025,4.3,5.3,6.4,7.0,,,,,,,,,,,,,,,,,,,,-1.0,-2.1000000000000005,27,24,23
PL,2025,7.4,8.4,9.0,11.4,,,,,,,,,,,,,,,,,,,,-1.0,-1.5999999999999996,21,13,17
PT,2025,16.7,8.6,10.0,20.2,,,,,,,,,,,,,,,,,,,,8.1,6.699999999999999,8,12,12
RO,2025,17.7,10.8,16.0,22.6,,,,,,,,,,,,,,,,,,,,6.899999999999999,1.6999999999999993,5,3,2
SE,2025,7.1,7.1,9.0,8.9,,,,,,,,,,,,,,,,,,,,0.0,-1.9000000000000004,22,17,17
SI,2025,11.4,5.6,6.1,15.2,,,,,,,,,,,,,,,,,,,,5.800000000000001,5.300000000000001,14,23,24
SK,2025,17.5,6.5,9.9,22.9,,,,,,,,,,,,,,,,,,,,11.0,7.6,7,20,13
