model,n_obs,n_countries,r2,greece_oos_residual,greece_oos_rank,headline_squeeze_coef,headline_squeeze_p,matched_squeeze_coef,matched_squeeze_p,cum_unemployment_coef,cum_unemployment_p,cum_hourly_pay_shortfall_coef,cum_hourly_pay_shortfall_p,hourly_pay_duration_coef,hourly_pay_duration_p
C-LTU,267,27,0.913793867503701,3.8557776582365313,6,,,,,,,,,,
C-LTU + work-effort squeeze,267,27,0.925830158687309,-3.4879006928627483,21,0.07839467583712215,0.0004763631392701067,,,,,,,,
C-LTU + matched employee effort squeeze,267,27,0.9242583670203621,-5.3831317426100425,25,,,0.0525429224494949,0.0021081118593226414,,,,,,
C-LTU + cumulative real hourly-pay shortfall,267,27,0.9199069157705452,-7.076735963666186,25,,,,,,,0.04351410662363457,0.030279334076140245,,
C-LTU + years hourly pay below 2008,267,27,0.9184194596625874,0.7694487881935018,15,,,,,,,,,0.4010418547244581,0.056096294617810794
C-LTU + cumulative excess unemployment,267,27,0.9296319433713512,-0.8203066771347949,18,,,,,0.1687898168461237,0.00013235726376829537,,,,
C-LTU + cumulative excess unemployment + work-effort squeeze,267,27,0.9366524521510645,-6.445138256754466,25,0.061414276649589136,0.00492547227986073,,,0.1431197297252303,0.0015197727554557316,,,,
C-LTU + cumulative excess unemployment + matched employee effort squeeze,267,27,0.9355015248744689,-7.991985918234823,25,,,0.04032871548517242,0.01723366416204715,0.1457454527609897,0.000995763747045495,,,,
C-LTU + cumulative excess unemployment + cumulative real hourly-pay shortfall,267,27,0.9302080653806286,-8.609911203031013,25,,,,,0.15252074949357436,0.003645427373817593,0.014967506085976141,0.45861380171776356,,
C-LTU + cumulative excess unemployment + years hourly pay below 2008,267,27,0.9296415925934339,-0.7898781569830021,18,,,,,0.17161214992126095,0.0004112087314855431,,,-0.022124194985873258,0.9128951709903882
