geo,time,wstatus,worktime,weekly_actual_hours
AT,2008,EMP,FT,43.0
AT,2009,EMP,FT,42.2
AT,2010,EMP,FT,42.1
AT,2011,EMP,FT,42.2
AT,2012,EMP,FT,41.8
AT,2013,EMP,FT,41.6
AT,2014,EMP,FT,41.4
AT,2015,EMP,FT,41.0
AT,2016,EMP,FT,41.1
AT,2017,EMP,FT,40.8
AT,2018,EMP,FT,40.9
AT,2019,EMP,FT,40.8
AT,2020,EMP,FT,38.8
AT,2021,EMP,FT,38.7
AT,2022,EMP,FT,38.8
AT,2023,EMP,FT,38.7
AT,2024,EMP,FT,39.1
AT,2025,EMP,FT,39.0
BE,2008,EMP,FT,40.8
BE,2009,EMP,FT,40.8
BE,2010,EMP,FT,41.2
BE,2011,EMP,FT,41.3
BE,2012,EMP,FT,41.0
BE,2013,EMP,FT,41.2
BE,2014,EMP,FT,41.0
BE,2015,EMP,FT,41.2
BE,2016,EMP,FT,41.2
BE,2017,EMP,FT,40.3
BE,2018,EMP,FT,40.2
BE,2019,EMP,FT,40.2
BE,2020,EMP,FT,39.1
BE,2021,EMP,FT,38.3
BE,2022,EMP,FT,38.2
BE,2023,EMP,FT,38.1
BE,2024,EMP,FT,37.8
BE,2025,EMP,FT,37.9
BG,2008,EMP,FT,41.4
BG,2009,EMP,FT,40.7
BG,2010,EMP,FT,40.9
BG,2011,EMP,FT,40.6
BG,2012,EMP,FT,40.5
BG,2013,EMP,FT,40.4
BG,2014,EMP,FT,40.5
BG,2015,EMP,FT,40.5
BG,2016,EMP,FT,40.6
BG,2017,EMP,FT,40.4
BG,2018,EMP,FT,40.2
BG,2019,EMP,FT,40.0
BG,2020,EMP,FT,39.7
BG,2021,EMP,FT,39.7
BG,2022,EMP,FT,39.4
BG,2023,EMP,FT,39.2
BG,2024,EMP,FT,39.2
BG,2025,EMP,FT,38.9
CY,2008,EMP,FT,40.4
CY,2009,EMP,FT,40.1
CY,2010,EMP,FT,40.6
CY,2011,EMP,FT,40.6
CY,2012,EMP,FT,40.8
CY,2013,EMP,FT,40.7
CY,2014,EMP,FT,40.5
CY,2015,EMP,FT,40.4
CY,2016,EMP,FT,40.8
CY,2017,EMP,FT,40.7
CY,2018,EMP,FT,40.2
CY,2019,EMP,FT,39.9
CY,2020,EMP,FT,39.5
CY,2021,EMP,FT,39.5
CY,2022,EMP,FT,39.7
CY,2023,EMP,FT,40.0
CY,2024,EMP,FT,39.5
CY,2025,EMP,FT,39.1
CZ,2008,EMP,FT,42.3
CZ,2009,EMP,FT,41.6
CZ,2010,EMP,FT,41.6
CZ,2011,EMP,FT,41.4
CZ,2012,EMP,FT,41.1
CZ,2013,EMP,FT,40.6
CZ,2014,EMP,FT,40.4
CZ,2015,EMP,FT,40.2
CZ,2016,EMP,FT,40.5
CZ,2017,EMP,FT,40.3
CZ,2018,EMP,FT,40.2
CZ,2019,EMP,FT,40.1
CZ,2020,EMP,FT,38.9
CZ,2021,EMP,FT,39.3
CZ,2022,EMP,FT,38.7
CZ,2023,EMP,FT,38.9
CZ,2024,EMP,FT,39.1
CZ,2025,EMP,FT,38.9
DE,2008,EMP,FT,42.2
DE,2009,EMP,FT,41.4
DE,2010,EMP,FT,41.7
DE,2011,EMP,FT,41.9
DE,2012,EMP,FT,41.7
DE,2013,EMP,FT,41.5
DE,2014,EMP,FT,41.4
DE,2015,EMP,FT,41.3
DE,2016,EMP,FT,41.3
DE,2017,EMP,FT,40.9
DE,2018,EMP,FT,40.8
DE,2019,EMP,FT,40.7
DE,2020,EMP,FT,39.4
DE,2021,EMP,FT,39.6
DE,2022,EMP,FT,39.5
DE,2023,EMP,FT,39.0
DE,2024,EMP,FT,38.9
DE,2025,EMP,FT,38.9
DK,2008,EMP,FT,39.2
DK,2009,EMP,FT,39.2
DK,2010,EMP,FT,39.6
DK,2011,EMP,FT,39.9
DK,2012,EMP,FT,39.6
DK,2013,EMP,FT,39.5
DK,2014,EMP,FT,39.4
DK,2015,EMP,FT,39.6
DK,2016,EMP,FT,38.9
DK,2017,EMP,FT,39.0
DK,2018,EMP,FT,38.6
DK,2019,EMP,FT,38.2
DK,2020,EMP,FT,38.1
DK,2021,EMP,FT,38.7
DK,2022,EMP,FT,38.1
DK,2023,EMP,FT,38.1
DK,2024,EMP,FT,37.9
DK,2025,EMP,FT,37.8
EE,2008,EMP,FT,40.6
EE,2009,EMP,FT,39.5
EE,2010,EMP,FT,40.5
EE,2011,EMP,FT,40.6
EE,2012,EMP,FT,40.3
EE,2013,EMP,FT,40.2
EE,2014,EMP,FT,39.8
EE,2015,EMP,FT,39.8
EE,2016,EMP,FT,40.2
EE,2017,EMP,FT,40.3
EE,2018,EMP,FT,39.8
EE,2019,EMP,FT,40.0
EE,2020,EMP,FT,39.2
EE,2021,EMP,FT,39.0
EE,2022,EMP,FT,38.9
EE,2023,EMP,FT,38.7
EE,2024,EMP,FT,38.6
EE,2025,EMP,FT,38.3
EL,2008,EMP,FT,42.2
EL,2009,EMP,FT,42.1
EL,2010,EMP,FT,42.2
EL,2011,EMP,FT,42.3
EL,2012,EMP,FT,42.5
EL,2013,EMP,FT,42.8
EL,2014,EMP,FT,42.7
EL,2015,EMP,FT,42.7
EL,2016,EMP,FT,43.1
EL,2017,EMP,FT,42.9
EL,2018,EMP,FT,42.6
EL,2019,EMP,FT,42.3
EL,2020,EMP,FT,41.7
EL,2021,EMP,FT,41.7
EL,2022,EMP,FT,41.3
EL,2023,EMP,FT,41.2
EL,2024,EMP,FT,41.1
EL,2025,EMP,FT,40.6
ES,2008,EMP,FT,41.0
ES,2009,EMP,FT,40.7
ES,2010,EMP,FT,40.7
ES,2011,EMP,FT,40.6
ES,2012,EMP,FT,40.5
ES,2013,EMP,FT,40.9
ES,2014,EMP,FT,40.7
ES,2015,EMP,FT,40.6
ES,2016,EMP,FT,40.4
ES,2017,EMP,FT,40.1
ES,2018,EMP,FT,40.3
ES,2019,EMP,FT,39.9
ES,2020,EMP,FT,39.1
ES,2021,EMP,FT,38.9
ES,2022,EMP,FT,39.1
ES,2023,EMP,FT,38.8
ES,2024,EMP,FT,38.9
ES,2025,EMP,FT,38.7
EU27_2020,2008,EMP,FT,41.0
EU27_2020,2009,EMP,FT,40.6
