geo,avg_residual_loo,candidate_coef,candidate_p,rank
CY,7.126394692276479,0.07229393836526886,0.0021163162309544284,1
BE,5.971009531338129,0.08711959291374323,0.0001368369793819608,2
IT,4.3465682622047215,0.0824273196892899,0.00037374957678340076,3
PT,4.265615829578097,0.06711341774353777,0.0011678628882038702,4
CZ,3.559988427619383,0.07353682010658237,0.0009385988681236204,5
LV,3.0348455828314234,0.07920401428879452,0.000304556200943083,6
BG,2.9247889020213735,0.08297527012899984,0.000217504407095015,7
HR,2.782694905657779,0.07870950163760715,0.0003145645338771497,8
FR,2.7057355426943364,0.0849249620730312,0.00039274813514889284,9
NL,2.6476523053058205,0.0811939412557211,0.0004472408179277042,10
MT,1.8434755674608971,0.07847079859598877,0.0004469071646245778,11
LU,1.6294930748376766,0.07438096284403131,0.013132828445328681,12
AT,1.4948453490291786,0.07870810066805659,0.0005403964921420318,13
HU,1.180579051000708,0.07754258242953112,0.0006442432119673508,14
DK,0.611285224451273,0.0791813953231589,0.0006539093989900888,15
SK,-0.6284047195003926,0.08411714608717866,0.0001980782724594143,16
IE,-1.6668837145821889,0.07533501927704844,0.0016676428231479658,17
SE,-1.7887810592123934,0.07922895014109516,0.00041891633919813304,18
SI,-2.897593136423638,0.0709624498016823,0.0026750682565955326,19
PL,-3.4115167889633424,0.08998302487789783,0.00022092703244909375,20
EL,-3.4879006928627483,0.07945590571802069,0.0006754307666291057,21
ES,-3.6018511141573613,0.06934095338685894,0.002316415026835409,22
DE,-3.7289403660513742,0.0727157535539924,0.00127716293130215,23
EE,-3.9054368612165105,0.07440383093795212,0.0017235368880327547,24
LT,-4.987258747215917,0.08418929619059606,0.00023245641929133258,25
RO,-7.220506761708975,0.08075073522308318,0.00024377808332404148,26
FI,-11.795538393529606,0.07694872781262387,0.0009525531433810238,27
