geo,avg_residual_loo,candidate_coef,candidate_p,rank
LV,6.405581260223242,0.05923441636478004,0.0037104155044080053,1
BE,5.598921820487659,0.06967622732260334,0.0015529027944083489,2
LU,4.809388743816374,0.04512357718771215,0.1586476801914326,3
BG,3.500060211727645,0.06549670103688729,0.002330562985386526,4
CZ,3.1900795095055825,0.05753922578322173,0.007965626399406806,5
CY,3.1221591195359304,0.06114670418138537,0.0070650041535763345,6
PT,3.038750957664326,0.0540600701086884,0.01208951930118105,7
FR,2.6066868529645304,0.06729459952829293,0.003380537909487477,8
MT,2.402498128975732,0.0607290135715885,0.005023566083014735,9
IT,2.089723584441599,0.06460937448033524,0.004479624981335193,10
HU,2.027491522460376,0.0598769966453967,0.00627722738349369,11
HR,1.988480208041955,0.06177082034986035,0.0036656914537869685,12
AT,1.7919578821179005,0.06146022165739036,0.0059245008219384245,13
SK,0.8386883407273608,0.0652805161614284,0.0030311886275683282,14
DK,0.763134718322351,0.061917785741426916,0.005330338767711176,15
NL,0.3513204493762433,0.06193492558039625,0.0067719087384243174,16
IE,-0.31371516600387095,0.06075687370137921,0.008226840976872023,17
SE,-0.7475603098836283,0.061916994349744514,0.004651355197792018,18
PL,-2.6350715796209316,0.07066382661269686,0.004438269967224764,19
EE,-2.8100448607910153,0.05947548355549051,0.010939590526125397,20
DE,-3.155858388904607,0.05670068967377469,0.008239167541006145,21
SI,-3.540054168701336,0.05249649014151216,0.02454201448089149,22
LT,-4.60811482298218,0.06765717822692917,0.0018262483128479818,23
ES,-5.542363000409326,0.04690810608468494,0.020550515975290028,24
EL,-6.445138256754466,0.06855557197827489,0.0015037859513764816,25
RO,-8.126573415891768,0.06429163197954832,0.0019954490636554787,26
FI,-10.274692871726684,0.06451765258597225,0.003168914376651059,27
