geo,wstatus,subjective_poverty,arop,arope,time,subjective_poverty_rank_worst,arop_rank_worst,arope_rank_worst
AT,EMP,8.6,8.9,9.8,2025,19.0,9.0,15.0
BE,EMP,9.1,4.1,5.2,2025,18.0,25.0,25.0
BG,EMP,27.0,11.5,16.3,2025,2.0,1.0,1.0
CY,EMP,13.5,6.8,7.4,2025,11.0,18.0,22.0
CZ,EMP,9.5,4.0,4.7,2025,16.0,26.0,27.0
DE,EMP,5.6,6.8,9.6,2025,24.0,18.0,16.0
DK,EMP,8.2,5.9,8.4,2025,20.0,21.0,19.0
EE,EMP,9.3,10.1,11.5,2025,17.0,5.0,6.0
EL,EMP,59.8,9.9,16.0,2025,1.0,6.0,2.0
ES,EMP,18.2,11.2,15.9,2025,4.0,2.0,4.0
EU27_2020,EMP,13.6,8.3,10.9,2025,,,
FI,EMP,6.1,3.1,4.9,2025,23.0,27.0,26.0
FR,EMP,18.5,8.7,11.2,2025,3.0,10.0,8.0
HR,EMP,12.3,7.9,8.3,2025,13.0,16.0,20.0
HU,EMP,14.8,8.1,11.3,2025,9.0,15.0,7.0
IE,EMP,11.0,5.7,7.8,2025,15.0,22.0,21.0
IT,EMP,17.7,10.2,12.0,2025,5.0,4.0,5.0
LT,EMP,5.4,8.4,9.9,2025,26.0,13.0,13.0
LU,EMP,5.5,9.5,11.0,2025,25.0,7.0,9.0
LV,EMP,14.5,8.7,10.5,2025,10.0,10.0,11.0
MT,EMP,12.5,9.2,10.8,2025,12.0,8.0,10.0
NL,EMP,4.3,5.3,6.4,2025,27.0,24.0,23.0
PL,EMP,7.4,8.4,9.0,2025,21.0,13.0,17.0
PT,EMP,16.7,8.6,10.0,2025,8.0,12.0,12.0
RO,EMP,17.7,10.8,16.0,2025,5.0,3.0,2.0
SE,EMP,7.1,7.1,9.0,2025,22.0,17.0,17.0
SI,EMP,11.4,5.6,6.1,2025,14.0,23.0,24.0
SK,EMP,17.5,6.5,9.9,2025,7.0,20.0,13.0
AT,NSAL,8.9,21.1,21.4,2025,16.0,12.0,12.0
BE,NSAL,9.1,11.8,12.3,2025,15.0,24.0,24.0
BG,NSAL,18.9,16.5,18.3,2025,3.0,15.0,15.0
CY,NSAL,12.3,6.1,7.1,2025,10.0,26.0,26.0
CZ,NSAL,7.4,5.7,5.8,2025,21.0,27.0,27.0
DE,NSAL,4.7,12.5,14.5,2025,26.0,21.0,20.0
DK,NSAL,8.9,18.3,19.0,2025,16.0,14.0,14.0
EE,NSAL,11.9,32.4,32.8,2025,11.0,2.0,2.0
EL,NSAL,60.9,23.0,26.7,2025,1.0,7.0,4.0
ES,NSAL,13.6,21.3,23.2,2025,9.0,11.0,9.0
EU27_2020,NSAL,13.8,19.7,21.2,2025,,,
FI,NSAL,6.0,12.4,13.2,2025,23.0,22.0,22.0
FR,NSAL,15.5,21.8,23.0,2025,6.0,9.0,10.0
HR,NSAL,8.2,21.8,22.3,2025,18.0,9.0,11.0
HU,NSAL,8.2,7.4,8.4,2025,18.0,25.0,25.0
IE,NSAL,9.2,12.4,12.9,2025,14.0,22.0,23.0
IT,NSAL,14.2,18.8,19.7,2025,8.0,13.0,13.0
LT,NSAL,5.6,25.2,26.9,2025,25.0,4.0,3.0
LU,NSAL,4.4,15.9,16.6,2025,27.0,16.0,17.0
LV,NSAL,16.1,25.1,26.0,2025,5.0,5.0,5.0
MT,NSAL,10.8,15.7,15.8,2025,12.0,17.0,19.0
NL,NSAL,6.1,15.5,16.6,2025,22.0,18.0,17.0
PL,NSAL,7.5,25.4,25.9,2025,20.0,3.0,6.0
PT,NSAL,15.2,22.8,23.3,2025,7.0,8.0,8.0
RO,NSAL,32.0,48.4,55.7,2025,2.0,1.0,1.0
SE,NSAL,5.8,13.5,14.1,2025,24.0,20.0,21.0
SI,NSAL,10.0,23.4,23.7,2025,13.0,6.0,7.0
SK,NSAL,17.0,15.4,17.6,2025,4.0,19.0,16.0
AT,SAL,8.6,7.7,8.6,2025,19.0,8.0,13.0
BE,SAL,9.1,2.9,4.1,2025,17.0,26.0,25.0
BG,SAL,27.9,11.0,16.1,2025,2.0,1.0,1.0
CY,SAL,13.6,6.9,7.4,2025,11.0,10.0,18.0
CZ,SAL,10.0,3.7,4.4,2025,16.0,22.0,24.0
DE,SAL,5.7,6.3,9.2,2025,24.0,14.0,10.0
DK,SAL,8.2,4.8,7.5,2025,20.0,18.0,17.0
EE,SAL,9.1,7.9,9.4,2025,17.0,6.0,9.0
EL,SAL,59.5,5.7,12.5,2025,1.0,17.0,3.0
ES,SAL,19.0,9.5,14.7,2025,3.0,2.0,2.0
EU27_2020,SAL,13.6,6.5,9.2,2025,,,
FI,SAL,6.1,1.9,3.8,2025,23.0,27.0,26.0
FR,SAL,18.9,6.8,9.5,2025,4.0,11.0,8.0
HR,SAL,12.8,6.1,6.4,2025,12.0,16.0,21.0
HU,SAL,15.7,8.2,11.7,2025,8.0,5.0,4.0
IE,SAL,11.2,4.8,7.2,2025,15.0,18.0,20.0
IT,SAL,18.6,7.9,9.9,2025,5.0,6.0,7.0
LT,SAL,5.4,6.2,7.6,2025,26.0,15.0,16.0
LU,SAL,5.6,9.1,10.7,2025,25.0,3.0,5.0
LV,SAL,14.3,7.0,9.0,2025,10.0,9.0,12.0
MT,SAL,12.7,8.4,10.2,2025,13.0,4.0,6.0
NL,SAL,4.0,3.6,4.7,2025,27.0,23.0,23.0
PL,SAL,7.3,4.4,5.0,2025,21.0,20.0,22.0
PT,SAL,16.9,6.7,8.2,2025,7.0,12.0,15.0
RO,SAL,15.2,4.3,9.1,2025,9.0,21.0,11.0
SE,SAL,7.3,6.5,8.4,2025,21.0,13.0,14.0
SI,SAL,11.5,3.1,3.7,2025,14.0,25.0,27.0
SK,SAL,17.7,3.6,7.3,2025,6.0,23.0,19.0
