time,rskpovth,rate_pct
2003,B_40,9.3
2004,B_40,7.5
2005,B_40,7.2
2006,B_40,8.0
2007,B_40,7.7
2008,B_40,6.7
2009,B_40,6.6
2010,B_40,7.3
2011,B_40,8.2
2012,B_40,10.6
2013,B_40,11.1
2014,B_40,10.4
2015,B_40,10.1
2016,B_40,10.2
2017,B_40,9.3
2018,B_40,8.1
2019,B_40,7.5
2020,B_40,7.3
2021,B_40,8.3
2022,B_40,6.7
2023,B_40,6.5
2024,B_40,7.0
2025,B_40,6.7
2003,B_50,14.2
2004,B_50,12.7
2005,B_50,12.6
2006,B_50,13.4
2007,B_50,13.2
2008,B_50,12.7
2009,B_50,12.2
2010,B_50,12.4
2011,B_50,14.2
2012,B_50,16.0
2013,B_50,16.6
2014,B_50,15.8
2015,B_50,15.0
2016,B_50,15.3
2017,B_50,14.5
2018,B_50,12.9
2019,B_50,12.3
2020,B_50,11.8
2021,B_50,13.3
2022,B_50,11.9
2023,B_50,11.6
2024,B_50,11.8
2025,B_50,11.7
2003,B_60,20.7
2004,B_60,19.9
2005,B_60,19.6
2006,B_60,20.5
2007,B_60,20.3
2008,B_60,20.1
2009,B_60,19.7
2010,B_60,20.1
2011,B_60,21.4
2012,B_60,23.1
2013,B_60,23.1
2014,B_60,22.1
2015,B_60,21.4
2016,B_60,21.2
2017,B_60,20.2
2018,B_60,18.5
2019,B_60,17.9
2020,B_60,17.7
2021,B_60,19.6
2022,B_60,18.8
2023,B_60,18.9
2024,B_60,19.6
2025,B_60,19.6
2003,B_70,28.4
2004,B_70,27.6
2005,B_70,25.9
2006,B_70,28.0
2007,B_70,28.1
2008,B_70,26.9
2009,B_70,25.4
2010,B_70,27.2
2011,B_70,28.6
2012,B_70,30.4
2013,B_70,31.4
2014,B_70,28.9
2015,B_70,27.9
2016,B_70,28.1
2017,B_70,26.5
2018,B_70,26.4
2019,B_70,25.3
2020,B_70,25.6
2021,B_70,26.7
2022,B_70,26.2
2023,B_70,25.1
2024,B_70,25.9
2025,B_70,25.3
