time,rskpovth,threshold_eur
2003,B_40,3282
2004,B_40,3538
2005,B_40,3767
2006,B_40,3940
2007,B_40,4080
2008,B_40,4320
2009,B_40,4598
2010,B_40,4785
2011,B_40,4394
2012,B_40,3805
2013,B_40,3348
2014,B_40,3072
2015,B_40,3008
2016,B_40,3000
2017,B_40,3040
2018,B_40,3145
2019,B_40,3278
2020,B_40,3512
2021,B_40,3501
2022,B_40,3808
2023,B_40,4020
2024,B_40,4340
2025,B_40,4680
2003,B_50,4103
2004,B_50,4422
2005,B_50,4709
2006,B_50,4925
2007,B_50,5100
2008,B_50,5400
2009,B_50,5748
2010,B_50,5981
2011,B_50,5492
2012,B_50,4756
2013,B_50,4186
2014,B_50,3840
2015,B_50,3760
2016,B_50,3750
2017,B_50,3800
2018,B_50,3932
2019,B_50,4098
2020,B_50,4390
2021,B_50,4376
2022,B_50,4760
2023,B_50,5025
2024,B_50,5425
2025,B_50,5850
2003,B_60,4923
2004,B_60,5306
2005,B_60,5650
2006,B_60,5910
2007,B_60,6120
2008,B_60,6480
2009,B_60,6897
2010,B_60,7178
2011,B_60,6591
2012,B_60,5708
2013,B_60,5023
2014,B_60,4608
2015,B_60,4512
2016,B_60,4500
2017,B_60,4560
2018,B_60,4718
2019,B_60,4917
2020,B_60,5269
2021,B_60,5251
2022,B_60,5712
2023,B_60,6030
2024,B_60,6510
2025,B_60,7020
2003,B_70,5744
2004,B_70,6191
2005,B_70,6592
2006,B_70,6895
2007,B_70,7140
2008,B_70,7560
2009,B_70,8047
2010,B_70,8374
2011,B_70,7689
2012,B_70,6659
2013,B_70,5860
2014,B_70,5376
2015,B_70,5264
2016,B_70,5250
2017,B_70,5320
2018,B_70,5504
2019,B_70,5737
2020,B_70,6147
2021,B_70,6126
2022,B_70,6664
2023,B_70,7035
2024,B_70,7595
2025,B_70,8190
