geo,time,arop_threshold_nac
AT,2003,9378
AT,2004,10119
AT,2005,10655
AT,2006,10713
AT,2007,10893
AT,2008,11648
AT,2009,12281
AT,2010,12635
AT,2011,12878
AT,2012,13084
AT,2013,13244
AT,2014,13926
AT,2015,13956
AT,2016,14217
AT,2017,14851
AT,2018,15105
AT,2019,15437
AT,2020,15933
AT,2021,16457
AT,2022,16706
AT,2023,18866
AT,2024,19926
AT,2025,21928
BE,2003,9313
BE,2004,9405
BE,2005,9947
BE,2006,10328
BE,2007,10540
BE,2008,10791
BE,2009,11588
BE,2010,11678
BE,2011,12005
BE,2012,12168
BE,2013,12890
BE,2014,13023
BE,2015,12993
BE,2016,13377
BE,2017,13640
BE,2018,14212
BE,2019,14792
BE,2020,15470
BE,2021,15562
BE,2022,16400
BE,2023,17409
BE,2024,18268
BE,2025,18780
BG,2006,1624
BG,2007,1737
BG,2008,2548
BG,2009,3318
BG,2010,3540
BG,2011,3420
BG,2012,3356
BG,2013,3431
BG,2014,3885
BG,2015,3910
BG,2016,3698
BG,2017,4213
BG,2018,4213
BG,2019,4957
BG,2020,5412
BG,2021,6052
BG,2022,6311
BG,2023,7655
BG,2024,9166
BG,2025,10400
CY,2005,4593
CY,2006,5031
CY,2007,5532
CY,2008,5602
CY,2009,9871
CY,2010,9708
CY,2011,10194
CY,2012,10156
CY,2013,9524
CY,2014,8640
CY,2015,8276
CY,2016,8412
CY,2017,8698
CY,2018,9202
CY,2019,9862
CY,2020,10212
CY,2021,10172
CY,2022,10807
CY,2023,11548
CY,2024,12400
CY,2025,13240
CZ,2005,80987
CZ,2006,85806
CZ,2007,92212
CZ,2008,101083
CZ,2009,109184
CZ,2010,111953
CZ,2011,113040
CZ,2012,114953
CZ,2013,116093
CZ,2014,118817
CZ,2015,122637
CZ,2016,128287
CZ,2017,134334
CZ,2018,143555
CZ,2019,153811
CZ,2020,163680
CZ,2021,168655
CZ,2022,186847
CZ,2023,201283
CZ,2024,217952
CZ,2025,229080
DE,2005,9836
DE,2006,9398
DE,2007,10666
DE,2008,10986
DE,2009,11151
DE,2010,11278
DE,2011,11426
DE,2012,11757
DE,2013,11749
DE,2014,11840
DE,2015,12401
DE,2016,12765
DE,2017,13152
DE,2018,13628
DE,2019,14109
DE,2020,15605
DE,2021,14968
DE,2022,14955
DE,2023,15765
DE,2024,16571
DE,2025,17334
DK,2003,93279
DK,2004,94631
DK,2005,98760
DK,2006,101327
DK,2007,104460
DK,2008,108009
DK,2009,111968
DK,2010,114676
DK,2011,120398
DK,2012,121521
DK,2013,122573
DK,2014,124718
DK,2015,126870
DK,2016,128282
DK,2017,131258
DK,2018,134358
DK,2019,137365
DK,2020,137440
DK,2021,143514
DK,2022,148411
DK,2023,151333
DK,2024,155765
DK,2025,161972
EE,2004,1539
EE,2005,1788
EE,2006,2183
EE,2007,2669
EE,2008,3328
EE,2009,3725
EE,2010,3436
EE,2011,3359
EE,2012,3592
EE,2013,3947
EE,2014,4330
EE,2015,4733
EE,2016,5187
EE,2017,5631
EE,2018,6314
EE,2019,6877
EE,2020,7337
EE,2021,7574
EE,2022,8896
EE,2023,9077
EE,2024,9684
EE,2025,10287
EL,2003,4923
EL,2004,5306
EL,2005,5650
EL,2006,5910
EL,2007,6120
EL,2008,6480
EL,2009,6897
EL,2010,7178
EL,2011,6591
EL,2012,5708
EL,2013,5023
EL,2014,4608
EL,2015,4512
EL,2016,4500
EL,2017,4560
EL,2018,4718
EL,2019,4917
EL,2020,5269
EL,2021,5251
EL,2022,5712
EL,2023,6030
EL,2024,6510
EL,2025,7020
ES,2004,6196
ES,2005,6272
ES,2006,6683
ES,2007,6987
ES,2008,8379
ES,2009,8877
ES,2010,8763
ES,2011,8358
ES,2012,8321
ES,2013,8114
ES,2014,7961
ES,2015,8011
ES,2016,8209
ES,2017,8522
ES,2018,8871
ES,2019,9009
ES,2020,9626
ES,2021,9535
ES,2022,10088
ES,2023,10990
ES,2024,11584
ES,2025,12220
FI,2004,10008
FI,2005,10489
FI,2006,10982
FI,2007,11222
FI,2008,11876
FI,2009,12577
FI,2010,12809
FI,2011,13096
FI,2012,13619
FI,2013,13963
FI,2014,14221
FI,2015,14258
FI,2016,14190
FI,2017,14392
FI,2018,14727
FI,2019,14927
FI,2020,15294
FI,2021,15274
FI,2022,15925
FI,2023,16408
FI,2024,17216
FI,2025,17844
FR,2004,9145
FR,2005,9567
FR,2006,9726
FR,2007,9865
FR,2008,11340
FR,2009,11786
FR,2010,11976
FR,2011,11997
FR,2012,12362
FR,2013,12554
FR,2014,12719
FR,2015,12849
FR,2016,13028
FR,2017,13176
FR,2018,13332
FR,2019,13537
FR,2020,13286
FR,2021,13639
FR,2022,13832
FR,2023,14507
FR,2024,15334
FR,2025,15875
HR,2010,25586
HR,2011,24400
HR,2012,24000
HR,2013,22916
HR,2014,23760
HR,2015,24979
HR,2016,26156
HR,2017,28070
HR,2018,29820
HR,2019,32520
HR,2020,35124
HR,2021,36461
HR,2022,39600
HR,2023,5924
HR,2024,7407
HR,2025,9034
HU,2005,520527
HU,2006,572920
HU,2007,624000
HU,2008,663556
HU,2009,715187
HU,2010,713291
HU,2011,742662
HU,2012,787200
HU,2013,772200
HU,2014,803748
HU,2015,843941
HU,2016,886803
HU,2017,932162
HU,2018,1006249
HU,2019,1117776
HU,2020,1180710
HU,2021,1392000
HU,2022,1559534
HU,2023,1735203
HU,2024,1944730
HU,2025,2085245
IE,2003,10248
IE,2004,10845
IE,2005,11279
IE,2006,11854
IE,2007,13239
IE,2008,13797
IE,2009,13467
IE,2010,12307
IE,2011,11836
IE,2012,11789
IE,2013,11913
IE,2014,12103
IE,2015,12978
IE,2016,13526
IE,2017,13727
IE,2018,14952
IE,2019,15253
IE,2020,16095
IE,2021,17257
IE,2022,18038
IE,2023,18413
IE,2024,19808
IE,2025,21083
IT,2004,8179
IT,2005,8584
IT,2006,8736
IT,2007,9064
IT,2008,9384
IT,2009,9363
IT,2010,9578
IT,2011,9582
IT,2012,9587
IT,2013,9440
IT,2014,9455
IT,2015,9508
IT,2016,9748
IT,2017,9925
IT,2018,10106
IT,2019,10299
IT,2020,10840
IT,2021,10519
IT,2022,11155
IT,2023,11891
IT,2024,12363
