geo,time,arope
AL,2017,51.8
AL,2018,49.0
AL,2019,46.2
AL,2020,43.4
AT,2003,15.7
AT,2004,17.9
AT,2005,17.4
AT,2006,17.8
AT,2007,16.7
AT,2008,20.6
AT,2009,19.1
AT,2010,18.9
AT,2011,19.2
AT,2012,18.5
AT,2013,18.8
AT,2014,19.2
AT,2015,18.3
AT,2016,18.0
AT,2017,18.1
AT,2018,17.5
AT,2019,16.9
AT,2020,17.5
BE,2003,23.4
BE,2004,21.6
BE,2005,22.6
BE,2006,21.5
BE,2007,21.6
BE,2008,20.8
BE,2009,20.2
BE,2010,20.8
BE,2011,21.0
BE,2012,21.6
BE,2013,20.8
BE,2014,21.2
BE,2015,21.1
BE,2016,20.9
BE,2017,20.6
BE,2018,20.0
BE,2019,19.5
BE,2020,19.0
BG,2006,61.3
BG,2007,60.7
BG,2008,44.8
BG,2009,46.2
BG,2010,49.2
BG,2011,49.1
BG,2012,49.3
BG,2013,48.0
BG,2014,40.1
BG,2015,41.3
BG,2016,40.4
BG,2017,38.9
BG,2018,32.8
BG,2019,32.8
BG,2020,32.1
CH,2007,17.9
CH,2008,18.1
CH,2009,17.9
CH,2010,17.2
CH,2011,17.2
CH,2012,17.5
CH,2013,16.3
CH,2014,16.4
CH,2015,18.2
CH,2016,17.8
CH,2017,18.1
CH,2018,17.4
CH,2019,18.8
CH,2020,18.1
CY,2005,25.3
CY,2006,25.4
CY,2007,25.2
CY,2008,23.3
CY,2009,23.5
CY,2010,24.6
CY,2011,24.6
CY,2012,27.1
CY,2013,27.8
CY,2014,27.4
CY,2015,28.9
CY,2016,27.7
CY,2017,25.2
CY,2018,23.9
CY,2019,22.8
CY,2020,22.1
CZ,2005,19.6
CZ,2006,18.0
CZ,2007,15.8
CZ,2008,15.3
CZ,2009,14.0
CZ,2010,14.4
CZ,2011,15.3
CZ,2012,15.4
CZ,2013,14.6
CZ,2014,14.8
CZ,2015,14.0
CZ,2016,13.3
CZ,2017,12.2
CZ,2018,12.2
CZ,2019,12.5
CZ,2020,11.9
DE,2005,18.4
DE,2006,20.2
DE,2007,20.6
DE,2008,20.1
DE,2009,20.0
DE,2010,19.7
DE,2011,19.9
DE,2012,19.6
DE,2013,20.3
DE,2014,20.6
DE,2015,20.0
DE,2016,19.7
DE,2017,19.0
DE,2018,18.7
DE,2019,17.4
DE,2020,21.6
DK,2003,16.9
DK,2004,16.5
DK,2005,17.2
DK,2006,16.7
DK,2007,16.8
DK,2008,16.3
DK,2009,17.6
DK,2010,18.3
DK,2011,17.6
DK,2012,17.5
DK,2013,18.3
DK,2014,17.9
DK,2015,17.7
DK,2016,16.8
DK,2017,17.2
DK,2018,17.0
DK,2019,16.3
DK,2020,15.9
EA,2008,21.6
EA,2009,21.4
EA,2010,21.8
EA,2011,22.7
EA,2012,23.1
EA,2013,23.0
EA,2014,23.5
EA,2015,23.1
EA,2016,23.1
EA,2017,22.1
EA,2018,21.6
EA,2019,20.8
EA,2020,21.8
EA18,2005,21.8
EA18,2006,22.0
EA18,2007,21.8
EA18,2008,21.6
EA18,2009,21.6
EA18,2010,21.9
EA18,2011,22.8
EA18,2012,23.2
EA18,2013,23.1
EA18,2014,23.5
EA18,2015,23.0
EA18,2016,23.0
EA18,2017,22.1
EA18,2018,21.5
EA18,2019,20.7
EA18,2020,21.8
EA19,2005,22.0
EA19,2006,22.1
EA19,2007,21.9
EA19,2008,21.7
EA19,2009,21.6
EA19,2010,22.0
EA19,2011,22.9
EA19,2012,23.3
EA19,2013,23.1
EA19,2014,23.5
EA19,2015,23.1
EA19,2016,23.1
EA19,2017,22.1
EA19,2018,21.6
EA19,2019,20.8
EA19,2020,21.8
EA20,2014,23.5
EA20,2015,23.1
EA20,2016,23.2
EA20,2017,22.2
EA20,2018,21.6
EA20,2019,20.8
EA20,2020,21.8
EE,2004,26.3
EE,2005,25.9
EE,2006,22.0
EE,2007,22.0
EE,2008,21.8
EE,2009,23.4
EE,2010,21.7
EE,2011,23.1
EE,2012,23.4
EE,2013,23.5
EE,2014,26.0
EE,2015,24.2
EE,2016,24.4
EE,2017,23.4
EE,2018,24.4
EE,2019,24.3
EE,2020,23.2
EL,2003,32.9
EL,2004,30.9
EL,2005,29.4
EL,2006,29.3
EL,2007,28.3
EL,2008,28.1
EL,2009,27.6
EL,2010,27.7
EL,2011,31.0
EL,2012,34.6
EL,2013,35.7
EL,2014,36.0
EL,2015,35.7
EL,2016,35.6
EL,2017,34.8
EL,2018,31.8
EL,2019,30.0
EL,2020,28.8
ES,2004,25.0
ES,2005,24.3
ES,2006,24.0
ES,2007,23.3
ES,2008,23.8
ES,2009,24.7
ES,2010,26.1
ES,2011,26.7
ES,2012,27.2
ES,2013,27.3
ES,2014,29.2
ES,2015,28.6
ES,2016,27.9
ES,2017,26.6
ES,2018,26.1
ES,2019,25.3
ES,2020,26.4
EU,2008,23.7
EU,2009,23.3
EU,2010,23.8
EU,2011,24.3
EU,2012,24.8
EU,2013,24.6
EU,2014,24.4
EU,2015,23.8
EU,2016,23.5
EU,2017,22.4
EU,2018,21.8
EU,2019,21.2
EU27_2007,2005,25.8
EU27_2007,2006,25.3
EU27_2007,2007,24.5
EU27_2007,2008,23.7
EU27_2007,2009,23.3
EU27_2007,2010,23.7
EU27_2007,2011,24.2
EU27_2007,2012,24.7
EU27_2007,2013,24.6
EU27_2007,2014,24.4
EU27_2007,2015,23.7
EU27_2007,2016,23.5
EU27_2007,2017,22.4
EU27_2007,2018,21.8
EU27_2007,2019,21.2
EU27_2020,2010,23.9
EU27_2020,2011,24.5
EU27_2020,2012,24.9
EU27_2020,2013,24.6
EU27_2020,2014,24.5
EU27_2020,2015,23.8
