geo,geo_label,time,arope_legacy
AL,Albania,2017,51.8
AL,Albania,2018,49.0
AL,Albania,2019,46.2
AL,Albania,2020,43.4
AT,Austria,2003,15.7
AT,Austria,2004,17.9
AT,Austria,2005,17.4
AT,Austria,2006,17.8
AT,Austria,2007,16.7
AT,Austria,2008,20.6
AT,Austria,2009,19.1
AT,Austria,2010,18.9
AT,Austria,2011,19.2
AT,Austria,2012,18.5
AT,Austria,2013,18.8
AT,Austria,2014,19.2
AT,Austria,2015,18.3
AT,Austria,2016,18.0
AT,Austria,2017,18.1
AT,Austria,2018,17.5
AT,Austria,2019,16.9
AT,Austria,2020,17.5
BE,Belgium,2003,23.4
BE,Belgium,2004,21.6
BE,Belgium,2005,22.6
BE,Belgium,2006,21.5
BE,Belgium,2007,21.6
BE,Belgium,2008,20.8
BE,Belgium,2009,20.2
BE,Belgium,2010,20.8
BE,Belgium,2011,21.0
BE,Belgium,2012,21.6
BE,Belgium,2013,20.8
BE,Belgium,2014,21.2
BE,Belgium,2015,21.1
BE,Belgium,2016,20.9
BE,Belgium,2017,20.6
BE,Belgium,2018,20.0
BE,Belgium,2019,19.5
BE,Belgium,2020,19.0
BG,Bulgaria,2006,61.3
BG,Bulgaria,2007,60.7
BG,Bulgaria,2008,44.8
BG,Bulgaria,2009,46.2
BG,Bulgaria,2010,49.2
BG,Bulgaria,2011,49.1
BG,Bulgaria,2012,49.3
BG,Bulgaria,2013,48.0
BG,Bulgaria,2014,40.1
BG,Bulgaria,2015,41.3
BG,Bulgaria,2016,40.4
BG,Bulgaria,2017,38.9
BG,Bulgaria,2018,32.8
BG,Bulgaria,2019,32.8
BG,Bulgaria,2020,32.1
CH,Switzerland,2007,17.9
CH,Switzerland,2008,18.1
CH,Switzerland,2009,17.9
CH,Switzerland,2010,17.2
CH,Switzerland,2011,17.2
CH,Switzerland,2012,17.5
CH,Switzerland,2013,16.3
CH,Switzerland,2014,16.4
CH,Switzerland,2015,18.2
CH,Switzerland,2016,17.8
CH,Switzerland,2017,18.1
CH,Switzerland,2018,17.4
CH,Switzerland,2019,18.8
CH,Switzerland,2020,18.1
CY,Cyprus,2005,25.3
CY,Cyprus,2006,25.4
CY,Cyprus,2007,25.2
CY,Cyprus,2008,23.3
CY,Cyprus,2009,23.5
CY,Cyprus,2010,24.6
CY,Cyprus,2011,24.6
CY,Cyprus,2012,27.1
CY,Cyprus,2013,27.8
CY,Cyprus,2014,27.4
CY,Cyprus,2015,28.9
CY,Cyprus,2016,27.7
CY,Cyprus,2017,25.2
CY,Cyprus,2018,23.9
CY,Cyprus,2019,22.8
CY,Cyprus,2020,22.1
CZ,Czechia,2005,19.6
CZ,Czechia,2006,18.0
CZ,Czechia,2007,15.8
CZ,Czechia,2008,15.3
CZ,Czechia,2009,14.0
CZ,Czechia,2010,14.4
CZ,Czechia,2011,15.3
CZ,Czechia,2012,15.4
CZ,Czechia,2013,14.6
CZ,Czechia,2014,14.8
CZ,Czechia,2015,14.0
CZ,Czechia,2016,13.3
CZ,Czechia,2017,12.2
CZ,Czechia,2018,12.2
CZ,Czechia,2019,12.5
CZ,Czechia,2020,11.9
DE,Germany,2005,18.4
DE,Germany,2006,20.2
DE,Germany,2007,20.6
DE,Germany,2008,20.1
DE,Germany,2009,20.0
DE,Germany,2010,19.7
DE,Germany,2011,19.9
DE,Germany,2012,19.6
DE,Germany,2013,20.3
DE,Germany,2014,20.6
DE,Germany,2015,20.0
DE,Germany,2016,19.7
DE,Germany,2017,19.0
DE,Germany,2018,18.7
DE,Germany,2019,17.4
DE,Germany,2020,21.6
DK,Denmark,2003,16.9
DK,Denmark,2004,16.5
DK,Denmark,2005,17.2
DK,Denmark,2006,16.7
DK,Denmark,2007,16.8
DK,Denmark,2008,16.3
DK,Denmark,2009,17.6
DK,Denmark,2010,18.3
DK,Denmark,2011,17.6
DK,Denmark,2012,17.5
DK,Denmark,2013,18.3
DK,Denmark,2014,17.9
DK,Denmark,2015,17.7
DK,Denmark,2016,16.8
DK,Denmark,2017,17.2
DK,Denmark,2018,17.0
DK,Denmark,2019,16.3
DK,Denmark,2020,15.9
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2008,21.6
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2009,21.4
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2010,21.8
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2011,22.7
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2012,23.1
