geo,time,arrears
EA19,2005,9.6
EA19,2006,9.4
EA19,2007,8.8
EA19,2008,9.5
EA19,2009,10.2
EA19,2010,10.4
EA19,2011,10.1
EA19,2012,10.5
EA19,2013,10.9
EA19,2014,11.3
EA19,2015,10.9
EA19,2016,9.5
EA19,2017,8.3
EA19,2018,8.2
EA19,2019,7.5
EA19,2020,8.6
EA19,2021,9.3
EA20,2014,11.6
EA20,2015,11.1
EA20,2016,9.7
EA20,2017,8.4
EA20,2018,8.3
EA20,2019,7.6
EA20,2020,8.7
EA20,2021,9.1
EA20,2022,9.1
EA20,2023,9.5
EA20,2024,9.5
EA20,2025,9.4
EL,2003,35.5
EL,2004,30.4
EL,2005,33.1
EL,2006,29.9
EL,2007,26.4
EL,2008,24.4
EL,2009,28.7
EL,2010,30.9
EL,2011,31.9
EL,2012,39.0
EL,2013,45.3
EL,2014,46.4
EL,2015,49.3
EL,2016,47.9
EL,2017,44.9
EL,2018,43.0
EL,2019,41.4
EL,2020,36.9
EL,2021,36.4
EL,2022,45.5
EL,2023,47.3
EL,2024,42.8
EL,2025,41.8
EU,2011,11.6
EU,2012,11.6
EU,2013,11.9
EU,2014,12.6
EU,2015,11.6
EU,2016,10.4
EU,2017,9.2
EU,2018,8.9
EU,2019,8.3
EU27_2007,2007,10.0
EU27_2007,2008,10.4
EU27_2007,2009,11.8
EU27_2007,2010,11.9
EU27_2007,2011,11.5
EU27_2007,2012,11.5
EU27_2007,2013,11.7
EU27_2007,2014,12.4
EU27_2007,2015,11.4
EU27_2007,2016,10.2
EU27_2007,2017,9.0
EU27_2007,2018,8.8
EU27_2007,2019,8.2
EU27_2020,2010,12.4
EU27_2020,2011,12.1
EU27_2020,2012,12.6
EU27_2020,2013,12.9
EU27_2020,2014,12.9
EU27_2020,2015,11.8
EU27_2020,2016,10.6
EU27_2020,2017,9.3
EU27_2020,2018,8.9
EU27_2020,2019,8.2
EU27_2020,2020,8.8
EU27_2020,2021,8.9
EU27_2020,2022,9.2
EU27_2020,2023,9.3
EU27_2020,2024,9.2
EU27_2020,2025,9.2
EU28,2010,12.1
EU28,2011,11.7
EU28,2012,11.6
EU28,2013,11.9
EU28,2014,12.6
EU28,2015,11.6
EU28,2016,10.4
EU28,2017,9.2
EU28,2018,8.9
EU28,2019,8.3
