geo,time,cannot_keep_home_warm
EA19,2005,8.9
EA19,2006,8.9
EA19,2007,8.3
EA19,2008,8.0
EA19,2009,7.7
EA19,2010,8.0
EA19,2011,9.2
EA19,2012,10.4
EA19,2013,10.1
EA19,2014,10.2
EA19,2015,9.4
EA19,2016,8.8
EA19,2017,8.0
EA19,2018,7.6
EA19,2019,6.9
EA19,2020,7.9
EA19,2021,7.1
EA20,2014,10.1
EA20,2015,9.4
EA20,2016,8.8
EA20,2017,8.0
EA20,2018,7.6
EA20,2019,6.9
EA20,2020,7.8
EA20,2021,7.1
EA20,2022,9.7
EA20,2023,11.3
EA20,2024,9.9
EA20,2025,9.4
EL,2003,17.4
EL,2004,16.8
EL,2005,15.7
EL,2006,12.0
EL,2007,13.8
EL,2008,15.4
EL,2009,15.7
EL,2010,15.4
EL,2011,18.6
EL,2012,26.1
EL,2013,29.5
EL,2014,32.9
EL,2015,29.2
EL,2016,29.1
EL,2017,25.7
EL,2018,22.7
EL,2019,17.9
EL,2020,17.1
EL,2021,17.5
EL,2022,18.7
EL,2023,19.2
EL,2024,19.0
EL,2025,18.1
EU,2011,9.8
EU,2012,10.8
EU,2013,10.7
EU,2014,10.3
EU,2015,9.4
EU,2016,8.7
EU,2017,7.8
EU,2018,7.3
EU,2019,6.7
EU27_2007,2007,10.9
EU27_2007,2008,10.1
EU27_2007,2009,9.3
EU27_2007,2010,9.5
EU27_2007,2011,9.8
EU27_2007,2012,10.8
EU27_2007,2013,10.8
EU27_2007,2014,10.3
EU27_2007,2015,9.4
EU27_2007,2016,8.7
EU27_2007,2017,7.8
EU27_2007,2018,7.3
EU27_2007,2019,6.7
EU27_2020,2010,9.9
EU27_2020,2011,10.3
EU27_2020,2012,11.2
EU27_2020,2013,10.8
EU27_2020,2014,10.4
EU27_2020,2015,9.6
EU27_2020,2016,9.0
EU27_2020,2017,8.1
EU27_2020,2018,7.6
EU27_2020,2019,6.9
EU27_2020,2020,7.5
EU27_2020,2021,6.9
EU27_2020,2022,9.3
EU27_2020,2023,10.6
EU27_2020,2024,9.2
EU27_2020,2025,8.8
EU28,2010,9.5
EU28,2011,9.8
EU28,2012,10.8
EU28,2013,10.7
EU28,2014,10.3
EU28,2015,9.4
EU28,2016,8.7
EU28,2017,7.8
EU28,2018,7.3
EU28,2019,6.7
