geo,time,consumption_pc
EA19,2000,14910
EA19,2001,15140
EA19,2002,15220
EA19,2003,15330
EA19,2004,15510
EA19,2005,15740
EA19,2006,16000
EA19,2007,16220
EA19,2008,16170
EA19,2009,15960
EA19,2010,16070
EA19,2011,16040
EA19,2012,15830
EA19,2013,15700
EA19,2014,15820
EA19,2015,16100
EA19,2016,16360
EA19,2017,16620
EA19,2018,16820
EA19,2019,17000
EA19,2020,15650
EA19,2021,16370
EA19,2022,17150
EA19,2023,17120
EA19,2024,17260
EA19,2025,17440
EA20,2000,14770
EA20,2001,15010
EA20,2002,15090
EA20,2003,15210
EA20,2004,15390
EA20,2005,15620
EA20,2006,15880
EA20,2007,16090
EA20,2008,16050
EA20,2009,15840
EA20,2010,15940
EA20,2011,15910
EA20,2012,15710
EA20,2013,15580
EA20,2014,15700
EA20,2015,15980
EA20,2016,16240
EA20,2017,16500
EA20,2018,16710
EA20,2019,16890
EA20,2020,15550
EA20,2021,16270
EA20,2022,17050
EA20,2023,17030
EA20,2024,17180
EA20,2025,17360
EL,2000,10970
EL,2001,11500
EL,2002,12130
EL,2003,12550
EL,2004,13050
EL,2005,13460
EL,2006,13670
EL,2007,14280
EL,2008,14770
EL,2009,14500
EL,2010,13420
EL,2011,12370
EL,2012,11270
EL,2013,11000
EL,2014,11080
EL,2015,11200
EL,2016,11280
EL,2017,11600
EL,2018,11880
EL,2019,12210
EL,2020,11480
EL,2021,12130
EL,2022,13320
EL,2023,13670
EL,2024,14020
EL,2025,14290
EU27_2020,2000,12530
EU27_2020,2001,12750
EU27_2020,2002,12890
EU27_2020,2003,13030
EU27_2020,2004,13240
EU27_2020,2005,13480
EU27_2020,2006,13760
EU27_2020,2007,14020
EU27_2020,2008,14060
EU27_2020,2009,13880
EU27_2020,2010,14000
EU27_2020,2011,14020
EU27_2020,2012,13880
EU27_2020,2013,13790
EU27_2020,2014,13930
EU27_2020,2015,14230
EU27_2020,2016,14500
EU27_2020,2017,14800
EU27_2020,2018,15050
EU27_2020,2019,15250
EU27_2020,2020,14180
EU27_2020,2021,14870
EU27_2020,2022,15520
EU27_2020,2023,15490
EU27_2020,2024,15680
EU27_2020,2025,15900
