geo,time,employment_rate_20_64
EA20,2009,68.3
EA20,2010,67.9
EA20,2011,68.0
EA20,2012,67.6
EA20,2013,67.3
EA20,2014,67.8
EA20,2015,68.7
EA20,2016,69.7
EA20,2017,70.7
EA20,2018,71.7
EA20,2019,72.4
EA20,2020,71.1
EA20,2021,72.4
EA20,2022,74.0
EA20,2023,74.7
EA20,2024,75.2
EA20,2025,75.6
EL,2009,65.4
EL,2010,63.5
EL,2011,59.3
EL,2012,54.5
EL,2013,52.5
EL,2014,53.1
EL,2015,54.8
EL,2016,55.9
EL,2017,57.4
EL,2018,59.0
EL,2019,60.8
EL,2020,58.3
EL,2021,62.6
EL,2022,66.3
EL,2023,67.4
EL,2024,69.3
EL,2025,71.0
EU27_2020,2009,67.3
EU27_2020,2010,67.0
EU27_2020,2011,67.1
EU27_2020,2012,66.9
EU27_2020,2013,66.8
EU27_2020,2014,67.6
EU27_2020,2015,68.5
EU27_2020,2016,69.7
EU27_2020,2017,70.9
EU27_2020,2018,71.9
EU27_2020,2019,72.7
EU27_2020,2020,71.7
EU27_2020,2021,73.1
EU27_2020,2022,74.6
EU27_2020,2023,75.3
EU27_2020,2024,75.7
EU27_2020,2025,76.1
