year,fin_exp
2003,-23.116666666666664
2004,-10.891666666666666
2005,-20.691666666666666
2006,-19.14166666666667
2007,-15.058333333333332
2008,-36.19166666666667
2009,-26.433333333333334
2010,-52.13333333333333
2011,-64.36666666666667
2012,-67.81666666666666
2013,-61.49166666666667
2014,-45.324999999999996
2015,-40.574999999999996
2016,-58.6
2017,-54.699999999999996
2018,-41.36666666666667
2019,-12.033333333333333
2020,-26.691666666666666
2021,-26.858333333333334
2022,-49.425000000000004
2023,-35.625
2024,-43.24166666666667
2025,-41.875
