geo,time,unmet_care,not_good_health,chronic_illness,activity_limitation,unmet_care_excess_eu,acc_unmet_care,not_good_health_excess_eu,acc_not_good_health,chronic_illness_excess_eu,acc_chronic_illness,activity_limitation_excess_eu,acc_activity_limitation,acc_unmet_care_2008
AT,2008,0.7,,,,0.0,0.0,,,,,,,0.0
AT,2009,0.5,,,,0.0,0.0,,,,,,,0.0
AT,2010,0.6,,,,0.0,0.0,,,,,,,0.0
AT,2011,0.4,,,,0.0,0.0,,,,,,,0.0
AT,2012,0.3,,,,0.0,0.0,,,,,,,0.0
AT,2013,0.4,,,,0.0,0.0,,,,,,,0.0
AT,2014,0.1,,,,0.0,0.0,,,,,,,0.0
AT,2015,0.1,,,,0.0,0.0,,,,,,,0.0
AT,2016,0.2,29.799999999999997,37.3,34.2,0.0,0.0,0.0,0.0,2.5999999999999943,2.5999999999999943,8.000000000000004,8.000000000000004,0.0
AT,2017,0.2,29.700000000000003,38.3,34.3,0.0,0.0,0.0,0.0,2.1999999999999957,4.79999999999999,6.699999999999996,14.7,0.0
AT,2018,0.1,28.299999999999997,36.3,34.1,0.0,0.0,0.0,0.0,0.5,5.29999999999999,7.600000000000001,22.3,0.0
AT,2019,0.3,28.799999999999997,37.5,33.9,0.0,0.0,0.0,0.0,1.2000000000000028,6.499999999999993,8.399999999999999,30.7,0.0
AT,2020,0.1,26.0,35.4,31.8,0.0,0.0,0.0,0.0,0.10000000000000142,6.599999999999994,6.900000000000002,37.6,0.0
AT,2021,0.3,27.799999999999997,35.3,27.6,0.0,0.0,0.0,0.0,1.0,7.599999999999994,2.8000000000000007,40.400000000000006,0.0
AT,2022,0.5,29.900000000000006,36.2,28.9,0.0,0.0,0.0,0.0,0.0,7.599999999999994,0.8999999999999986,41.3,0.0
AT,2023,0.6,30.799999999999997,34.9,29.7,0.0,0.0,0.0,0.0,0.10000000000000142,7.699999999999996,2.599999999999998,43.9,0.0
AT,2024,1.0,32.3,36.2,30.4,0.0,0.0,0.0,0.0,0.20000000000000284,7.899999999999999,5.849999999999998,49.75,0.0
AT,2025,0.9,31.5,37.1,30.5,0.0,0.0,0.0,0.0,0.0,7.899999999999999,6.75,56.5,0.0
BE,2008,0.5,,,,0.0,0.0,,,,,,,0.0
BE,2009,0.6,,,,0.0,0.0,,,,,,,0.0
BE,2010,0.4,,,,0.0,0.0,,,,,,,0.0
BE,2011,1.5,,,,0.0,0.0,,,,,,,0.0
BE,2012,1.7,,,,0.0,0.0,,,,,,,0.0
BE,2013,1.9,,,,0.0,0.0,,,,,,,0.0
BE,2014,2.5,,,,0.0,0.0,,,,,,,0.0
BE,2015,2.4,,,,0.2999999999999998,0.2999999999999998,,,,,,,0.2999999999999998
BE,2016,2.5,26.099999999999994,25.4,24.7,0.8,1.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0999999999999999
BE,2017,2.2,25.5,24.9,24.7,0.6000000000000001,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7
BE,2018,1.8,25.099999999999994,24.7,25.2,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7
BE,2019,1.8,25.900000000000006,25.9,27.1,0.40000000000000013,2.1,0.0,0.0,0.0,0.0,1.6000000000000014,1.6000000000000014,2.1
BE,2020,1.5,24.5,24.8,24.9,0.0,2.1,0.0,0.0,0.0,0.0,0.0,1.6000000000000014,2.1
BE,2021,1.7,23.599999999999994,24.9,24.4,0.0,2.1,0.0,0.0,0.0,0.0,0.0,1.6000000000000014,2.1
BE,2022,1.0,24.599999999999994,26.9,25.6,0.0,2.1,0.0,0.0,0.0,0.0,0.0,1.6000000000000014,2.1
BE,2023,1.1,24.400000000000006,26.8,25.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,1.6000000000000014,2.1
BE,2024,1.4,25.299999999999997,27.6,25.5,0.0,2.1,0.0,0.0,0.0,0.0,0.9499999999999993,2.5500000000000007,2.1
BE,2025,0.9,26.099999999999994,29.9,25.3,0.0,2.1,0.0,0.0,0.0,0.0,1.5500000000000007,4.100000000000001,2.1
BG,2008,15.3,,,,13.450000000000001,13.450000000000001,,,,,,,13.450000000000001
BG,2009,10.3,,,,8.200000000000001,21.650000000000002,,,,,,,21.650000000000002
BG,2010,10.5,,,,8.6,30.25,,,,,,,30.25
BG,2011,9.8,,,,7.6000000000000005,37.85,,,,,,,37.85
BG,2012,8.3,,,,6.000000000000001,43.85,,,,,,,43.85
BG,2013,8.9,,,,6.300000000000001,50.150000000000006,,,,,,,50.150000000000006
BG,2014,5.6,,,,2.8,52.95,,,,,,,52.95
BG,2015,4.7,,,,2.6,55.550000000000004,,,,,,,55.550000000000004
BG,2016,2.8,34.3,21.3,16.3,1.0999999999999999,56.650000000000006,3.3999999999999915,3.3999999999999915,0.0,0.0,0.0,0.0,56.650000000000006
