geo,time,hicp_headline_rate
EA19,2000,2.2
EA19,2001,2.4
EA19,2002,2.3
EA19,2003,2.1
EA19,2004,2.2
EA19,2005,2.2
EA19,2006,2.2
EA19,2007,2.2
EA19,2008,3.3
EA19,2009,0.3
EA19,2010,1.6
EA19,2011,2.7
EA19,2012,2.5
EA19,2013,1.3
EA19,2014,0.4
EA19,2015,0.2
EA19,2016,0.2
EA19,2017,1.5
EA19,2018,1.8
EA19,2019,1.2
EA19,2020,0.3
EA19,2021,2.6
EA19,2022,8.4
EA19,2023,5.4
EA19,2024,2.4
EA19,2025,2.1
EA20,2001,2.4
EA20,2002,2.3
EA20,2003,2.1
EA20,2004,2.2
EA20,2005,2.2
EA20,2006,2.2
EA20,2007,2.2
EA20,2008,3.4
EA20,2009,0.3
EA20,2010,1.6
EA20,2011,2.7
EA20,2012,2.5
EA20,2013,1.4
EA20,2014,0.4
EA20,2015,0.2
EA20,2016,0.2
EA20,2017,1.5
EA20,2018,1.8
EA20,2019,1.2
EA20,2020,0.3
EA20,2021,2.6
EA20,2022,8.4
EA20,2023,5.4
EA20,2024,2.4
EA20,2025,2.1
EL,2000,2.9
EL,2001,3.6
EL,2002,3.9
EL,2003,3.4
EL,2004,3.0
EL,2005,3.5
EL,2006,3.3
EL,2007,3.0
EL,2008,4.2
EL,2009,1.3
EL,2010,4.7
EL,2011,3.1
EL,2012,1.0
EL,2013,-0.9
EL,2014,-1.4
EL,2015,-1.1
EL,2016,0.0
EL,2017,1.1
EL,2018,0.8
EL,2019,0.5
EL,2020,-1.3
EL,2021,0.6
EL,2022,9.3
EL,2023,4.2
EL,2024,3.0
EL,2025,2.9
EU,2000,1.9
EU,2001,2.2
EU,2002,2.1
EU,2003,2.0
EU,2004,2.0
EU,2005,2.2
EU,2006,2.2
EU,2007,2.3
EU,2008,3.7
EU,2009,1.0
EU,2010,2.1
EU,2011,3.1
EU,2012,2.6
EU,2013,1.5
EU,2014,0.6
EU,2015,0.1
EU,2016,0.2
EU,2017,1.7
EU,2018,1.9
EU,2019,1.5
EU,2020,0.7
EU,2021,2.9
EU,2022,9.2
EU,2023,6.4
EU,2024,2.6
EU,2025,2.5
EU27_2020,2001,3.6
EU27_2020,2002,2.7
EU27_2020,2003,2.3
EU27_2020,2004,2.5
EU27_2020,2005,2.3
EU27_2020,2006,2.3
EU27_2020,2007,2.4
EU27_2020,2008,3.7
EU27_2020,2009,0.8
EU27_2020,2010,1.8
EU27_2020,2011,2.9
EU27_2020,2012,2.6
EU27_2020,2013,1.3
EU27_2020,2014,0.4
EU27_2020,2015,0.1
EU27_2020,2016,0.2
EU27_2020,2017,1.6
EU27_2020,2018,1.8
EU27_2020,2019,1.4
EU27_2020,2020,0.7
EU27_2020,2021,2.9
EU27_2020,2022,9.2
EU27_2020,2023,6.4
EU27_2020,2024,2.6
EU27_2020,2025,2.5
EU28,2001,3.2
EU28,2002,2.5
EU28,2003,2.1
EU28,2004,2.3
EU28,2005,2.3
EU28,2006,2.3
EU28,2007,2.4
EU28,2008,3.7
EU28,2009,1.0
EU28,2010,2.1
EU28,2011,3.1
EU28,2012,2.6
EU28,2013,1.5
EU28,2014,0.6
EU28,2015,0.1
EU28,2016,0.2
EU28,2017,1.7
EU28,2018,1.9
EU28,2019,1.5
