geo,time,hicp_housing_energy_rate
EA19,2000,4.2
EA19,2001,3.1
EA19,2002,1.3
EA19,2003,2.6
EA19,2004,2.6
EA19,2005,4.8
EA19,2006,4.8
EA19,2007,2.7
EA19,2008,5.3
EA19,2009,0.1
EA19,2010,2.0
EA19,2011,5.0
EA19,2012,4.0
EA19,2013,2.2
EA19,2014,0.8
EA19,2015,-0.7
EA19,2016,-0.9
EA19,2017,1.9
EA19,2018,2.4
EA19,2019,1.7
EA19,2020,-0.8
EA19,2021,4.6
EA19,2022,17.6
EA19,2023,1.5
EA19,2024,1.4
EA19,2025,2.0
EA20,2001,3.1
EA20,2002,1.3
EA20,2003,2.6
EA20,2004,2.6
EA20,2005,4.8
EA20,2006,4.8
EA20,2007,2.7
EA20,2008,5.3
EA20,2009,0.1
EA20,2010,2.0
EA20,2011,4.9
EA20,2012,4.0
EA20,2013,2.2
EA20,2014,0.8
EA20,2015,-0.7
EA20,2016,-0.9
EA20,2017,1.8
EA20,2018,2.4
EA20,2019,1.7
EA20,2020,-0.8
EA20,2021,4.6
EA20,2022,17.5
EA20,2023,1.5
EA20,2024,1.4
EA20,2025,2.1
EL,2000,6.4
EL,2001,2.7
EL,2002,3.8
EL,2003,4.5
EL,2004,4.9
EL,2005,9.2
EL,2006,7.2
EL,2007,2.8
EL,2008,9.8
EL,2009,-4.1
EL,2010,9.2
EL,2011,9.4
EL,2012,7.4
EL,2013,4.4
EL,2014,-2.9
EL,2015,-7.0
EL,2016,-3.2
EL,2017,1.8
EL,2018,-0.3
EL,2019,0.1
EL,2020,-4.1
EL,2021,5.4
EL,2022,25.0
EL,2023,-8.8
EL,2024,1.6
EL,2025,5.5
EU,2000,3.6
EU,2001,2.9
EU,2002,1.5
EU,2003,2.6
EU,2004,2.7
EU,2005,4.9
EU,2006,5.4
EU,2007,3.3
EU,2008,6.1
EU,2009,1.5
EU,2010,2.0
EU,2011,5.0
EU,2012,4.2
EU,2013,2.3
EU,2014,1.0
EU,2015,-0.4
EU,2016,-0.7
EU,2017,1.8
EU,2018,2.5
EU,2019,1.8
EU,2020,-0.2
EU,2021,4.8
EU,2022,18.0
EU,2023,3.4
EU,2024,1.9
EU,2025,2.8
EU27_2020,2001,4.8
EU27_2020,2002,2.8
EU27_2020,2003,3.3
EU27_2020,2004,3.2
EU27_2020,2005,5.0
EU27_2020,2006,5.1
EU27_2020,2007,3.2
EU27_2020,2008,5.9
EU27_2020,2009,1.2
EU27_2020,2010,2.3
EU27_2020,2011,4.9
EU27_2020,2012,4.1
EU27_2020,2013,2.0
EU27_2020,2014,0.7
EU27_2020,2015,-0.5
EU27_2020,2016,-0.8
EU27_2020,2017,1.8
EU27_2020,2018,2.5
EU27_2020,2019,1.8
EU27_2020,2020,-0.1
EU27_2020,2021,4.8
EU27_2020,2022,18.0
EU27_2020,2023,3.4
EU27_2020,2024,1.9
EU27_2020,2025,2.8
EU28,2001,4.5
EU28,2002,2.8
EU28,2003,3.1
EU28,2004,3.3
EU28,2005,5.1
EU28,2006,5.6
EU28,2007,3.4
EU28,2008,6.2
EU28,2009,1.5
EU28,2010,2.0
EU28,2011,5.0
EU28,2012,4.2
EU28,2013,2.3
EU28,2014,1.0
EU28,2015,-0.4
EU28,2016,-0.7
EU28,2017,1.8
EU28,2018,2.5
EU28,2019,1.8
