geo,time,housing_cost_overburden
EA19,2005,9.1
EA19,2006,9.7
EA19,2007,8.3
EA19,2008,8.2
EA19,2009,8.0
EA19,2010,9.6
EA19,2011,10.7
EA19,2012,11.1
EA19,2013,11.3
EA19,2014,11.4
EA19,2015,11.3
EA19,2016,11.0
EA19,2017,10.2
EA19,2018,9.8
EA19,2019,9.8
EA19,2020,8.0
EA19,2021,8.7
EA20,2014,11.4
EA20,2015,11.3
EA20,2016,10.9
EA20,2017,10.1
EA20,2018,9.7
EA20,2019,9.8
EA20,2020,8.0
EA20,2021,9.3
EA20,2022,8.8
EA20,2023,8.9
EA20,2024,8.5
EA20,2025,7.9
EL,2004,24.7
EL,2005,22.7
EL,2006,24.6
EL,2007,15.8
EL,2008,22.2
EL,2009,21.8
EL,2010,18.1
EL,2011,24.2
EL,2012,33.1
EL,2013,36.9
EL,2014,44.9
EL,2015,45.5
EL,2016,40.5
EL,2017,39.6
EL,2018,39.5
EL,2019,36.2
EL,2020,33.3
EL,2021,28.8
EL,2022,26.7
EL,2023,28.5
EL,2024,28.9
EL,2025,26.4
EU,2007,10.7
EU,2008,10.5
EU,2009,9.9
EU,2010,10.8
EU,2011,11.4
EU,2012,11.0
EU,2013,11.1
EU,2014,11.6
EU,2015,11.4
EU,2016,11.1
EU,2017,10.4
EU,2018,10.3
EU,2019,10.1
EU27_2007,2005,11.4
EU27_2007,2006,11.6
EU27_2007,2007,10.7
EU27_2007,2008,10.5
EU27_2007,2009,9.9
EU27_2007,2010,10.7
EU27_2007,2011,11.4
EU27_2007,2012,11.0
EU27_2007,2013,11.1
EU27_2007,2014,11.7
EU27_2007,2015,11.4
EU27_2007,2016,11.1
EU27_2007,2017,10.5
EU27_2007,2018,10.3
EU27_2007,2019,10.2
EU27_2020,2010,10.0
EU27_2020,2011,10.6
EU27_2020,2012,11.5
EU27_2020,2013,11.6
EU27_2020,2014,11.5
EU27_2020,2015,11.2
EU27_2020,2016,10.9
EU27_2020,2017,10.1
EU27_2020,2018,9.6
EU27_2020,2019,9.4
EU27_2020,2020,7.8
EU27_2020,2021,8.7
EU27_2020,2022,8.7
EU27_2020,2023,8.8
EU27_2020,2024,8.2
EU27_2020,2025,7.7
EU28,2010,10.8
EU28,2011,11.4
EU28,2012,11.0
EU28,2013,11.1
EU28,2014,11.6
EU28,2015,11.4
EU28,2016,11.1
EU28,2017,10.4
EU28,2018,10.3
EU28,2019,10.1
