geo,time,aic_pps_pc
AL,2015,6934.4
AL,2016,6983.2
AL,2017,7145.9
AL,2018,7350.4
AL,2019,7732.0
AL,2020,7377.2
AL,2021,7897.3
AL,2022,9187.6
AT,2015,23093.3
AT,2016,23408.9
AT,2017,23882.3
AT,2018,24516.7
AT,2019,24965.0
AT,2020,23604.3
AT,2021,25686.7
AT,2022,28670.4
AT,2023,30138.3
AT,2024,31379.6
BA,2015,7931.3
BA,2016,7949.0
BA,2017,7994.9
BA,2018,8281.6
BA,2019,8527.2
BA,2020,8330.2
BA,2021,8733.8
BA,2022,9799.6
BA,2023,10774.8
BA,2024,11543.7
BE,2015,22339.7
BE,2016,22670.2
BE,2017,23338.4
BE,2018,24076.4
BE,2019,24638.0
BE,2020,23612.1
BE,2021,25314.9
BE,2022,28396.9
BE,2023,30338.0
BE,2024,31479.6
BG,2015,9522.7
BG,2016,9841.1
BG,2017,10396.1
BG,2018,11035.1
BG,2019,11743.7
BG,2020,11830.3
BG,2021,13391.8
BG,2022,15053.2
BG,2023,16312.1
BG,2024,17891.3
CY,2015,16985.7
CY,2016,17860.7
CY,2017,18817.7
CY,2018,19647.8
CY,2019,20649.1
CY,2020,19596.4
CY,2021,20565.0
CY,2022,23490.7
CY,2023,25642.3
CY,2024,26819.7
CZ,2015,14337.0
CZ,2016,14877.5
CZ,2017,15970.1
CZ,2018,16924.2
CZ,2019,17698.6
CZ,2020,17275.5
CZ,2021,18132.8
CZ,2022,19418.0
CZ,2023,20493.2
CZ,2024,21409.1
DE,2015,23061.9
DE,2016,23681.8
DE,2017,24376.9
DE,2018,25091.1
DE,2019,25507.3
DE,2020,24546.0
DE,2021,25935.9
DE,2022,28646.9
DE,2023,29631.7
DE,2024,30746.4
DK,2015,23061.2
DK,2016,23446.3
DK,2017,24479.3
DK,2018,25301.7
DK,2019,25569.9
DK,2020,25739.5
DK,2021,27852.1
DK,2022,28675.2
DK,2023,29375.7
DK,2024,30354.4
EA,2015,20138.2
EA,2016,20580.3
EA,2017,21208.9
EA,2018,21766.6
EA,2019,22281.4
EA,2020,21080.8
EA,2021,22669.2
EA,2022,25095.7
EA,2023,26509.6
EA,2024,27530.3
EA12,2015,20421.5
EA12,2016,20875.5
EA12,2017,21504.8
EA12,2018,22054.9
EA12,2019,22560.0
EA12,2020,21308.8
EA12,2021,22900.9
EA12,2022,25329.0
EA12,2023,26814.3
EA12,2024,27836.9
EA19,2015,20138.2
EA19,2016,20580.3
EA19,2017,21208.9
EA19,2018,21766.6
EA19,2019,22281.4
EA19,2020,21080.8
EA19,2021,22669.2
EA19,2022,25095.7
EA19,2023,26582.3
EA19,2024,27600.7
EA20,2015,20036.1
EA20,2016,20479.9
EA20,2017,21111.6
EA20,2018,21672.5
EA20,2019,22192.1
EA20,2020,21001.1
EA20,2021,22594.9
EA20,2022,25015.4
EA20,2023,26509.6
EA20,2024,27530.3
EA21,2015,19821.9
EA21,2016,20268.9
EA21,2017,20902.0
EA21,2018,21467.3
EA21,2019,21993.8
EA21,2020,20827.8
EA21,2021,22420.3
EA21,2022,24831.6
EA21,2023,26322.5
EA21,2024,27353.2
EE,2015,13380.0
EE,2016,13928.1
EE,2017,14548.7
EE,2018,15516.2
EE,2019,16237.7
EE,2020,16246.2
EE,2021,17468.6
EE,2022,19154.8
EE,2023,19997.2
EE,2024,20716.4
EL,2015,14769.7
EL,2016,14785.5
EL,2017,15372.2
EL,2018,15833.2
EL,2019,16372.1
EL,2020,15474.7
EL,2021,16771.9
EL,2022,19402.0
EL,2023,20701.1
EL,2024,21309.9
ES,2015,17581.9
ES,2016,18045.3
ES,2017,18938.2
ES,2018,19208.8
ES,2019,19626.2
ES,2020,17386.0
ES,2021,19479.0
ES,2022,21735.1
ES,2023,23349.0
ES,2024,24394.9
EU27_2020,2015,18666.2
EU27_2020,2016,19099.5
EU27_2020,2017,19781.0
EU27_2020,2018,20398.6
EU27_2020,2019,20973.3
EU27_2020,2020,20062.0
EU27_2020,2021,21610.0
EU27_2020,2022,23816.3
EU27_2020,2023,25233.7
EU27_2020,2024,26342.1
FI,2015,21426.5
FI,2016,21668.6
FI,2017,22078.3
FI,2018,22644.7
FI,2019,22902.2
FI,2020,22799.5
FI,2021,24376.2
FI,2022,25703.8
FI,2023,27599.2
FI,2024,28516.3
FR,2015,20603.5
FR,2016,20943.3
FR,2017,21396.0
FR,2018,21964.4
FR,2019,22999.0
FR,2020,22048.7
FR,2021,23127.5
FR,2022,24599.7
FR,2023,26696.6
FR,2024,27457.0
HR,2015,11850.9
HR,2016,12267.4
HR,2017,13015.9
HR,2018,13705.5
HR,2019,14594.1
HR,2020,14484.6
HR,2021,16491.0
HR,2022,18210.2
HR,2023,20127.2
HR,2024,21539.9
HU,2015,11306.4
HU,2016,11637.7
HU,2017,12215.7
HU,2018,12790.8
HU,2019,13462.2
HU,2020,13491.7
HU,2021,14461.8
HU,2022,16292.2
HU,2023,16880.1
HU,2024,18552.9
IE,2015,20468.9
IE,2016,20883.2
IE,2017,21366.7
IE,2018,22316.0
IE,2019,22173.1
IE,2020,20727.3
IE,2021,23488.2
IE,2022,27050.1
IE,2023,29284.4
IE,2024,30622.7
IS,2015,23219.8
IS,2016,24260.2
IS,2017,25491.5
IS,2018,26079.6
IS,2019,26610.0
IS,2020,25800.3
IS,2021,28348.4
IS,2022,32284.9
IS,2023,33884.7
IS,2024,34519.1
IT,2015,19313.2
IT,2016,19964.8
IT,2017,20577.8
IT,2018,20980.8
IT,2019,21406.4
IT,2020,19839.6
IT,2021,21576.4
IT,2022,24554.1
IT,2023,25657.3
IT,2024,26638.5
LT,2015,14729.4
LT,2016,15341.4
LT,2017,16243.5
LT,2018,17087.4
LT,2019,17999.4
LT,2020,17653.6
LT,2021,19590.7
LT,2022,21102.0
LT,2023,21947.9
LT,2024,23259.0
LU,2015,32740.4
LU,2016,33041.0
LU,2017,33906.5
LU,2018,34603.1
LU,2019,34793.5
LU,2020,32429.9
LU,2021,35615.9
LU,2022,39260.1
LU,2023,41830.6
LU,2024,43699.3
LV,2015,11643.3
LV,2016,12193.4
LV,2017,12881.1
LV,2018,13535.4
LV,2019,13933.3
LV,2020,13576.0
LV,2021,15658.9
LV,2022,17327.4
LV,2023,18304.1
LV,2024,19157.8
ME,2015,10227.0
ME,2016,10930.9
ME,2017,11303.0
ME,2018,11865.3
ME,2019,12473.9
ME,2020,12342.6
ME,2021,12790.7
ME,2022,15071.0
ME,2023,16896.8
ME,2024,18922.5
