geo,time,arop_before_transfers
AL,2017,40.4
AL,2018,39.0
AL,2019,38.1
AL,2020,37.9
AL,2021,39.0
AL,2022,36.5
AL,2023,36.4
AL,2024,36.7
AT,2015,44.4
AT,2016,44.8
AT,2017,43.4
AT,2018,43.3
AT,2019,44.9
AT,2020,42.4
AT,2021,44.9
AT,2022,43.6
AT,2023,42.3
AT,2024,42.5
BE,2015,43.3
BE,2016,43.8
BE,2017,43.5
BE,2018,41.9
BE,2019,42.6
BE,2020,42.3
BE,2021,44.5
BE,2022,41.6
BE,2023,42.0
BE,2024,42.4
BG,2015,42.9
BG,2016,45.5
BG,2017,44.8
BG,2018,45.2
BG,2019,42.2
BG,2020,41.7
BG,2021,44.3
BG,2022,44.2
BG,2023,45.3
BG,2024,46.1
CH,2015,37.6
CH,2016,38.0
CH,2017,37.5
CH,2018,37.6
CH,2019,38.1
CH,2020,38.0
CH,2021,38.3
CH,2022,38.6
CH,2023,38.3
CH,2024,37.8
CY,2015,38.8
CY,2016,38.3
CY,2017,37.5
CY,2018,36.9
CY,2019,35.7
CY,2020,36.9
CY,2021,36.7
CY,2022,35.4
CY,2023,34.6
CY,2024,34.2
CZ,2015,37.0
CZ,2016,36.5
CZ,2017,35.2
CZ,2018,34.0
CZ,2019,34.5
CZ,2020,34.1
CZ,2021,35.6
CZ,2022,34.6
CZ,2023,34.2
CZ,2024,35.5
DE,2015,43.9
DE,2016,43.4
DE,2017,42.1
DE,2018,42.0
DE,2019,41.1
DE,2020,41.4
DE,2021,43.7
DE,2022,42.1
DE,2023,41.0
DE,2024,40.6
DK,2015,40.6
DK,2016,40.3
DK,2017,40.5
DK,2018,39.2
DK,2019,38.9
DK,2020,40.4
DK,2021,41.0
DK,2022,39.4
DK,2023,38.8
DK,2024,37.9
EA,2015,44.8
EA,2016,44.8
EA,2017,43.9
EA,2018,43.8
EA,2019,43.1
EA,2020,43.6
EA,2021,45.8
EA,2022,44.1
EA,2023,43.3
EA,2024,43.0
EE,2015,39.4
EE,2016,39.7
EE,2017,39.2
EE,2018,38.7
EE,2019,39.3
EE,2020,39.7
EE,2021,39.6
EE,2022,39.4
EE,2023,38.8
EE,2024,39.7
EL,2015,52.9
EL,2016,52.9
EL,2017,50.8
EL,2018,50.0
EL,2019,48.4
EL,2020,48.3
EL,2021,48.2
EL,2022,46.1
EL,2023,45.1
EL,2024,45.0
ES,2015,47.0
ES,2016,46.8
ES,2017,45.0
ES,2018,44.6
ES,2019,44.3
ES,2020,43.9
ES,2021,47.9
ES,2022,44.8
ES,2023,42.6
ES,2024,42.6
EU,2015,44.7
EU,2016,44.4
EU,2017,43.7
EU,2018,43.6
EU,2019,43.0
EU,2020,43.3
EU,2021,45.1
EU,2022,43.5
EU,2023,42.9
EU,2024,42.7
EU27_2020,2015,44.7
EU27_2020,2016,44.7
EU27_2020,2017,43.8
EU27_2020,2018,43.7
EU27_2020,2019,43.0
EU27_2020,2020,43.3
EU27_2020,2021,45.1
EU27_2020,2022,43.5
EU27_2020,2023,42.9
EU27_2020,2024,42.7
FI,2015,43.4
FI,2016,43.7
FI,2017,43.7
FI,2018,43.2
FI,2019,42.8
FI,2020,42.8
FI,2021,43.9
FI,2022,43.3
FI,2023,41.7
FI,2024,41.8
FR,2015,44.3
FR,2016,45.0
FR,2017,45.2
FR,2018,45.7
FR,2019,44.7
FR,2020,48.2
FR,2021,48.6
FR,2022,47.4
FR,2023,46.9
FR,2024,46.3
HR,2015,45.2
HR,2016,44.8
HR,2017,43.2
HR,2018,42.9
HR,2019,41.0
HR,2020,39.3
HR,2021,40.3
HR,2022,38.8
HR,2023,38.4
HR,2024,39.4
HU,2015,49.1
HU,2016,47.6
HU,2017,46.7
HU,2018,46.1
HU,2019,43.6
HU,2020,41.9
HU,2021,39.6
HU,2022,36.8
HU,2023,36.1
HU,2024,36.6
IE,2015,46.3
IE,2016,44.5
IE,2017,42.6
IE,2018,41.0
IE,2019,41.0
IE,2020,39.9
IE,2021,42.4
IE,2022,40.8
IE,2023,38.0
IE,2024,35.6
IS,2015,31.6
IS,2016,31.4
IS,2017,30.7
IS,2018,30.0
IS,2019,34.4
IS,2020,34.2
IS,2021,40.9
IS,2022,36.5
IT,2015,46.0
IT,2016,46.5
IT,2017,45.4
