geo,time,arrears
AL,2017,29.4
AL,2018,27.2
AL,2019,27.4
AL,2020,26.2
AL,2021,27.9
AL,2022,27.0
AL,2023,24.2
AT,2015,6.4
AT,2016,6.5
AT,2017,5.9
AT,2018,4.9
AT,2019,4.3
AT,2020,5.3
AT,2021,4.8
AT,2022,4.7
AT,2023,6.9
AT,2024,7.5
BE,2015,6.9
BE,2016,7.0
BE,2017,5.4
BE,2018,6.1
BE,2019,5.6
BE,2020,5.6
BE,2021,4.1
BE,2022,4.2
BE,2023,4.7
BE,2024,5.0
BG,2015,33.6
BG,2016,34.2
BG,2017,33.3
BG,2018,31.9
BG,2019,29.3
BG,2020,23.6
BG,2021,20.4
BG,2022,19.9
BG,2023,18.8
BG,2024,18.7
CH,2015,8.6
CH,2016,8.9
CH,2017,8.3
CH,2018,8.7
CH,2019,8.8
CH,2020,7.7
CH,2021,6.9
CH,2022,7.1
CH,2023,7.8
CH,2024,9.5
CY,2015,31.6
CY,2016,26.6
CY,2017,24.8
CY,2018,21.6
CY,2019,17.2
CY,2020,15.4
CY,2021,17.3
CY,2022,13.9
CY,2023,13.9
CY,2024,12.5
CZ,2015,4.5
CZ,2016,4.4
CZ,2017,3.2
CZ,2018,3.0
CZ,2019,2.8
CZ,2020,3.0
CZ,2021,2.4
CZ,2022,2.7
CZ,2023,2.9
CZ,2024,3.4
DE,2015,5.2
DE,2016,4.2
DE,2017,4.4
DE,2018,4.6
DE,2019,3.7
DE,2020,5.2
DE,2021,5.6
DE,2022,5.9
DE,2023,8.3
DE,2024,7.2
DK,2015,6.3
DK,2016,5.8
DK,2017,6.0
DK,2018,8.7
DK,2019,7.3
DK,2020,7.7
DK,2021,6.3
DK,2022,6.7
DK,2023,7.8
DK,2024,6.9
EA,2015,10.9
EA,2016,9.5
EA,2017,8.3
EA,2018,8.2
EA,2019,7.5
EA,2020,8.6
EA,2021,9.3
EA17,2015,12.7
EA18,2015,10.9
EA18,2016,9.5
EA18,2017,8.3
EA18,2018,8.2
EA18,2019,7.5
EA18,2020,8.7
EA19,2015,10.9
EA19,2016,9.5
EA19,2017,8.3
EA19,2018,8.2
EA19,2019,7.5
EA19,2020,8.6
EA19,2021,9.3
EA20,2015,11.1
EA20,2016,9.7
EA20,2017,8.4
EA20,2018,8.3
EA20,2019,7.6
EA20,2020,8.7
EA20,2021,9.1
EA20,2022,9.1
EA20,2023,9.5
EA20,2024,9.5
EE,2015,9.3
EE,2016,8.9
EE,2017,7.3
EE,2018,8.0
EE,2019,8.5
EE,2020,5.7
EE,2021,5.7
EE,2022,5.8
EE,2023,5.8
EE,2024,7.1
EL,2015,49.3
EL,2016,47.9
EL,2017,44.9
EL,2018,43.0
EL,2019,41.4
EL,2020,36.9
EL,2021,36.4
EL,2022,45.5
EL,2023,47.3
EL,2024,42.8
ES,2015,11.7
ES,2016,10.6
ES,2017,9.3
ES,2018,9.4
ES,2019,8.1
ES,2020,13.5
ES,2021,14.3
ES,2022,13.2
ES,2023,13.6
ES,2024,14.2
EU,2015,11.6
EU,2016,10.4
EU,2017,9.2
EU,2018,8.9
EU,2019,8.3
EU15,2015,12.0
EU27_2007,2015,11.4
EU27_2007,2016,10.2
EU27_2007,2017,9.0
EU27_2007,2018,8.8
EU27_2007,2019,8.2
EU27_2020,2015,11.8
EU27_2020,2016,10.6
EU27_2020,2017,9.3
EU27_2020,2018,8.9
EU27_2020,2019,8.2
EU27_2020,2020,8.8
EU27_2020,2021,8.9
EU27_2020,2022,9.2
EU27_2020,2023,9.3
EU27_2020,2024,9.2
EU28,2015,11.6
EU28,2016,10.4
EU28,2017,9.2
EU28,2018,8.9
EU28,2019,8.3
FI,2015,10.3
FI,2016,10.9
FI,2017,10.8
FI,2018,10.7
FI,2019,10.5
FI,2020,10.0
FI,2021,8.2
FI,2022,7.7
FI,2023,9.5
FI,2024,11.2
FR,2015,8.9
FR,2016,8.8
FR,2017,9.1
FR,2018,9.1
FR,2019,8.4
FR,2020,9.1
FR,2021,10.1
FR,2022,10.2
FR,2023,10.0
FR,2024,10.6
HR,2015,29.9
HR,2016,26.4
HR,2017,21.9
HR,2018,18.6
HR,2019,15.7
HR,2020,14.2
HR,2021,16.6
HR,2022,15.7
HR,2023,12.7
HR,2024,9.4
HU,2015,21.7
HU,2016,19.0
HU,2017,15.7
HU,2018,12.8
HU,2019,10.9
HU,2020,11.5
HU,2021,11.4
HU,2022,10.3
HU,2023,10.8
HU,2024,9.3
IE,2015,18.9
IE,2016,15.4
IE,2017,13.0
IE,2018,11.2
IE,2019,11.8
IE,2020,14.6
IE,2021,13.7
IE,2022,12.9
IE,2023,10.6
IE,2024,12.2
IS,2015,15.3
IS,2016,13.5
IS,2017,9.7
IS,2018,10.2
IS,2019,9.0
IS,2020,8.3
IT,2015,14.9
IT,2016,10.7
IT,2017,6.1
IT,2018,6.0
IT,2019,5.9
IT,2020,6.8
IT,2021,7.7
IT,2022,6.2
IT,2023,5.0
IT,2024,5.3
LT,2015,9.8
LT,2016,10.7
LT,2017,8.7
LT,2018,10.3
LT,2019,8.2
LT,2020,7.1
LT,2021,6.6
LT,2022,6.0
LT,2023,7.1
LT,2024,5.0
LU,2015,5.2
LU,2016,6.6
LU,2017,3.0
LU,2020,4.9
LU,2021,6.6
LU,2022,7.2
LU,2023,8.7
LU,2024,8.5
LV,2015,18.0
LV,2016,14.9
LV,2017,14.0
LV,2018,13.8
LV,2019,9.9
LV,2020,9.7
LV,2021,7.2
LV,2022,6.9
LV,2023,7.9
LV,2024,7.5
ME,2015,41.0
ME,2016,37.8
ME,2017,35.0
ME,2018,29.3
ME,2019,34.6
ME,2020,32.1
ME,2021,31.8
ME,2022,30.6
ME,2023,30.0
MK,2015,40.5
MK,2016,41.6
MK,2017,39.8
MK,2018,37.7
MK,2019,35.4
MK,2020,32.3
MK,2021,29.1
MK,2022,33.0
MK,2023,29.3
MK,2024,23.3
MT,2015,10.9
MT,2016,10.4
MT,2017,6.5
MT,2018,8.1
MT,2019,7.8
MT,2020,7.0
MT,2021,7.8
MT,2022,6.1
MT,2023,5.7
MT,2024,5.9
NL,2015,5.7
NL,2016,5.0
NL,2017,4.6
NL,2018,3.8
NL,2019,4.0
NL,2020,3.2
NL,2021,2.6
NL,2022,2.9
NL,2023,2.6
NL,2024,3.9
NO,2015,5.8
NO,2016,4.7
NO,2017,5.3
NO,2018,5.3
NO,2019,5.8
NO,2020,6.0
NO,2021,6.7
NO,2022,6.7
NO,2023,8.0
NO,2024,8.1
PL,2015,11.0
PL,2016,11.0
PL,2017,10.3
PL,2018,7.7
PL,2019,7.4
PL,2020,5.5
PL,2021,7.0
PL,2022,6.0
PL,2023,5.1
PL,2024,4.2
PT,2015,10.2
PT,2016,9.3
PT,2017,7.7
PT,2018,6.6
PT,2019,5.8
PT,2020,5.4
PT,2021,6.8
PT,2022,6.1
PT,2023,5.2
PT,2024,5.7
RO,2015,19.6
RO,2016,19.7
RO,2017,17.3
RO,2018,16.5
RO,2019,15.4
RO,2020,14.8
RO,2021,9.4
RO,2022,18.4
RO,2023,14.4
RO,2024,15.3
RS,2015,37.8
RS,2016,36.7
RS,2017,20.4
RS,2018,30.1
RS,2019,27.6
RS,2020,28.1
RS,2021,23.2
RS,2022,23.7
RS,2023,17.9
RS,2024,17.0
SE,2015,6.0
SE,2016,5.4
SE,2017,5.1
SE,2018,4.7
SE,2019,4.8
SE,2020,4.9
SE,2021,5.2
SE,2022,6.2
SE,2023,6.7
SE,2024,7.3
SI,2015,19.2
SI,2016,17.4
SI,2017,15.2
SI,2018,13.6
SI,2019,12.2
SI,2020,10.3
SI,2021,9.0
SI,2022,7.4
SI,2023,7.3
SI,2024,7.5
SK,2015,7.5
SK,2016,7.5
SK,2017,7.4
SK,2018,9.9
SK,2019,10.2
SK,2020,6.7
SK,2021,6.3
SK,2022,8.3
SK,2023,8.8
SK,2024,8.4
TR,2015,41.0
TR,2016,36.8
TR,2017,33.6
TR,2018,30.8
TR,2019,34.5
TR,2020,29.9
TR,2021,33.3
TR,2022,25.0
TR,2023,26.3
TR,2024,20.6
UK,2015,10.2
UK,2016,8.7
UK,2017,8.0
UK,2018,8.8
XK,2018,49.7
