geo,time,debt_to_income
AT,2015,85.46
AT,2016,84.86
AT,2017,84.04
AT,2018,83.34
AT,2019,84.15
AT,2020,86.08
AT,2021,86.14
AT,2022,80.14
AT,2023,73.51
AT,2024,67.89
BE,2015,98.97
BE,2016,99.77
BE,2017,100.7
BE,2018,101.17
BE,2019,103.06
BE,2020,105.22
BE,2021,105.32
BE,2022,100.88
BE,2023,94.89
BE,2024,94.84
BG,2015,38.01
BG,2016,37.98
BG,2017,37.72
BG,2018,37.36
BG,2019,39.25
BG,2020,42.1
BG,2021,43.24
BG,2022,41.24
CH,2015,179.38
CH,2016,182.95
CH,2017,187.27
CH,2018,190.3
CH,2019,189.93
CH,2020,192.15
CH,2021,195.1
CH,2022,195.78
CH,2023,192.87
CY,2015,186.56
CY,2016,174.51
CY,2017,159.37
CY,2018,142.78
CY,2019,127.78
CY,2020,125.1
CY,2021,119.52
CY,2022,112.64
CY,2023,101.27
CY,2024,94.68
CZ,2015,55.44
CZ,2016,57.11
CZ,2017,56.96
CZ,2018,56.67
CZ,2019,56.54
CZ,2020,57.36
CZ,2021,57.7
CZ,2022,53.69
CZ,2023,51.52
CZ,2024,52.36
DE,2015,81.39
DE,2016,81.48
DE,2017,81.25
DE,2018,80.14
DE,2019,81.73
DE,2020,84.76
DE,2021,86.06
DE,2022,82.07
DE,2023,77.75
DE,2024,75.29
DK,2015,229.25
DK,2016,224.9
DK,2017,218.34
DK,2018,211.96
DK,2019,213.12
DK,2020,217.12
DK,2021,207.84
DK,2022,173.32
DK,2023,167.89
DK,2024,167.58
EE,2015,68.38
EE,2016,69.13
EE,2017,69.22
EE,2018,65.75
EE,2019,66.36
EE,2020,68.29
EE,2021,69.05
EE,2022,67.83
EE,2023,65.98
EE,2024,66.1
EL,2015,94.35
EL,2016,92.06
EL,2017,88.09
EL,2018,90.38
EL,2019,81.88
EL,2020,82.09
EL,2021,76.31
EL,2022,66.73
EL,2023,60.53
EL,2024,58.18
ES,2015,106.67
ES,2016,101.8
ES,2017,97.71
ES,2018,94.72
ES,2019,89.95
ES,2020,91.23
ES,2021,87.32
ES,2022,82.92
ES,2023,73.48
ES,2024,68.84
FI,2015,107.82
FI,2016,110.76
FI,2017,113.1
FI,2018,114.39
FI,2019,114.64
FI,2020,118.76
FI,2021,119.67
FI,2022,118.57
FI,2023,112.39
FI,2024,109.03
FR,2015,90.5
FR,2016,92.13
FR,2017,94.34
FR,2018,96.55
FR,2019,98.82
FR,2020,101.8
FR,2021,102.22
FR,2022,101.67
FR,2023,95.27
FR,2024,90.94
HR,2015,61.42
HR,2016,55.86
HR,2017,55.6
HR,2018,55.13
HR,2019,56.08
HR,2020,57.25
HR,2021,52.7
HR,2022,49.42
HR,2023,48.15
HR,2024,47.97
HU,2015,38.14
HU,2016,35.55
HU,2017,32.57
HU,2018,30.54
HU,2019,31.38
HU,2020,34.77
HU,2021,35.07
HU,2022,31.03
HU,2023,27.2
HU,2024,26.81
IE,2015,156.33
IE,2016,139.57
IE,2017,146.07
IE,2018,135.23
IE,2019,103.76
IE,2020,98.49
IE,2021,93.41
IE,2022,93.64
IE,2023,82.33
IE,2024,75.1
IS,2015,154.6
IS,2016,132.86
IS,2017,134.76
IS,2018,140.78
IS,2019,139.08
IS,2020,145.64
IS,2021,146.04
IS,2022,143.87
IS,2023,133.84
IS,2024,128.51
IT,2015,60.98
IT,2016,60.85
IT,2017,60.41
IT,2018,60.63
IT,2019,61.61
IT,2020,63.73
IT,2021,63.01
IT,2022,60.67
IT,2023,56.91
IT,2024,55.43
LT,2015,36.65
LT,2016,36.11
