geo,time,real_gdp_pc
AL,2015,4230
AL,2016,4400
AL,2017,4550
AL,2018,4730
AL,2019,4850
AL,2020,4710
AL,2021,5190
AL,2022,5500
AT,2015,43200
AT,2016,43550
AT,2017,44260
AT,2018,45140
AT,2019,45730
AT,2020,42650
AT,2021,44580
AT,2022,46430
AT,2023,45670
AT,2024,45140
BA,2015,4570
BA,2016,4730
BA,2017,4890
BA,2018,5090
BA,2019,5240
BA,2020,5110
BA,2021,5520
BA,2022,5790
BA,2023,5920
BA,2024,6130
BE,2015,40310
BE,2016,40590
BE,2017,41030
BE,2018,41610
BE,2019,42400
BE,2020,40190
BE,2021,42530
BE,2022,43890
BE,2023,44190
BE,2024,44410
BG,2015,8130
BG,2016,8490
BG,2017,8840
BG,2018,9170
BG,2019,9650
BG,2020,9440
BG,2021,10250
BG,2022,10740
BG,2023,10950
BG,2024,11330
CH,2015,75780
CH,2016,76410
CH,2017,76770
CH,2018,78760
CH,2019,79070
CH,2020,76710
CH,2021,80850
CH,2022,83000
CH,2023,82440
CH,2024,82650
CY,2015,21140
CY,2016,22410
CY,2017,23500
CY,2018,24690
CY,2019,25790
CY,2020,24630
CY,2021,27030
CY,2022,28850
CY,2023,29320
CY,2024,29950
CZ,2015,19270
CZ,2016,19760
CZ,2017,20760
CZ,2018,21320
CZ,2019,22050
CZ,2020,20980
CZ,2021,21830
CZ,2022,21910
CZ,2023,21680
CZ,2024,21950
DE,2015,41230
DE,2016,41880
DE,2017,42960
DE,2018,43390
DE,2019,43790
DE,2020,42020
DE,2021,43730
DE,2022,44230
DE,2023,43450
DE,2024,43110
DK,2015,50810
DK,2016,51950
DK,2017,53200
DK,2018,53920
DK,2019,54630
DK,2020,53540
DK,2021,56780
DK,2022,56530
DK,2023,56770
DK,2024,58670
EA19,2015,33690
EA19,2016,34200
EA19,2017,35030
EA19,2018,35570
EA19,2019,36050
EA19,2020,33830
EA19,2021,35990
EA19,2022,37110
EA19,2023,37030
EA19,2024,37240
EA20,2015,33430
EA20,2016,33940
EA20,2017,34770
EA20,2018,35320
EA20,2019,35800
EA20,2020,33590
EA20,2021,35750
EA20,2022,36880
EA20,2023,36800
EA20,2024,37020
EA21,2015,32920
EA21,2016,33440
EA21,2017,34270
EA21,2018,34820
EA21,2019,35310
EA21,2020,33140
EA21,2021,35280
EA21,2022,36400
EA21,2023,36330
EA21,2024,36560
EE,2015,18650
EE,2016,19190
EE,2017,20270
EE,2018,20970
EE,2019,21650
EE,2020,20960
EE,2021,22670
EE,2022,22370
EE,2023,21210
EE,2024,21060
EL,2015,16100
EL,2016,16160
EL,2017,16430
EL,2018,16810
EL,2019,17210
EL,2020,15660
EL,2021,17110
EL,2022,18160
EL,2023,18600
EL,2024,19020
ES,2015,24720
ES,2016,25420
ES,2017,26110
ES,2018,26620
ES,2019,26930
ES,2020,23850
ES,2021,25440
ES,2022,26820
ES,2023,27150
ES,2024,27800
EU27_2020,2015,29810
EU27_2020,2016,30330
EU27_2020,2017,31140
EU27_2020,2018,31730
EU27_2020,2019,32270
EU27_2020,2020,30500
EU27_2020,2021,32470
EU27_2020,2022,33420
EU27_2020,2023,33390
EU27_2020,2024,33700
FI,2015,40700
FI,2016,41640
FI,2017,42910
FI,2018,43360
FI,2019,43910
FI,2020,42740
FI,2021,43800
FI,2022,44010
FI,2023,43280
FI,2024,43330
FR,2015,35370
FR,2016,35540
FR,2017,36140
FR,2018,36570
FR,2019,37160
FR,2020,34230
FR,2021,36460
FR,2022,37280
FR,2023,37730
FR,2024,38180
HR,2015,11760
HR,2016,12320
HR,2017,12910
HR,2018,13460
HR,2019,14020
HR,2020,12980
HR,2021,14750
HR,2022,15900
HR,2023,16490
HR,2024,17060
HU,2015,12530
HU,2016,12880
HU,2017,13460
HU,2018,14240
HU,2019,14980
HU,2020,14370
HU,2021,15470
HU,2022,16160
HU,2023,16050
HU,2024,16210
IE,2015,60150
IE,2016,60160
IE,2017,65290
IE,2018,69310
IE,2019,71640
