geo,time,real_gdp_pc
AL,2008,3550
AL,2009,3680
AL,2010,3800
AL,2011,3910
AL,2012,3950
AL,2013,4030
AL,2014,4130
AL,2015,4230
AL,2016,4400
AL,2017,4550
AL,2018,4730
AL,2019,4850
AL,2020,4710
AL,2021,5190
AL,2022,5500
AT,2008,43270
AT,2009,41620
AT,2010,42280
AT,2011,43370
AT,2012,43450
AT,2013,43080
AT,2014,43070
AT,2015,43200
AT,2016,43550
AT,2017,44260
AT,2018,45140
AT,2019,45730
AT,2020,42650
AT,2021,44580
AT,2022,46430
AT,2023,45670
AT,2024,45140
BA,2010,4200
BA,2011,4240
BA,2012,4210
BA,2013,4320
BA,2014,4370
BA,2015,4570
BA,2016,4730
BA,2017,4890
BA,2018,5090
BA,2019,5240
BA,2020,5110
BA,2021,5520
BA,2022,5790
BA,2023,5920
BA,2024,6130
BE,2008,39810
BE,2009,38740
BE,2010,39420
BE,2011,39670
BE,2012,39510
BE,2013,39440
BE,2014,39960
BE,2015,40310
BE,2016,40590
BE,2017,41030
BE,2018,41610
BE,2019,42400
BE,2020,40190
BE,2021,42530
BE,2022,43890
BE,2023,44190
BE,2024,44410
BG,2008,7110
BG,2009,6910
BG,2010,7060
BG,2011,7390
BG,2012,7530
BG,2013,7600
BG,2014,7770
BG,2015,8130
BG,2016,8490
BG,2017,8840
BG,2018,9170
BG,2019,9650
BG,2020,9440
BG,2021,10250
BG,2022,10740
BG,2023,10950
BG,2024,11330
CH,2008,74230
CH,2009,71980
CH,2010,73760
CH,2011,74140
CH,2012,74160
CH,2013,74650
CH,2014,75620
CH,2015,75780
CH,2016,76410
CH,2017,76770
CH,2018,78760
CH,2019,79070
CH,2020,76710
CH,2021,80850
CH,2022,83000
CH,2023,82440
CH,2024,82650
CY,2008,25140
CY,2009,23980
CY,2010,23890
CY,2011,23390
CY,2012,22280
CY,2013,20830
CY,2014,20490
CY,2015,21140
CY,2016,22410
CY,2017,23500
CY,2018,24690
CY,2019,25790
CY,2020,24630
CY,2021,27030
CY,2022,28850
CY,2023,29320
CY,2024,29950
CZ,2008,18330
CZ,2009,17350
CZ,2010,17770
CZ,2011,18120
CZ,2012,17970
CZ,2013,17970
CZ,2014,18370
CZ,2015,19270
CZ,2016,19760
CZ,2017,20760
CZ,2018,21320
CZ,2019,22050
CZ,2020,20980
CZ,2021,21830
CZ,2022,21910
CZ,2023,21680
CZ,2024,21950
DE,2008,38840
DE,2009,36810
DE,2010,38430
DE,2011,39880
DE,2012,40010
DE,2013,40100
DE,2014,40850
DE,2015,41230
DE,2016,41880
DE,2017,42960
DE,2018,43390
DE,2019,43790
DE,2020,42020
DE,2021,43730
DE,2022,44230
DE,2023,43450
DE,2024,43110
DK,2008,51270
DK,2009,48460
DK,2010,49010
DK,2011,49440
DK,2012,49260
DK,2013,49750
DK,2014,50110
DK,2015,50810
DK,2016,51950
DK,2017,53200
DK,2018,53920
DK,2019,54630
DK,2020,53540
DK,2021,56780
DK,2022,56530
DK,2023,56770
DK,2024,58670
EA19,2008,33670
EA19,2009,32070
EA19,2010,32660
EA19,2011,33140
EA19,2012,32760
EA19,2013,32660
EA19,2014,33080
EA19,2015,33690
EA19,2016,34200
EA19,2017,35030
EA19,2018,35570
EA19,2019,36050
EA19,2020,33830
EA19,2021,35990
EA19,2022,37110
EA19,2023,37030
EA19,2024,37240
EA20,2008,33400
EA20,2009,31810
EA20,2010,32390
EA20,2011,32870
EA20,2012,32500
EA20,2013,32400
EA20,2014,32820
EA20,2015,33430
EA20,2016,33940
EA20,2017,34770
EA20,2018,35320
EA20,2019,35800
EA20,2020,33590
EA20,2021,35750
EA20,2022,36880
EA20,2023,36800
EA20,2024,37020
EA21,2008,32820
EA21,2009,31260
EA21,2010,31840
EA21,2011,32330
EA21,2012,31980
EA21,2013,31890
EA21,2014,32310
EA21,2015,32920
EA21,2016,33440
EA21,2017,34270
EA21,2018,34820
EA21,2019,35310
EA21,2020,33140
EA21,2021,35280
EA21,2022,36400
EA21,2023,36330
EA21,2024,36560
EE,2008,17510
EE,2009,14980
EE,2010,15380
EE,2011,16590
EE,2012,17260
EE,2013,17630
EE,2014,18280
EE,2015,18650
EE,2016,19190
EE,2017,20270
EE,2018,20970
EE,2019,21650
EE,2020,20960
EE,2021,22670
EE,2022,22370
EE,2023,21210
EE,2024,21060
EL,2008,21420
EL,2009,20490
EL,2010,19300
EL,2011,17420
EL,2012,16050
EL,2013,15800
EL,2014,16030
EL,2015,16100
EL,2016,16160
EL,2017,16430
EL,2018,16810
EL,2019,17210
EL,2020,15660
EL,2021,17110
EL,2022,18160
EL,2023,18600
EL,2024,19020
ES,2008,25760
ES,2009,24590
ES,2010,24510
ES,2011,24260
ES,2012,23560
ES,2013,23310
ES,2014,23730
ES,2015,24720
ES,2016,25420
ES,2017,26110
ES,2018,26620
ES,2019,26930
ES,2020,23850
ES,2021,25440
ES,2022,26820
ES,2023,27150
ES,2024,27800
EU27_2020,2008,29280
EU27_2020,2009,27970
EU27_2020,2010,28520
EU27_2020,2011,29030
EU27_2020,2012,28760
EU27_2020,2013,28740
EU27_2020,2014,29180
EU27_2020,2015,29810
EU27_2020,2016,30330
EU27_2020,2017,31140
EU27_2020,2018,31730
EU27_2020,2019,32270
EU27_2020,2020,30500
EU27_2020,2021,32470
EU27_2020,2022,33420
EU27_2020,2023,33390
EU27_2020,2024,33700
FI,2008,44350
FI,2009,40570
FI,2010,41660
FI,2011,42460
FI,2012,41620
FI,2013,41020
FI,2014,40650
FI,2015,40700
FI,2016,41640
FI,2017,42910
FI,2018,43360
FI,2019,43910
FI,2020,42740
FI,2021,43800
FI,2022,44010
FI,2023,43280
FI,2024,43330
FR,2008,34960
FR,2009,33800
FR,2010,34310
FR,2011,34990
FR,2012,34880
FR,2013,34990
FR,2014,35150
FR,2015,35370
FR,2016,35540
FR,2017,36140
FR,2018,36570
FR,2019,37160
FR,2020,34230
FR,2021,36460
FR,2022,37280
FR,2023,37730
FR,2024,38180
HR,2008,12400
HR,2009,11570
HR,2010,11440
HR,2011,11470
HR,2012,11270
HR,2013,11340
HR,2014,11370
HR,2015,11760
HR,2016,12320
HR,2017,12910
