geo,time,gdp_pps_pc
AL,2015,8400
AL,2016,8500
AL,2017,8900
AL,2018,9300
AL,2019,9600
AL,2020,9300
AL,2021,10300
AL,2022,12100
AL,2023,14500
AL,2024,16700
AT,2015,35700
AT,2016,36400
AT,2017,37000
AT,2018,38400
AT,2019,39300
AT,2020,37400
AT,2021,40200
AT,2022,44600
AT,2023,46400
AT,2024,47500
BA,2015,8500
BA,2016,8900
BA,2017,9200
BA,2018,9800
BA,2019,10200
BA,2020,9900
BA,2021,11000
BA,2022,12500
BA,2023,13600
BA,2024,14600
BE,2015,33100
BE,2016,33600
BE,2017,34500
BE,2018,35600
BE,2019,36900
BE,2020,35900
BE,2021,38700
BE,2022,42500
BE,2023,45400
BE,2024,46600
BG,2015,13600
BG,2016,14400
BG,2017,15300
BG,2018,16300
BG,2019,17400
BG,2020,17500
BG,2021,19700
BG,2022,22400
BG,2023,24300
BG,2024,26300
CH,2015,47700
CH,2016,47500
CH,2017,47600
CH,2018,48900
CH,2019,48900
CH,2020,47500
CH,2021,53300
CH,2022,60400
CH,2023,61500
CH,2024,62600
CY,2015,22600
CY,2016,24500
CY,2017,25900
CY,2018,27300
CY,2019,28900
CY,2020,27200
CY,2021,30400
CY,2022,34500
CY,2023,37400
CY,2024,39500
CZ,2015,24600
CZ,2016,25400
CZ,2017,27200
CZ,2018,28500
CZ,2019,30000
CZ,2020,29200
CZ,2021,30500
CZ,2022,32400
CZ,2023,35000
CZ,2024,36200
DE,2015,35100
DE,2016,36000
DE,2017,37500
DE,2018,38500
DE,2019,39000
DE,2020,38000
DE,2021,40500
DE,2022,43300
DE,2023,45100
DE,2024,46400
DK,2015,35200
DK,2016,36000
DK,2017,38000
DK,2018,38800
DK,2019,39400
DK,2020,40100
DK,2021,44200
DK,2022,48500
DK,2023,48400
DK,2024,50800
EA19,2015,29900
EA19,2016,30600
EA19,2017,31700
EA19,2018,32700
EA19,2019,33600
EA19,2020,32000
EA19,2021,34900
EA19,2022,38000
EA19,2023,40300
EA19,2024,41800
EA20,2015,29700
EA20,2016,30500
EA20,2017,31600
EA20,2018,32500
EA20,2019,33500
EA20,2020,31900
EA20,2021,34700
EA20,2022,37800
EA20,2023,40200
EA20,2024,41700
EA21,2015,29400
EA21,2016,30100
EA21,2017,31300
EA21,2018,32200
EA21,2019,33200
EA21,2020,31600
EA21,2021,34500
EA21,2022,37500
EA21,2023,39900
EA21,2024,41400
EE,2015,21400
EE,2016,22200
EE,2017,23700
EE,2018,25200
EE,2019,26400
EE,2020,26000
EE,2021,28200
EE,2022,30000
EE,2023,30600
EE,2024,31600
EL,2015,19100
EL,2016,19100
EL,2017,19700
EL,2018,20200
EL,2019,20800
EL,2020,18900
EL,2021,21200
EL,2022,24000
EL,2023,26300
EL,2024,27400
ES,2015,25400
ES,2016,26100
ES,2017,27400
ES,2018,27900
ES,2019,28700
ES,2020,25100
ES,2021,28300
ES,2022,31800
ES,2023,34800
