geo,time,gini
AL,2017,36.8
AL,2018,35.4
AL,2019,34.3
AL,2020,33.2
AL,2021,33.0
AL,2022,31.0
AL,2023,30.2
AT,2014,27.6
AT,2015,27.2
AT,2016,27.2
AT,2017,27.9
AT,2018,26.8
AT,2019,27.5
AT,2020,27.0
AT,2021,26.7
AT,2022,27.8
AT,2023,28.1
AT,2024,28.4
BE,2014,25.9
BE,2015,26.2
BE,2016,26.3
BE,2017,26.1
BE,2018,25.7
BE,2019,25.1
BE,2020,25.3
BE,2021,24.1
BE,2022,24.7
BE,2023,24.3
BE,2024,24.6
BG,2014,35.4
BG,2015,37.0
BG,2016,37.7
BG,2017,40.2
BG,2018,39.6
BG,2019,40.8
BG,2020,40.0
BG,2021,39.7
BG,2022,38.4
BG,2023,37.2
BG,2024,38.4
CH,2014,29.5
CH,2015,29.6
CH,2016,29.4
CH,2017,30.1
CH,2018,29.7
CH,2019,30.6
CH,2020,31.2
CH,2021,31.4
CH,2022,31.0
CH,2023,31.5
CH,2024,31.0
CY,2014,34.8
CY,2015,33.6
CY,2016,32.1
CY,2017,30.8
CY,2018,29.1
CY,2019,31.5
CY,2020,29.3
CY,2021,29.3
CY,2022,29.0
CY,2023,29.3
CY,2024,30.1
CZ,2014,25.1
CZ,2015,25.0
CZ,2016,25.1
CZ,2017,24.5
CZ,2018,24.0
CZ,2019,24.0
CZ,2020,24.2
CZ,2021,24.8
CZ,2022,24.8
CZ,2023,24.4
CZ,2024,23.7
DE,2014,30.7
DE,2015,30.1
DE,2016,29.5
DE,2017,29.1
DE,2018,31.1
DE,2019,29.7
DE,2020,30.5
DE,2021,31.2
DE,2022,29.0
DE,2023,29.4
DE,2024,29.5
DK,2014,27.7
DK,2015,27.4
DK,2016,27.7
DK,2017,27.6
DK,2018,27.8
DK,2019,27.5
DK,2020,27.3
DK,2021,27.0
DK,2022,27.7
DK,2023,28.2
DK,2024,28.6
EA20,2014,31.0
EA20,2015,30.7
EA20,2016,30.7
EA20,2017,30.4
EA20,2018,30.6
EA20,2019,30.2
EA20,2020,30.2
EA20,2021,30.6
EA20,2022,29.9
EA20,2023,29.8
EA20,2024,29.9
EE,2014,35.6
EE,2015,34.8
EE,2016,32.7
EE,2017,31.6
EE,2018,30.6
EE,2019,30.5
EE,2020,30.5
EE,2021,30.6
EE,2022,31.9
EE,2023,31.8
EE,2024,30.8
EL,2014,34.5
EL,2015,34.2
EL,2016,34.3
EL,2017,33.4
EL,2018,32.3
EL,2019,31.0
EL,2020,31.4
EL,2021,32.4
EL,2022,31.4
EL,2023,31.8
EL,2024,31.8
ES,2014,34.7
ES,2015,34.6
ES,2016,34.5
ES,2017,34.1
ES,2018,33.2
ES,2019,33.0
ES,2020,32.1
ES,2021,33.0
ES,2022,32.0
ES,2023,31.5
ES,2024,31.2
EU27_2020,2014,30.9
EU27_2020,2015,30.8
EU27_2020,2016,30.6
EU27_2020,2017,30.3
EU27_2020,2018,30.4
EU27_2020,2019,30.1
EU27_2020,2020,30.0
EU27_2020,2021,30.2
EU27_2020,2022,29.6
EU27_2020,2023,29.6
EU27_2020,2024,29.4
FI,2014,25.6
FI,2015,25.2
FI,2016,25.4
FI,2017,25.3
FI,2018,25.9
FI,2019,26.2
FI,2020,26.5
FI,2021,25.7
FI,2022,26.6
FI,2023,26.6
FI,2024,26.1
FR,2014,29.2
FR,2015,29.2
FR,2016,29.3
FR,2017,28.8
FR,2018,28.5
FR,2019,29.2
FR,2020,29.2
FR,2021,29.3
FR,2022,29.8
FR,2023,29.7
FR,2024,30.0
HR,2014,30.2
HR,2015,30.4
HR,2016,29.8
HR,2017,29.9
HR,2018,29.7
HR,2019,29.2
HR,2020,28.3
HR,2021,29.2
HR,2022,28.5
HR,2023,29.7
HR,2024,29.8
HU,2014,28.6
HU,2015,28.2
HU,2016,28.2
HU,2017,28.1
HU,2018,28.7
HU,2019,26.8
HU,2020,28.2
HU,2021,27.4
HU,2022,26.9
HU,2023,28.6
HU,2024,28.0
IE,2014,31.0
IE,2015,29.7
IE,2016,29.6
IE,2017,30.6
IE,2018,28.9
IE,2019,28.0
IE,2020,27.6
IE,2021,26.6
IE,2022,26.9
IE,2023,27.4
IE,2024,26.4
IS,2014,22.7
IS,2015,24.7
IS,2016,24.1
IS,2017,25.2
IS,2018,23.2
IS,2019,23.7
IS,2020,24.0
IT,2014,32.4
IT,2015,32.4
IT,2016,33.1
IT,2017,32.7
IT,2018,33.4
IT,2019,32.8
IT,2020,32.5
IT,2021,32.9
IT,2022,32.7
IT,2023,31.5
IT,2024,32.2
LT,2014,35.0
LT,2015,37.9
LT,2016,37.0
LT,2017,37.6
LT,2018,36.9
LT,2019,35.4
LT,2020,35.1
LT,2021,35.4
LT,2022,36.2
LT,2023,35.7
LT,2024,35.3
LU,2014,28.7
LU,2015,28.5
LU,2016,29.6
LU,2017,29.2
LU,2018,31.3
LU,2019,32.3
LU,2020,31.2
LU,2021,29.6
LU,2022,29.1
LU,2023,30.6
LU,2024,30.1
LV,2014,35.5
LV,2015,35.4
LV,2016,34.5
LV,2017,34.5
LV,2018,35.6
LV,2019,35.2
LV,2020,34.5
LV,2021,35.7
LV,2022,34.3
LV,2023,34.0
LV,2024,34.2
ME,2015,36.5
ME,2016,36.5
ME,2017,36.7
ME,2018,34.7
ME,2019,34.1
ME,2020,32.9
ME,2021,32.5
ME,2022,31.5
MK,2014,35.2
MK,2015,33.7
MK,2016,33.6
MK,2017,32.4
MK,2018,31.9
MK,2019,30.7
MK,2020,31.4
MK,2021,30.3
MK,2022,29.8
MK,2023,30.3
MK,2024,29.2
MT,2014,27.7
MT,2015,28.1
MT,2016,28.6
MT,2017,28.2
MT,2018,28.7
MT,2019,28.0
MT,2020,30.3
MT,2021,31.2
MT,2022,31.1
MT,2023,33.0
MT,2024,31.3
NL,2014,26.2
NL,2015,26.7
NL,2016,26.9
NL,2017,27.1
NL,2018,27.4
NL,2019,26.8
NL,2020,28.2
NL,2021,26.4
NL,2022,26.3
NL,2023,26.5
NL,2024,25.9
NO,2014,23.5
NO,2015,23.9
NO,2016,25.0
NO,2017,26.1
NO,2018,24.8
NO,2019,25.4
NO,2020,25.3
NO,2021,25.9
NO,2022,27.5
NO,2023,24.7
NO,2024,24.4
PL,2014,30.8
PL,2015,30.6
PL,2016,29.8
PL,2017,29.2
PL,2018,27.8
PL,2019,28.5
PL,2020,27.2
PL,2021,26.8
PL,2022,26.3
PL,2023,27.0
PL,2024,26.0
PT,2014,34.5
PT,2015,34.0
PT,2016,33.9
PT,2017,33.5
PT,2018,32.1
PT,2019,31.9
PT,2020,31.2
PT,2021,33.0
PT,2022,32.0
PT,2023,33.7
PT,2024,31.9
RO,2014,35.0
RO,2015,37.4
RO,2016,34.7
RO,2017,33.1
RO,2018,35.1
RO,2019,34.8
RO,2020,33.8
RO,2021,34.3
RO,2022,32.0
RO,2023,31.0
RO,2024,28.0
RS,2014,38.3
RS,2015,40.0
RS,2016,39.8
RS,2017,37.8
RS,2018,35.6
RS,2019,33.6
RS,2020,33.8
RS,2021,33.3
RS,2022,32.6
RS,2023,31.7
RS,2024,31.9
SE,2014,26.9
SE,2015,26.7
SE,2016,27.6
SE,2017,28.0
SE,2018,27.0
SE,2019,27.6
SE,2020,26.9
SE,2021,26.8
SE,2022,27.6
SE,2023,29.5
SE,2024,27.6
SI,2014,25.0
SI,2015,24.5
SI,2016,24.4
SI,2017,23.7
SI,2018,23.4
SI,2019,23.9
SI,2020,23.5
SI,2021,23.0
SI,2022,23.1
SI,2023,23.4
SI,2024,23.8
SK,2014,26.1
SK,2015,23.7
SK,2016,24.3
SK,2017,23.2
SK,2018,20.9
SK,2019,22.8
SK,2020,20.9
SK,2021,21.8
SK,2022,21.2
SK,2023,21.6
SK,2024,21.7
TR,2014,41.2
TR,2015,41.9
TR,2016,42.6
TR,2017,43.0
TR,2018,43.0
TR,2019,41.7
TR,2020,43.4
TR,2021,42.5
TR,2022,45.3
TR,2023,44.2
TR,2024,44.8
UK,2014,31.6
UK,2015,32.4
UK,2016,31.5
UK,2017,33.1
UK,2018,33.5
XK,2018,46.6
