geo,time,hicp_index
AT,2000,75.02
AT,2001,76.74
AT,2002,78.04
AT,2003,79.05
AT,2004,80.6
AT,2005,82.3
AT,2006,83.69
AT,2007,85.53
AT,2008,88.29
AT,2009,88.64
AT,2010,90.14
AT,2011,93.35
AT,2012,95.75
AT,2013,97.77
AT,2014,99.2
AT,2015,100.0
AT,2016,100.97
AT,2017,103.22
AT,2018,105.41
AT,2019,106.98
AT,2020,108.47
AT,2021,111.46
AT,2022,121.07
AT,2023,130.4
AT,2024,134.21
BE,2000,74.96
BE,2001,76.78
BE,2002,77.97
BE,2003,79.16
BE,2004,80.63
BE,2005,82.67
BE,2006,84.6
BE,2007,86.13
BE,2008,90.0
BE,2009,89.99
BE,2010,92.09
BE,2011,95.18
BE,2012,97.68
BE,2013,98.9
BE,2014,99.38
BE,2015,100.0
BE,2016,101.77
BE,2017,104.03
BE,2018,106.44
BE,2019,107.77
BE,2020,108.23
BE,2021,111.71
BE,2022,123.26
BE,2023,126.07
BE,2024,131.52
BG,2000,54.08
BG,2001,58.06
BG,2002,61.44
BG,2003,62.88
BG,2004,66.75
BG,2005,70.78
BG,2006,76.02
BG,2007,81.78
BG,2008,91.55
BG,2009,93.81
BG,2010,96.66
BG,2011,99.94
BG,2012,102.33
BG,2013,102.72
BG,2014,101.08
BG,2015,100.0
BG,2016,98.68
BG,2017,99.85
BG,2018,102.48
BG,2019,104.99
BG,2020,106.27
BG,2021,109.3
BG,2022,123.52
BG,2023,134.15
BG,2024,137.63
CY,2000,74.91
CY,2001,76.4
CY,2002,78.53
CY,2003,81.65
CY,2004,83.2
CY,2005,84.88
CY,2006,86.79
CY,2007,88.67
CY,2008,92.55
CY,2009,92.71
CY,2010,95.09
CY,2011,98.4
CY,2012,101.45
CY,2013,101.84
CY,2014,101.57
CY,2015,100.0
CY,2016,98.78
CY,2017,99.45
CY,2018,100.23
CY,2019,100.78
CY,2020,99.67
CY,2021,101.92
CY,2022,110.17
CY,2023,114.5
CY,2024,117.09
CZ,2000,73.8
CZ,2001,77.1
CZ,2002,78.2
CZ,2003,78.2
CZ,2004,80.2
CZ,2005,81.5
CZ,2006,83.2
CZ,2007,85.6
CZ,2008,91.0
CZ,2009,91.5
CZ,2010,92.6
CZ,2011,94.6
CZ,2012,98.0
CZ,2013,99.3
CZ,2014,99.8
CZ,2015,100.0
CZ,2016,100.7
CZ,2017,103.1
CZ,2018,105.1
CZ,2019,107.8
CZ,2020,111.4
CZ,2021,115.1
CZ,2022,132.1
CZ,2023,147.9
CZ,2024,151.9
DE,2000,78.9
DE,2001,80.4
DE,2002,81.5
DE,2003,82.4
DE,2004,83.8
DE,2005,85.5
DE,2006,87.0
DE,2007,89.0
DE,2008,91.4
DE,2009,91.6
DE,2010,92.7
DE,2011,95.0
DE,2012,97.0
DE,2013,98.6
DE,2014,99.3
DE,2015,100.0
DE,2016,100.4
DE,2017,102.1
DE,2018,104.0
DE,2019,105.5
DE,2020,105.8
DE,2021,109.2
DE,2022,118.7
DE,2023,125.9
DE,2024,129.0
DK,2000,77.5
DK,2001,79.3
DK,2002,81.2
DK,2003,82.7
DK,2004,83.5
DK,2005,85.0
DK,2006,86.5
DK,2007,88.0
DK,2008,91.2
DK,2009,92.1
DK,2010,94.1
DK,2011,96.6
DK,2012,98.9
DK,2013,99.4
DK,2014,99.8
DK,2015,100.0
DK,2016,100.0
DK,2017,101.1
DK,2018,101.8
DK,2019,102.5
DK,2020,102.9
DK,2021,104.9
DK,2022,113.8
DK,2023,117.6
DK,2024,119.1
EE,2000,58.22
EE,2001,61.5
EE,2002,63.71
EE,2003,64.59
EE,2004,66.55
EE,2005,69.29
EE,2006,72.37
EE,2007,77.25
EE,2008,85.45
EE,2009,85.62
EE,2010,87.96
EE,2011,92.43
EE,2012,96.33
EE,2013,99.46
EE,2014,99.93
EE,2015,100.0
EE,2016,100.8
EE,2017,104.48
EE,2018,108.05
EE,2019,110.5
EE,2020,109.8
EE,2021,114.72
EE,2022,137.03
EE,2023,149.52
EE,2024,155.1
EL,2000,71.01
EL,2001,73.59
EL,2002,76.48
EL,2003,79.12
EL,2004,81.51
EL,2005,84.35
EL,2006,87.14
EL,2007,89.75
EL,2008,93.55
EL,2009,94.81
EL,2010,99.27
EL,2011,102.36
EL,2012,103.42
EL,2013,102.54
EL,2014,101.11
EL,2015,100.0
EL,2016,100.02
EL,2017,101.15
EL,2018,101.94
EL,2019,102.46
EL,2020,101.17
EL,2021,101.75
EL,2022,111.21
EL,2023,115.84
EL,2024,119.31
ES,2000,71.22
ES,2001,73.23
ES,2002,75.86
ES,2003,78.21
ES,2004,80.6
ES,2005,83.33
ES,2006,86.29
ES,2007,88.75
ES,2008,92.41
ES,2009,92.19
ES,2010,94.08
ES,2011,96.94
ES,2012,99.31
ES,2013,100.83
ES,2014,100.63
ES,2015,100.0
ES,2016,99.66
ES,2017,101.69
ES,2018,103.46
ES,2019,104.26
ES,2020,103.91
ES,2021,107.04
ES,2022,115.95
ES,2023,119.89
ES,2024,123.33
FI,2000,76.79
FI,2001,78.84
FI,2002,80.42
FI,2003,81.46
FI,2004,81.58
FI,2005,82.21
FI,2006,83.26
FI,2007,84.57
FI,2008,87.89
FI,2009,89.32
FI,2010,90.83
FI,2011,93.85
FI,2012,96.81
FI,2013,98.96
FI,2014,100.16
FI,2015,100.0
FI,2016,100.39
FI,2017,101.23
FI,2018,102.42
FI,2019,103.58
FI,2020,103.98
FI,2021,106.12
FI,2022,113.74
FI,2023,118.67
FI,2024,119.83
FR,2000,78.23
FR,2001,79.62
FR,2002,81.16
FR,2003,82.93
FR,2004,84.86
FR,2005,86.47
FR,2006,88.1
FR,2007,89.52
FR,2008,92.34
FR,2009,92.44
FR,2010,94.05
FR,2011,96.2
FR,2012,98.33
FR,2013,99.31
FR,2014,99.91
FR,2015,100.0
FR,2016,100.31
FR,2017,101.47
FR,2018,103.6
FR,2019,104.95
FR,2020,105.5
FR,2021,107.68
FR,2022,114.04
FR,2023,120.5
FR,2024,123.29
HR,2000,69.32
HR,2001,72.28
HR,2002,74.11
HR,2003,75.88
HR,2004,77.51
HR,2005,79.83
HR,2006,82.46
HR,2007,84.65
HR,2008,89.56
HR,2009,91.56
HR,2010,92.55
HR,2011,94.59
HR,2012,97.76
HR,2013,100.04
HR,2014,100.26
HR,2015,100.0
HR,2016,99.37
HR,2017,100.67
HR,2018,102.23
HR,2019,103.04
HR,2020,103.06
HR,2021,105.82
HR,2022,117.11
HR,2023,126.94
HR,2024,132.04
HU,2000,51.95
HU,2001,56.67
HU,2002,59.64
HU,2003,62.43
HU,2004,66.66
HU,2005,68.98
HU,2006,71.76
HU,2007,77.45
HU,2008,82.12
HU,2009,85.43
HU,2010,89.47
HU,2011,92.98
HU,2012,98.24
HU,2013,99.92
HU,2014,99.94
HU,2015,100.0
HU,2016,100.45
HU,2017,102.84
HU,2018,105.84
HU,2019,109.46
HU,2020,113.15
HU,2021,119.04
HU,2022,137.22
HU,2023,160.59
HU,2024,166.56
IE,2000,77.1
IE,2001,80.2
IE,2002,84.0
IE,2003,87.3
IE,2004,89.3
IE,2005,91.3
IE,2006,93.7
IE,2007,96.4
IE,2008,99.5
IE,2009,97.8
IE,2010,96.2
IE,2011,97.4
IE,2012,99.2
IE,2013,99.7
IE,2014,100.0
IE,2015,100.0
IE,2016,99.8
IE,2017,100.1
IE,2018,100.8
IE,2019,101.7
IE,2020,101.2
IE,2021,103.6
IE,2022,112.0
IE,2023,117.8
IE,2024,119.4
IT,2000,74.2
IT,2001,75.9
IT,2002,77.9
IT,2003,80.1
IT,2004,81.9
IT,2005,83.7
IT,2006,85.6
IT,2007,87.3
IT,2008,90.4
IT,2009,91.1
IT,2010,92.6
IT,2011,95.3
IT,2012,98.4
IT,2013,99.7
IT,2014,99.9
IT,2015,100.0
IT,2016,99.9
IT,2017,101.3
IT,2018,102.5
IT,2019,103.2
IT,2020,103.0
IT,2021,105.0
IT,2022,114.2
IT,2023,120.9
IT,2024,122.3
LT,2000,68.68
LT,2001,69.74
LT,2002,69.98
LT,2003,69.22
LT,2004,70.02
LT,2005,71.89
LT,2006,74.59
LT,2007,78.93
LT,2008,87.69
LT,2009,91.34
LT,2010,92.43
LT,2011,96.24
LT,2012,99.28
LT,2013,100.44
LT,2014,100.68
LT,2015,100.0
LT,2016,100.68
LT,2017,104.42
LT,2018,107.07
LT,2019,109.47
LT,2020,110.63
LT,2021,115.75
LT,2022,137.57
LT,2023,149.52
LT,2024,150.79
LU,2000,70.43
LU,2001,72.12
LU,2002,73.6
LU,2003,75.47
LU,2004,77.91
LU,2005,80.85
LU,2006,83.24
LU,2007,85.45
LU,2008,88.94
LU,2009,88.95
LU,2010,91.44
LU,2011,94.85
LU,2012,97.59
LU,2013,99.25
LU,2014,99.94
LU,2015,100.0
LU,2016,100.04
LU,2017,102.15
LU,2018,104.21
LU,2019,105.93
LU,2020,105.93
LU,2021,109.61
LU,2022,118.55
LU,2023,122.02
LU,2024,124.77
LV,2000,55.18
LV,2001,56.58
LV,2002,57.69
LV,2003,59.39
LV,2004,63.06
LV,2005,67.4
LV,2006,71.83
LV,2007,79.08
LV,2008,91.14
LV,2009,94.11
LV,2010,92.96
LV,2011,96.88
LV,2012,99.09
LV,2013,99.11
LV,2014,99.79
LV,2015,100.0
LV,2016,100.1
LV,2017,103.0
LV,2018,105.63
LV,2019,108.53
LV,2020,108.62
LV,2021,112.14
LV,2022,131.47
LV,2023,143.38
LV,2024,145.32
MT,2000,72.34
MT,2001,74.16
MT,2002,76.1
MT,2003,77.56
MT,2004,79.68
MT,2005,81.69
MT,2006,83.79
MT,2007,84.38
MT,2008,88.33
MT,2009,89.95
MT,2010,91.79
MT,2011,94.1
MT,2012,97.13
MT,2013,98.08
MT,2014,98.84
MT,2015,100.0
MT,2016,100.9
MT,2017,102.18
MT,2018,103.95
MT,2019,105.54
MT,2020,106.37
MT,2021,107.12
MT,2022,113.69
MT,2023,120.01
MT,2024,122.94
NL,2000,74.51
NL,2001,78.32
NL,2002,81.35
NL,2003,83.16
NL,2004,84.32
NL,2005,85.57
NL,2006,86.99
NL,2007,88.36
NL,2008,90.32
NL,2009,91.2
NL,2010,92.05
NL,2011,94.32
NL,2012,96.99
NL,2013,99.47
NL,2014,99.79
NL,2015,100.0
NL,2016,100.11
NL,2017,101.4
NL,2018,103.02
NL,2019,105.78
NL,2020,106.96
NL,2021,109.98
NL,2022,122.78
NL,2023,127.81
NL,2024,131.92
PL,2000,70.0
PL,2001,73.8
PL,2002,75.2
PL,2003,75.7
PL,2004,78.5
PL,2005,80.2
PL,2006,81.2
PL,2007,83.3
PL,2008,86.8
PL,2009,90.3
PL,2010,92.7
PL,2011,96.3
PL,2012,99.8
PL,2013,100.6
PL,2014,100.7
PL,2015,100.0
PL,2016,99.8
PL,2017,101.4
PL,2018,102.6
PL,2019,104.8
PL,2020,108.6
PL,2021,114.3
PL,2022,129.4
PL,2023,143.5
PL,2024,148.7
PT,2000,73.18
PT,2001,76.41
PT,2002,79.24
PT,2003,81.8
PT,2004,83.85
PT,2005,85.64
PT,2006,88.25
PT,2007,90.39
PT,2008,92.78
PT,2009,91.95
PT,2010,93.22
PT,2011,96.54
PT,2012,99.22
PT,2013,99.65
PT,2014,99.5
PT,2015,100.0
PT,2016,100.64
PT,2017,102.2
PT,2018,103.4
PT,2019,103.71
PT,2020,103.58
PT,2021,104.55
PT,2022,113.03
PT,2023,118.98
PT,2024,122.15
RO,2000,28.01
RO,2001,37.66
RO,2002,46.14
RO,2003,53.18
RO,2004,59.51
RO,2005,64.9
RO,2006,69.19
RO,2007,72.58
RO,2008,78.33
RO,2009,82.7
RO,2010,87.73
RO,2011,92.84
RO,2012,95.98
RO,2013,99.04
RO,2014,100.41
RO,2015,100.0
RO,2016,98.93
RO,2017,100.0
RO,2018,104.08
RO,2019,108.15
RO,2020,110.67
RO,2021,115.21
RO,2022,129.06
RO,2023,141.64
RO,2024,149.91
SE,2000,79.78
SE,2001,81.92
SE,2002,83.51
SE,2003,85.44
SE,2004,86.32
SE,2005,87.03
SE,2006,88.34
SE,2007,89.82
SE,2008,92.83
SE,2009,94.63
SE,2010,96.43
SE,2011,97.75
SE,2012,98.66
SE,2013,99.1
SE,2014,99.3
SE,2015,100.0
SE,2016,101.14
SE,2017,103.02
SE,2018,105.12
SE,2019,106.93
SE,2020,107.63
SE,2021,110.49
SE,2022,119.39
SE,2023,126.44
SE,2024,128.98
SI,2000,61.98
SI,2001,67.33
SI,2002,72.37
SI,2003,76.46
SI,2004,79.26
SI,2005,81.19
SI,2006,83.25
SI,2007,86.42
SI,2008,91.19
SI,2009,91.97
SI,2010,93.86
SI,2011,95.81
SI,2012,98.5
SI,2013,100.4
SI,2014,100.77
SI,2015,100.0
SI,2016,99.85
SI,2017,101.4
SI,2018,103.36
SI,2019,105.11
SI,2020,104.82
SI,2021,106.97
SI,2022,116.94
SI,2023,125.38
SI,2024,127.87
SK,2000,61.5
SK,2001,65.9
SK,2002,68.21
SK,2003,73.96
SK,2004,79.49
SK,2005,81.71
SK,2006,85.19
SK,2007,86.8
SK,2008,90.22
SK,2009,91.05
SK,2010,91.69
SK,2011,95.43
SK,2012,99.0
SK,2013,100.45
SK,2014,100.35
SK,2015,100.0
SK,2016,99.52
SK,2017,100.9
SK,2018,103.46
SK,2019,106.33
SK,2020,108.47
SK,2021,111.53
SK,2022,125.05
SK,2023,138.79
SK,2024,143.17
