geo,time,housing_cost_overburden
AL,2017,9.2
AL,2018,6.0
AL,2019,5.5
AL,2020,3.8
AL,2021,3.3
AL,2022,2.8
AL,2023,2.1
AT,2015,6.4
AT,2016,7.2
AT,2017,7.1
AT,2018,6.8
AT,2019,7.0
AT,2020,6.3
AT,2021,6.1
AT,2022,7.4
AT,2023,6.0
AT,2024,6.3
BE,2015,9.4
BE,2016,9.8
BE,2017,9.4
BE,2018,8.9
BE,2019,8.4
BE,2020,7.7
BE,2021,7.6
BE,2022,7.5
BE,2023,7.8
BE,2024,6.7
BG,2015,14.8
BG,2016,20.7
BG,2017,18.9
BG,2018,17.9
BG,2019,16.0
BG,2020,14.4
BG,2021,11.6
BG,2022,15.1
BG,2023,11.1
BG,2024,8.0
CH,2015,11.7
CH,2016,12.0
CH,2017,12.7
CH,2018,12.8
CH,2019,14.2
CH,2020,13.6
CH,2021,14.8
CH,2022,13.4
CH,2023,14.2
CH,2024,15.3
CY,2015,3.9
CY,2016,3.1
CY,2017,2.8
CY,2018,2.0
CY,2019,2.2
CY,2020,1.9
CY,2021,2.4
CY,2022,2.6
CY,2023,2.6
CY,2024,2.4
CZ,2015,10.4
CZ,2016,9.5
CZ,2017,8.7
CZ,2018,7.8
CZ,2019,6.9
CZ,2020,6.5
CZ,2021,6.2
CZ,2022,6.9
CZ,2023,9.1
CZ,2024,9.2
DE,2015,15.6
DE,2016,15.8
DE,2017,14.5
DE,2018,14.2
DE,2019,13.9
DE,2020,9.0
DE,2021,11.0
DE,2022,11.9
DE,2023,13.0
DE,2024,12.0
DK,2015,15.1
DK,2016,15.1
DK,2017,15.7
DK,2018,14.7
DK,2019,15.6
DK,2020,14.1
DK,2021,15.5
DK,2022,14.7
DK,2023,15.4
DK,2024,14.6
EA,2015,11.3
EA,2016,11.0
EA,2017,10.2
EA,2018,9.8
EA,2019,9.8
EA,2020,8.0
EA18,2015,11.3
EA18,2016,11.0
EA18,2017,10.2
EA18,2018,9.8
EA18,2019,9.9
EA18,2020,8.1
EA19,2015,11.3
EA19,2016,11.0
EA19,2017,10.2
EA19,2018,9.8
EA19,2019,9.8
EA19,2020,8.0
EA19,2021,8.7
EA20,2015,11.3
EA20,2016,10.9
EA20,2017,10.1
EA20,2018,9.7
EA20,2019,9.8
EA20,2020,8.0
EA20,2021,9.3
EA20,2022,8.8
EA20,2023,8.9
EA20,2024,8.5
EA21,2015,11.3
EA21,2016,11.1
EA21,2017,10.3
EA21,2018,9.9
EA21,2019,9.9
EA21,2020,8.1
EA21,2021,9.3
EA21,2022,8.9
EA21,2023,8.9
EA21,2024,8.5
EE,2015,6.8
