geo,time,ltu_rate
AT,2009,1.4
AT,2010,1.5
AT,2011,1.5
AT,2012,1.5
AT,2013,1.6
AT,2014,1.9
AT,2015,2.0
AT,2016,2.4
AT,2017,2.3
AT,2018,1.7
AT,2019,1.4
AT,2020,1.7
AT,2021,2.0
AT,2022,1.2
AT,2023,1.1
AT,2024,1.1
BA,2021,13.4
BA,2022,11.4
BA,2023,9.6
BA,2024,9.0
BE,2009,3.2
BE,2010,3.7
BE,2011,3.1
BE,2012,3.1
BE,2013,3.5
BE,2014,3.9
BE,2015,4.0
BE,2016,3.7
BE,2017,3.1
BE,2018,2.6
BE,2019,2.1
BE,2020,2.1
BE,2021,2.6
BE,2022,2.3
BE,2023,2.2
BE,2024,2.0
BG,2009,3.5
BG,2010,5.3
BG,2011,7.0
BG,2012,7.5
BG,2013,8.1
BG,2014,7.6
BG,2015,6.3
BG,2016,5.2
BG,2017,4.0
BG,2018,3.7
BG,2019,3.0
BG,2020,2.8
BG,2021,2.6
BG,2022,2.2
BG,2023,2.3
BG,2024,2.2
CH,2010,1.6
CH,2011,1.6
CH,2012,1.5
CH,2013,1.5
CH,2014,1.7
CH,2015,1.8
CH,2016,1.8
CH,2017,1.7
CH,2018,1.7
CH,2019,1.5
CH,2020,1.5
CH,2021,1.9
CH,2022,1.5
CH,2023,1.3
CH,2024,1.4
CY,2009,0.6
CY,2010,1.3
CY,2011,1.6
CY,2012,3.6
CY,2013,6.1
CY,2014,7.7
CY,2015,6.8
CY,2016,5.8
CY,2017,4.5
CY,2018,2.7
CY,2019,2.2
CY,2020,2.2
CY,2021,2.5
CY,2022,2.1
CY,2023,1.8
CY,2024,1.3
CZ,2009,2.0
CZ,2010,3.0
CZ,2011,2.7
CZ,2012,3.0
CZ,2013,3.0
CZ,2014,2.7
CZ,2015,2.4
CZ,2016,1.7
CZ,2017,1.0
CZ,2018,0.7
CZ,2019,0.6
CZ,2020,0.6
CZ,2021,0.8
CZ,2022,0.6
CZ,2023,0.8
CZ,2024,0.8
DE,2009,3.6
DE,2010,3.3
DE,2011,2.8
DE,2012,2.5
DE,2013,2.4
DE,2014,2.2
DE,2015,2.1
DE,2016,1.7
DE,2017,1.6
DE,2018,1.4
DE,2019,1.2
DE,2020,1.1
DE,2021,1.2
DE,2022,1.1
DE,2023,1.0
DE,2024,1.0
DK,2009,0.6
DK,2010,1.4
DK,2011,1.8
DK,2012,2.1
DK,2013,1.8
DK,2014,1.7
DK,2015,1.6
DK,2016,1.2
DK,2017,1.2
DK,2018,1.0
DK,2019,0.8
DK,2020,0.9
DK,2021,1.0
DK,2022,0.5
DK,2023,0.5
DK,2024,0.8
EA20,2009,3.3
EA20,2010,4.2
EA20,2011,4.5
EA20,2012,5.2
EA20,2013,5.8
EA20,2014,5.9
EA20,2015,5.4
EA20,2016,4.8
EA20,2017,4.2
EA20,2018,3.6
EA20,2019,3.1
EA20,2020,2.8
EA20,2021,3.2
EA20,2022,2.7
EA20,2023,2.4
EA20,2024,2.1
EA21,2009,3.3
EA21,2010,4.2
EA21,2011,4.5
EA21,2012,5.2
EA21,2013,5.9
EA21,2014,6.0
EA21,2015,5.4
EA21,2016,4.8
EA21,2017,4.2
EA21,2018,3.6
EA21,2019,3.1
EA21,2020,2.8
EA21,2021,3.2
EA21,2022,2.7
EA21,2023,2.4
EA21,2024,2.1
EE,2009,3.7
EE,2010,7.5
EE,2011,7.0
EE,2012,5.4
EE,2013,3.8
EE,2014,3.3
EE,2015,2.4
EE,2016,2.2
EE,2017,2.0
EE,2018,1.3
EE,2019,0.9
EE,2020,1.2
EE,2021,1.6
EE,2022,1.3
EE,2023,1.3
EE,2024,1.8
EL,2009,3.6
EL,2010,5.2
EL,2011,8.0
EL,2012,13.1
EL,2013,16.7
EL,2014,17.5
EL,2015,16.4
EL,2016,15.4
EL,2017,14.3
EL,2018,12.5
EL,2019,11.3
EL,2020,10.5
EL,2021,9.2
EL,2022,7.7
EL,2023,6.2
EL,2024,5.4
ES,2009,4.3
