geo,time,nominal_comp
AT,2000,31943.3
AT,2001,32418.0
AT,2002,33088.4
AT,2003,33653.4
AT,2004,34336.9
AT,2005,35025.1
AT,2006,36099.8
AT,2007,37163.6
AT,2008,38513.8
AT,2009,38983.0
AT,2010,39397.1
AT,2011,40225.5
AT,2012,41271.0
AT,2013,42137.7
AT,2014,42879.7
AT,2015,43723.7
AT,2016,44746.7
AT,2017,45455.2
AT,2018,46738.7
AT,2019,48040.0
AT,2020,48869.5
AT,2021,50309.9
AT,2022,52722.6
AT,2023,56318.4
AT,2024,60398.3
BE,2000,37726.3
BE,2001,39107.1
BE,2002,40724.2
BE,2003,41536.8
BE,2004,42273.9
BE,2005,43028.3
BE,2006,44555.4
BE,2007,46126.6
BE,2008,47824.3
BE,2009,48349.2
BE,2010,49050.6
BE,2011,50632.3
BE,2012,52314.3
BE,2013,53564.7
BE,2014,54109.1
BE,2015,54210.3
BE,2016,54617.2
BE,2017,55667.3
BE,2018,56682.4
BE,2019,57856.6
BE,2020,57143.1
BE,2021,59970.9
BE,2022,64491.0
BE,2023,69349.2
BE,2024,71693.9
BG,2000,2200.9
BG,2001,2494.8
BG,2002,2642.3
BG,2003,2752.0
BG,2004,2914.9
BG,2005,3182.4
BG,2006,3382.7
BG,2007,3810.8
BG,2008,4450.9
BG,2009,4810.4
BG,2010,5287.2
BG,2011,5644.9
BG,2012,6082.1
BG,2013,6617.4
BG,2014,6987.3
BG,2015,7381.5
BG,2016,7809.6
BG,2017,8629.7
BG,2018,9464.4
BG,2019,10119.0
BG,2020,10843.6
BG,2021,12068.7
BG,2022,13776.9
BG,2023,15629.2
BG,2024,17832.1
CY,2000,17758.7
CY,2001,18361.4
CY,2002,19265.9
CY,2003,20472.7
CY,2004,20994.3
CY,2005,22582.0
CY,2006,23581.3
CY,2007,23741.1
CY,2008,24399.2
CY,2009,25755.5
CY,2010,26050.4
CY,2011,26640.6
CY,2012,27099.5
CY,2013,25668.1
CY,2014,24738.0
CY,2015,24408.9
CY,2016,24184.3
CY,2017,24558.5
CY,2018,25017.6
CY,2019,26401.3
CY,2020,26545.3
CY,2021,27755.3
CY,2022,29777.8
CY,2023,32569.1
CY,2024,33633.3
CZ,2000,6330.6
CZ,2001,7174.5
CZ,2002,8548.4
CZ,2003,8914.1
CZ,2004,9610.1
CZ,2005,10689.7
CZ,2006,11900.1
CZ,2007,12894.8
CZ,2008,14981.4
CZ,2009,14046.7
CZ,2010,15253.9
CZ,2011,16123.0
CZ,2012,16025.2
CZ,2013,15492.1
CZ,2014,15028.4
CZ,2015,15649.1
CZ,2016,16571.2
CZ,2017,18272.2
CZ,2018,20308.1
CZ,2019,21854.8
CZ,2020,22059.5
CZ,2021,24163.4
CZ,2022,26954.8
CZ,2023,29511.1
CZ,2024,29789.6
DE,2000,31550.0
DE,2001,32154.2
DE,2002,32581.3
DE,2003,33208.0
DE,2004,33351.3
DE,2005,33440.2
DE,2006,33843.7
DE,2007,34178.6
DE,2008,34964.0
DE,2009,35121.7
DE,2010,36005.1
DE,2011,37081.5
DE,2012,38063.0
DE,2013,38847.9
DE,2014,40007.1
DE,2015,41164.3
DE,2016,42145.2
DE,2017,43312.9
DE,2018,44677.7
DE,2019,46155.4
DE,2020,46278.9
DE,2021,47757.1
DE,2022,49853.1
DE,2023,52969.4
DE,2024,55708.0
DK,2000,34847.4
DK,2001,36247.2
DK,2002,37719.7
DK,2003,39057.5
DK,2004,40236.6
