geo,time,price_level,category
AT,2000,110.7,A01
AT,2001,112.9,A01
AT,2002,111.6,A01
AT,2003,109.2,A01
AT,2004,108.8,A01
AT,2005,107.6,A01
AT,2006,107.4,A01
AT,2007,109.2,A01
AT,2008,109.8,A01
AT,2009,111.3,A01
AT,2010,111.4,A01
AT,2011,112.2,A01
AT,2012,112.5,A01
AT,2013,112.3,A01
AT,2014,113.7,A01
AT,2015,114.0,A01
AT,2016,115.2,A01
AT,2017,116.4,A01
AT,2018,117.1,A01
AT,2019,118.2,A01
AT,2020,118.9,A01
AT,2021,115.4,A01
AT,2022,114.0,A01
AT,2023,117.2,A01
AT,2024,117.8,A01
BE,2000,110.1,A01
BE,2001,110.6,A01
BE,2002,109.2,A01
BE,2003,109.7,A01
BE,2004,111.0,A01
BE,2005,110.6,A01
BE,2006,111.4,A01
BE,2007,113.5,A01
BE,2008,113.9,A01
BE,2009,115.1,A01
BE,2010,114.1,A01
BE,2011,114.6,A01
BE,2012,115.2,A01
BE,2013,114.2,A01
BE,2014,113.4,A01
BE,2015,113.1,A01
BE,2016,115.4,A01
BE,2017,116.6,A01
BE,2018,117.1,A01
BE,2019,117.1,A01
BE,2020,116.2,A01
BE,2021,117.3,A01
BE,2022,119.2,A01
BE,2023,119.0,A01
BE,2024,118.4,A01
BG,2000,33.7,A01
BG,2001,35.8,A01
BG,2002,36.3,A01
BG,2003,35.6,A01
BG,2004,37.0,A01
BG,2005,38.3,A01
BG,2006,41.0,A01
BG,2007,43.1,A01
BG,2008,45.9,A01
BG,2009,47.7,A01
BG,2010,46.7,A01
BG,2011,46.4,A01
BG,2012,46.5,A01
BG,2013,45.5,A01
BG,2014,44.4,A01
BG,2015,44.8,A01
BG,2016,45.1,A01
BG,2017,46.7,A01
BG,2018,47.6,A01
BG,2019,49.4,A01
BG,2020,51.3,A01
BG,2021,51.6,A01
BG,2022,55.0,A01
BG,2023,56.1,A01
BG,2024,57.7,A01
CY,2000,90.6,A01
CY,2001,91.3,A01
CY,2002,92.2,A01
CY,2003,92.4,A01
CY,2004,93.4,A01
CY,2005,93.3,A01
CY,2006,94.5,A01
CY,2007,90.5,A01
CY,2008,91.4,A01
CY,2009,93.2,A01
CY,2010,96.4,A01
CY,2011,97.7,A01
CY,2012,99.2,A01
CY,2013,98.0,A01
CY,2014,95.8,A01
CY,2015,94.1,A01
CY,2016,91.7,A01
CY,2017,92.0,A01
CY,2018,93.2,A01
CY,2019,93.8,A01
CY,2020,93.8,A01
CY,2021,95.3,A01
CY,2022,95.5,A01
CY,2023,94.2,A01
CY,2024,93.8,A01
CZ,2000,46.0,A01
CZ,2001,47.5,A01
CZ,2002,54.8,A01
CZ,2003,52.2,A01
CZ,2004,53.0,A01
CZ,2005,56.6,A01
CZ,2006,60.8,A01
CZ,2007,61.8,A01
CZ,2008,69.5,A01
CZ,2009,65.4,A01
CZ,2010,67.9,A01
CZ,2011,70.3,A01
CZ,2012,69.1,A01
CZ,2013,65.2,A01
CZ,2014,60.7,A01
CZ,2015,62.1,A01
CZ,2016,63.1,A01
CZ,2017,64.7,A01
CZ,2018,67.9,A01
CZ,2019,69.3,A01
CZ,2020,69.3,A01
CZ,2021,74.9,A01
CZ,2022,81.5,A01
CZ,2023,83.0,A01
CZ,2024,80.9,A01
DE,2000,111.9,A01
DE,2001,111.5,A01
DE,2002,111.2,A01
DE,2003,108.6,A01
DE,2004,107.1,A01
DE,2005,106.4,A01
DE,2006,106.1,A01
DE,2007,105.1,A01
DE,2008,104.7,A01
DE,2009,105.9,A01
DE,2010,105.1,A01
DE,2011,104.2,A01
DE,2012,104.5,A01
DE,2013,105.5,A01
DE,2014,105.7,A01
DE,2015,106.8,A01
DE,2016,106.5,A01
DE,2017,106.4,A01
DE,2018,106.2,A01
DE,2019,107.6,A01
DE,2020,108.0,A01
DE,2021,108.2,A01
DE,2022,109.0,A01
DE,2023,109.6,A01
DE,2024,109.3,A01
DK,2000,145.7,A01
DK,2001,149.0,A01
DK,2002,148.7,A01
DK,2003,150.3,A01
DK,2004,148.9,A01
DK,2005,149.0,A01
DK,2006,146.3,A01
DK,2007,142.1,A01
DK,2008,141.9,A01
DK,2009,143.5,A01
DK,2010,142.8,A01
DK,2011,142.6,A01
DK,2012,144.6,A01
DK,2013,143.3,A01
DK,2014,144.3,A01
DK,2015,143.5,A01
DK,2016,146.0,A01
DK,2017,143.4,A01
DK,2018,142.3,A01
DK,2019,143.5,A01
DK,2020,143.1,A01
DK,2021,141.6,A01
DK,2022,145.9,A01
DK,2023,141.8,A01
DK,2024,140.9,A01
EE,2000,53.2,A01
EE,2001,56.0,A01
EE,2002,56.0,A01
EE,2003,56.8,A01
EE,2004,58.2,A01
EE,2005,59.9,A01
EE,2006,64.1,A01
EE,2007,68.1,A01
EE,2008,70.5,A01
EE,2009,68.4,A01
EE,2010,67.4,A01
EE,2011,68.6,A01
EE,2012,69.8,A01
EE,2013,71.9,A01
EE,2014,72.8,A01
EE,2015,73.3,A01
EE,2016,74.6,A01
EE,2017,77.0,A01
EE,2018,79.6,A01
EE,2019,82.0,A01
EE,2020,82.4,A01
EE,2021,86.7,A01
EE,2022,95.6,A01
EE,2023,96.8,A01
EE,2024,97.3,A01
EL,2000,85.5,A01
EL,2001,83.5,A01
EL,2002,83.1,A01
EL,2003,86.5,A01
EL,2004,87.8,A01
EL,2005,89.1,A01
EL,2006,89.7,A01
EL,2007,92.7,A01
EL,2008,92.7,A01
EL,2009,94.8,A01
EL,2010,97.3,A01
EL,2011,96.8,A01
EL,2012,95.0,A01
EL,2013,90.4,A01
EL,2014,87.2,A01
EL,2015,86.1,A01
EL,2016,85.6,A01
EL,2017,84.4,A01
EL,2018,84.1,A01
EL,2019,84.8,A01
EL,2020,85.1,A01
EL,2021,83.9,A01
EL,2022,84.4,A01
EL,2023,83.2,A01
EL,2024,83.6,A01
ES,2000,90.1,A01
ES,2001,90.2,A01
ES,2002,89.5,A01
ES,2003,91.5,A01
ES,2004,93.1,A01
ES,2005,93.4,A01
ES,2006,93.5,A01
ES,2007,96.3,A01
ES,2008,97.1,A01
ES,2009,98.7,A01
ES,2010,100.6,A01
ES,2011,100.5,A01
ES,2012,99.0,A01
ES,2013,97.8,A01
ES,2014,96.5,A01
ES,2015,95.7,A01
ES,2016,96.2,A01
ES,2017,95.5,A01
ES,2018,96.8,A01
ES,2019,96.4,A01
ES,2020,99.0,A01
ES,2021,95.3,A01
ES,2022,93.3,A01
ES,2023,90.3,A01
ES,2024,90.9,A01
FI,2000,126.0,A01
FI,2001,129.5,A01
FI,2002,129.9,A01
FI,2003,130.1,A01
FI,2004,127.3,A01
FI,2005,127.2,A01
FI,2006,125.0,A01
FI,2007,120.9,A01
FI,2008,120.5,A01
FI,2009,122.6,A01
FI,2010,122.8,A01
FI,2011,124.0,A01
FI,2012,125.8,A01
FI,2013,127.6,A01
FI,2014,128.0,A01
FI,2015,127.2,A01
FI,2016,127.8,A01
FI,2017,126.3,A01
FI,2018,126.7,A01
FI,2019,128.4,A01
FI,2020,128.3,A01
FI,2021,128.6,A01
FI,2022,129.9,A01
FI,2023,129.8,A01
FI,2024,128.1,A01
FR,2000,109.8,A01
FR,2001,107.7,A01
FR,2002,107.5,A01
FR,2003,111.1,A01
FR,2004,112.6,A01
FR,2005,110.4,A01
FR,2006,111.1,A01
FR,2007,111.1,A01
FR,2008,112.0,A01
FR,2009,112.6,A01
FR,2010,112.1,A01
FR,2011,111.8,A01
FR,2012,112.3,A01
FR,2013,110.1,A01
FR,2014,110.4,A01
FR,2015,110.5,A01
FR,2016,110.2,A01
FR,2017,110.6,A01
FR,2018,110.9,A01
FR,2019,109.6,A01
FR,2020,108.9,A01
FR,2021,110.4,A01
FR,2022,109.2,A01
FR,2023,108.4,A01
FR,2024,107.6,A01
HR,2000,61.8,A01
HR,2001,64.8,A01
