geo,time,s80s20
AL,2017,7.47
AL,2018,6.98
AL,2019,6.38
AL,2020,5.86
AL,2021,5.72
AL,2022,5.12
AL,2023,4.9
AT,2003,4.07
AT,2004,3.77
AT,2005,3.81
AT,2006,3.66
AT,2007,3.77
AT,2008,4.19
AT,2009,4.15
AT,2010,4.34
AT,2011,4.12
AT,2012,4.2
AT,2013,4.11
AT,2014,4.13
AT,2015,4.05
AT,2016,4.09
AT,2017,4.29
AT,2018,4.04
AT,2019,4.17
AT,2020,4.11
AT,2021,4.0
AT,2022,4.25
AT,2023,4.28
AT,2024,4.34
BE,2003,4.35
BE,2004,3.91
BE,2005,4.04
BE,2006,4.17
BE,2007,3.87
BE,2008,4.06
BE,2009,3.91
BE,2010,3.92
BE,2011,3.86
BE,2012,3.95
BE,2013,3.81
BE,2014,3.81
BE,2015,3.83
BE,2016,3.85
BE,2017,3.84
BE,2018,3.79
BE,2019,3.6
BE,2020,3.63
BE,2021,3.41
BE,2022,3.53
BE,2023,3.39
BE,2024,3.45
BG,2006,5.12
BG,2007,6.98
BG,2008,6.48
BG,2009,5.91
BG,2010,5.86
BG,2011,6.46
BG,2012,6.12
BG,2013,6.59
BG,2014,6.81
BG,2015,7.11
BG,2016,7.69
BG,2017,8.23
BG,2018,7.66
BG,2019,8.1
BG,2020,8.01
BG,2021,7.45
BG,2022,7.3
BG,2023,6.61
BG,2024,6.96
CH,2007,4.71
CH,2008,4.86
CH,2009,4.76
CH,2010,4.48
CH,2011,4.52
CH,2012,4.4
CH,2013,4.22
CH,2014,4.42
CH,2015,4.48
CH,2016,4.42
CH,2017,4.63
CH,2018,4.5
CH,2019,4.75
CH,2020,4.89
CH,2021,4.86
CH,2022,4.77
CH,2023,4.94
CH,2024,4.81
CY,2005,4.34
CY,2006,4.27
CY,2007,4.44
CY,2008,4.3
CY,2009,4.37
CY,2010,4.54
CY,2011,4.34
CY,2012,4.67
CY,2013,4.91
CY,2014,5.37
CY,2015,5.2
CY,2016,4.88
CY,2017,4.56
CY,2018,4.29
CY,2019,4.69
CY,2020,4.28
CY,2021,4.23
CY,2022,4.22
CY,2023,4.23
CY,2024,4.4
CZ,2005,3.67
CZ,2006,3.53
CZ,2007,3.52
CZ,2008,3.43
CZ,2009,3.47
CZ,2010,3.47
CZ,2011,3.54
CZ,2012,3.49
CZ,2013,3.4
CZ,2014,3.5
CZ,2015,3.51
CZ,2016,3.5
CZ,2017,3.4
CZ,2018,3.32
CZ,2019,3.34
CZ,2020,3.34
CZ,2021,3.43
CZ,2022,3.48
CZ,2023,3.42
CZ,2024,3.32
DE,2005,3.79
DE,2006,4.06
DE,2007,4.93
DE,2008,4.76
DE,2009,4.48
DE,2010,4.49
DE,2011,4.46
DE,2012,4.3
DE,2013,4.6
DE,2014,5.12
DE,2015,4.8
DE,2016,4.62
DE,2017,4.49
DE,2018,5.07
DE,2019,4.89
DE,2020,4.87
DE,2021,4.98
DE,2022,4.38
DE,2023,4.44
DE,2024,4.49
DK,2003,3.58
DK,2004,3.42
DK,2005,3.5
DK,2006,3.44
DK,2007,3.73
DK,2008,3.63
DK,2009,4.61
DK,2010,4.41
DK,2011,3.98
DK,2012,3.94
DK,2013,4.01
DK,2014,4.12
DK,2015,4.08
DK,2016,4.06
DK,2017,4.08
DK,2018,4.11
DK,2019,4.09
DK,2020,4.0
DK,2021,3.93
DK,2022,4.03
DK,2023,4.15
DK,2024,4.16
EA,2005,4.61
EA,2006,4.64
EA,2007,4.82
EA,2008,4.87
EA,2009,4.82
EA,2010,4.86
EA,2011,4.98
EA,2012,4.97
EA,2013,5.04
EA,2014,5.22
EA,2015,5.16
EA,2016,5.15
EA,2017,5.05
EA,2018,5.07
EA,2019,4.98
EA,2020,4.93
EA,2021,5.02
EA18,2004,5.0
EA18,2005,4.63
EA18,2006,4.66
EA18,2007,4.83
EA18,2008,4.86
EA18,2009,4.84
EA18,2010,4.87
EA18,2011,4.99
EA18,2012,4.97
EA18,2013,5.04
EA18,2014,5.22
EA18,2015,5.14
EA18,2016,5.14
EA18,2017,5.03
EA18,2018,5.05
EA18,2019,4.97
EA18,2020,4.92
EA19,2004,5.0
EA19,2005,4.65
EA19,2006,4.68
EA19,2007,4.84
EA19,2008,4.87
EA19,2009,4.85
EA19,2010,4.9
EA19,2011,5.0
EA19,2012,4.98
EA19,2013,5.05
EA19,2014,5.23
EA19,2015,5.16
EA19,2016,5.15
EA19,2017,5.05
EA19,2018,5.07
EA19,2019,4.98
EA19,2020,4.93
EA19,2021,5.02
EA20,2014,5.22
EA20,2015,5.16
EA20,2016,5.15
EA20,2017,5.04
EA20,2018,5.07
EA20,2019,4.98
EA20,2020,4.92
EA20,2021,5.04
EA20,2022,4.78
EA20,2023,4.75
EA20,2024,4.78
EE,2004,7.2
EE,2005,5.93
EE,2006,5.51
EE,2007,5.54
EE,2008,4.99
EE,2009,5.01
EE,2010,5.01
EE,2011,5.35
EE,2012,5.41
EE,2013,5.54
EE,2014,6.48
EE,2015,6.21
EE,2016,5.56
EE,2017,5.42
EE,2018,5.07
EE,2019,5.08
EE,2020,5.03
EE,2021,5.03
EE,2022,5.39
EE,2023,5.37
EE,2024,5.03
EL,2003,6.38
EL,2004,5.92
EL,2005,5.79
EL,2006,6.05
EL,2007,6.01
EL,2008,5.89
EL,2009,5.76
EL,2010,5.61
EL,2011,5.96
EL,2012,6.63
EL,2013,6.6
EL,2014,6.46
EL,2015,6.51
EL,2016,6.55
EL,2017,6.11
EL,2018,5.51
EL,2019,5.11
EL,2020,5.23
EL,2021,5.79
EL,2022,5.2
EL,2023,5.28
EL,2024,5.27
ES,2004,5.23
ES,2005,5.55
ES,2006,5.52
ES,2007,5.48
ES,2008,5.59
ES,2009,5.87
ES,2010,6.16
ES,2011,6.28
ES,2012,6.47
ES,2013,6.29
ES,2014,6.81
ES,2015,6.87
ES,2016,6.6
ES,2017,6.59
ES,2018,6.03
ES,2019,5.94
ES,2020,5.77
ES,2021,6.19
ES,2022,5.63
ES,2023,5.5
ES,2024,5.39
EU,2008,5.01
EU,2009,4.92
EU,2010,4.94
EU,2011,5.03
EU,2012,4.98
EU,2013,5.0
EU,2014,5.2
EU,2015,5.22
EU,2016,5.16
EU,2017,5.08
EU,2018,5.12
EU,2019,5.07
EU27_2007,2005,5.03
EU27_2007,2006,4.95
EU27_2007,2007,5.02
EU27_2007,2008,5.01
EU27_2007,2009,4.92
EU27_2007,2010,4.94
EU27_2007,2011,5.03
EU27_2007,2012,4.98
EU27_2007,2013,5.0
EU27_2007,2014,5.2
EU27_2007,2015,5.22
EU27_2007,2016,5.16
EU27_2007,2017,5.08
EU27_2007,2018,5.12
EU27_2007,2019,5.08
EU27_2020,2010,4.89
EU27_2020,2011,4.99
EU27_2020,2012,4.98
EU27_2020,2013,5.05
EU27_2020,2014,5.22
EU27_2020,2015,5.22
EU27_2020,2016,5.16
EU27_2020,2017,5.03
EU27_2020,2018,5.05
EU27_2020,2019,4.99
EU27_2020,2020,4.89
EU27_2020,2021,4.98
EU27_2020,2022,4.74
EU27_2020,2023,4.72
EU27_2020,2024,4.66
EU28,2010,4.94
EU28,2011,5.03
EU28,2012,4.98
EU28,2013,5.0
EU28,2014,5.2
EU28,2015,5.22
EU28,2016,5.16
EU28,2017,5.08
EU28,2018,5.12
EU28,2019,5.07
FI,2004,3.54
FI,2005,3.64
FI,2006,3.64
FI,2007,3.71
FI,2008,3.76
FI,2009,3.71
FI,2010,3.61
FI,2011,3.69
FI,2012,3.69
FI,2013,3.59
FI,2014,3.62
FI,2015,3.56
FI,2016,3.58
FI,2017,3.54
FI,2018,3.65
FI,2019,3.69
FI,2020,3.72
FI,2021,3.58
FI,2022,3.75
FI,2023,3.78
FI,2024,3.73
FR,2004,4.16
FR,2005,4.02
FR,2006,3.98
FR,2007,3.88
FR,2008,4.4
FR,2009,4.42
FR,2010,4.43
FR,2011,4.61
FR,2012,4.54
FR,2013,4.48
FR,2014,4.27
FR,2015,4.29
FR,2016,4.32
FR,2017,4.31
FR,2018,4.23
FR,2019,4.27
FR,2020,4.42
FR,2021,4.41
FR,2022,4.6
FR,2023,4.63
FR,2024,4.66
HR,2010,5.54
HR,2011,5.58
HR,2012,5.36
HR,2013,5.34
HR,2014,4.91
HR,2015,5.14
HR,2016,4.9
HR,2017,4.97
HR,2018,5.0
HR,2019,4.74
HR,2020,4.59
HR,2021,4.77
HR,2022,4.57
HR,2023,4.91
HR,2024,4.97
HU,2005,4.04
HU,2006,5.48
HU,2007,3.67
HU,2008,3.6
HU,2009,3.51
HU,2010,3.41
HU,2011,3.94
HU,2012,4.0
HU,2013,4.29
HU,2014,4.33
HU,2015,4.3
HU,2016,4.26
HU,2017,4.27
HU,2018,4.35
HU,2019,4.23
HU,2020,4.24
HU,2021,4.16
HU,2022,4.16
HU,2023,4.43
HU,2024,4.39
IE,2003,4.95
IE,2004,4.94
IE,2005,5.01
IE,2006,4.86
IE,2007,4.82
IE,2008,4.43
IE,2009,4.24
IE,2010,4.7
IE,2011,4.63
IE,2012,4.82
IE,2013,4.73
IE,2014,4.9
IE,2015,4.5
IE,2016,4.45
IE,2017,4.63
IE,2018,4.23
IE,2019,4.02
IE,2020,3.92
IE,2021,3.75
IE,2022,3.81
IE,2023,3.86
IE,2024,3.74
IS,2004,3.4
IS,2005,3.51
IS,2006,3.74
IS,2007,3.95
IS,2008,3.84
IS,2009,4.22
IS,2010,3.61
IS,2011,3.32
IS,2012,3.36
IS,2013,3.36
IS,2014,3.12
IS,2015,3.43
IS,2016,3.33
IS,2017,3.59
IS,2018,3.21
IS,2019,3.35
IS,2020,3.41
IT,2004,5.62
IT,2005,5.57
IT,2006,5.45
IT,2007,5.42
IT,2008,5.21
IT,2009,5.31
IT,2010,5.38
IT,2011,5.73
IT,2012,5.64
IT,2013,5.85
IT,2014,5.78
IT,2015,5.84
IT,2016,6.27
IT,2017,5.92
IT,2018,6.09
IT,2019,6.01
IT,2020,5.75
IT,2021,5.86
IT,2022,5.62
IT,2023,5.27
IT,2024,5.53
LT,2005,6.95
LT,2006,6.34
LT,2007,5.91
LT,2008,6.11
LT,2009,6.39
LT,2010,7.35
LT,2011,5.84
LT,2012,5.32
LT,2013,6.05
LT,2014,6.1
LT,2015,7.46
LT,2016,7.06
LT,2017,7.28
LT,2018,7.09
LT,2019,6.44
LT,2020,6.14
LT,2021,6.14
LT,2022,6.39
LT,2023,6.32
LT,2024,6.54
LU,2003,4.06
LU,2004,3.92
LU,2005,3.87
LU,2006,4.18
LU,2007,4.02
LU,2008,4.11
LU,2009,4.31
LU,2010,4.1
LU,2011,3.97
LU,2012,4.13
LU,2013,4.59
LU,2014,4.42
LU,2015,4.26
LU,2016,4.62
LU,2017,4.56
LU,2018,5.18
LU,2019,5.34
LU,2020,4.99
LU,2021,4.59
LU,2022,4.51
LU,2023,4.79
LU,2024,4.68
LV,2005,6.69
LV,2006,7.76
LV,2007,6.37
LV,2008,7.27
LV,2009,7.4
LV,2010,6.84
LV,2011,6.5
LV,2012,6.47
LV,2013,6.32
LV,2014,6.48
LV,2015,6.51
LV,2016,6.2
LV,2017,6.3
LV,2018,6.78
LV,2019,6.54
LV,2020,6.27
LV,2021,6.63
LV,2022,6.33
LV,2023,6.2
LV,2024,6.28
ME,2013,8.54
ME,2014,7.27
ME,2015,7.48
ME,2016,7.38
ME,2017,7.57
ME,2018,7.37
ME,2019,6.72
ME,2020,5.96
ME,2021,5.81
ME,2022,5.55
ME,2023,5.09
MK,2012,10.2
MK,2013,8.37
MK,2014,7.22
MK,2015,6.62
MK,2016,6.63
MK,2017,6.38
MK,2018,6.16
MK,2019,5.56
MK,2020,5.92
MK,2021,5.62
MK,2022,5.39
MK,2023,5.6
