geo,time,saving_rate
AT,2015,13.02
AT,2016,13.74
AT,2017,12.82
AT,2018,13.41
AT,2019,13.04
AT,2020,19.15
AT,2021,17.25
AT,2022,15.24
AT,2023,14.75
AT,2024,17.34
BE,2015,11.59
BE,2016,11.47
BE,2017,11.11
BE,2018,10.87
BE,2019,12.12
BE,2020,19.07
BE,2021,16.64
BE,2022,12.9
BE,2023,14.02
BE,2024,12.92
BG,2015,-1.55
BG,2016,-1.55
BG,2017,-0.77
BG,2018,2.86
BG,2019,-0.77
BG,2020,-1.09
BG,2021,-5.56
BG,2022,-6.63
CH,2015,22.45
CH,2016,21.9
CH,2017,20.95
CH,2018,20.42
CH,2019,21.69
CH,2020,26.06
CH,2021,25.52
CH,2022,22.33
CH,2023,21.97
CY,2015,2.0
CY,2016,2.91
CY,2017,2.52
CY,2018,4.01
CY,2019,6.41
CY,2020,13.58
CY,2021,14.76
CY,2022,5.6
CY,2023,5.7
CY,2024,5.57
CZ,2015,11.08
CZ,2016,10.44
CZ,2017,10.77
CZ,2018,11.53
CZ,2019,11.88
CZ,2020,18.73
CZ,2021,19.57
CZ,2022,18.2
CZ,2023,20.55
CZ,2024,19.7
DE,2015,17.24
DE,2016,17.15
DE,2017,17.57
DE,2018,18.2
DE,2019,17.93
DE,2020,23.24
DE,2021,21.99
DE,2022,18.9
DE,2023,19.25
DE,2024,20.04
DK,2015,8.37
DK,2016,8.87
DK,2017,9.59
DK,2018,9.5
DK,2019,7.91
DK,2020,9.16
DK,2021,6.79
DK,2022,11.09
DK,2023,14.83
DK,2024,14.32
EA21,2015,12.44
EA21,2016,12.48
EA21,2017,12.39
EA21,2018,12.44
EA21,2019,12.95
EA21,2020,19.31
EA21,2021,17.17
EA21,2022,13.37
EA21,2023,14.1
EA21,2024,14.94
EE,2015,8.4
EE,2016,7.44
EE,2017,8.0
EE,2018,10.94
EE,2019,10.12
EE,2020,12.96
EE,2021,8.37
EE,2022,1.99
EE,2023,3.55
EE,2024,7.3
EL,2015,-1.63
EL,2016,-2.24
EL,2017,-4.26
EL,2018,-7.01
EL,2019,-2.42
EL,2020,0.65
EL,2021,4.43
EL,2022,-4.99
EL,2023,-2.44
EL,2024,-2.51
ES,2015,7.93
ES,2016,7.71
ES,2017,6.3
ES,2018,6.1
ES,2019,8.61
ES,2020,17.62
ES,2021,14.26
ES,2022,8.98
ES,2023,11.68
ES,2024,12.74
EU27_2020,2015,11.48
EU27_2020,2016,11.74
EU27_2020,2017,11.57
EU27_2020,2018,11.58
EU27_2020,2019,12.21
EU27_2020,2020,18.29
EU27_2020,2021,16.25
EU27_2020,2022,12.67
EU27_2020,2023,13.57
EU27_2020,2024,14.52
FI,2015,8.23
FI,2016,7.75
FI,2017,8.52
FI,2018,9.26
FI,2019,11.05
FI,2020,14.46
FI,2021,12.48
FI,2022,10.01
FI,2023,10.94
FI,2024,12.23
FR,2015,13.61
FR,2016,13.41
FR,2017,13.67
FR,2018,13.54
FR,2019,14.24
FR,2020,20.03
FR,2021,18.67
FR,2022,16.51
FR,2023,16.72
FR,2024,17.93
HR,2015,8.16
HR,2016,10.64
HR,2017,8.91
HR,2018,9.41
HR,2019,9.22
HR,2020,13.29
HR,2021,12.71
HR,2022,8.03
HR,2023,8.04
HR,2024,9.04
HU,2015,12.81
HU,2016,12.54
HU,2017,12.93
HU,2018,15.3
HU,2019,16.17
