freq,rskpovth,hhcomp,tenure,unit,geo,time,value,geo_label
A,TOTAL,TOTAL,OWN,PC,AL,2017,96.5,Albania
A,TOTAL,TOTAL,OWN,PC,AL,2018,96.1,Albania
A,TOTAL,TOTAL,OWN,PC,AL,2019,96.5,Albania
A,TOTAL,TOTAL,OWN,PC,AL,2020,96.3,Albania
A,TOTAL,TOTAL,OWN,PC,AL,2021,95.9,Albania
A,TOTAL,TOTAL,OWN,PC,AL,2022,96.0,Albania
A,TOTAL,TOTAL,OWN,PC,AL,2023,95.5,Albania
A,TOTAL,TOTAL,OWN,PC,AT,2007,59.2,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2008,57.9,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2009,57.6,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2010,57.4,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2011,52.4,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2012,57.5,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2013,57.3,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2014,57.2,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2015,55.7,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2016,55.0,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2017,55.0,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2018,55.4,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2019,55.2,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2020,55.3,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2021,54.2,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2022,51.4,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2023,54.3,Austria
A,TOTAL,TOTAL,OWN,PC,AT,2024,54.5,Austria
A,TOTAL,TOTAL,OWN,PC,BE,2003,72.7,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2004,72.2,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2005,72.2,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2006,73.7,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2007,72.9,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2008,73.1,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2009,72.7,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2010,71.6,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2011,71.8,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2012,72.4,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2013,72.3,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2014,72.0,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2015,71.4,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2016,70.9,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2017,72.4,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2018,72.3,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2019,71.4,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2020,71.1,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2021,71.3,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2022,72.4,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2023,71.9,Belgium
A,TOTAL,TOTAL,OWN,PC,BE,2024,70.3,Belgium
A,TOTAL,TOTAL,OWN,PC,BG,2005,85.4,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2006,85.4,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2007,87.6,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2008,87.1,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2009,86.8,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2010,86.9,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2011,87.2,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2012,87.4,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2013,85.7,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2014,84.3,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2015,82.3,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2016,82.3,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2017,82.9,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2018,83.6,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2019,84.1,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2020,84.3,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2021,84.9,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2022,85.0,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2023,86.1,Bulgaria
A,TOTAL,TOTAL,OWN,PC,BG,2024,86.0,Bulgaria
A,TOTAL,TOTAL,OWN,PC,CH,2010,44.4,Switzerland
A,TOTAL,TOTAL,OWN,PC,CH,2011,43.8,Switzerland
A,TOTAL,TOTAL,OWN,PC,CH,2012,43.8,Switzerland
A,TOTAL,TOTAL,OWN,PC,CH,2013,44.0,Switzerland
