geo,time,unemployment_rate
AT,2009,5.7
AT,2010,5.2
AT,2011,4.9
AT,2012,5.2
AT,2013,5.7
AT,2014,6.0
AT,2015,6.1
AT,2016,6.5
AT,2017,5.9
AT,2018,5.2
AT,2019,4.8
AT,2020,6.0
AT,2021,6.2
AT,2022,4.8
AT,2023,5.1
AT,2024,5.2
AT,2025,5.7
BE,2009,8.0
BE,2010,8.4
BE,2011,7.2
BE,2012,7.6
BE,2013,8.6
BE,2014,8.7
BE,2015,8.7
BE,2016,7.9
BE,2017,7.2
BE,2018,6.0
BE,2019,5.5
BE,2020,5.8
BE,2021,6.3
BE,2022,5.6
BE,2023,5.5
BE,2024,5.7
BE,2025,6.2
BG,2009,7.9
BG,2010,11.3
BG,2011,12.3
BG,2012,13.3
BG,2013,13.9
BG,2014,12.4
BG,2015,10.1
BG,2016,8.6
BG,2017,7.2
BG,2018,6.2
BG,2019,5.2
BG,2020,6.1
BG,2021,5.2
BG,2022,4.2
BG,2023,4.3
BG,2024,4.2
BG,2025,3.5
CY,2009,5.4
CY,2010,6.3
CY,2011,7.9
CY,2012,11.9
CY,2013,15.9
CY,2014,16.1
CY,2015,15.0
CY,2016,13.0
CY,2017,11.1
CY,2018,8.4
CY,2019,7.2
CY,2020,7.6
CY,2021,7.2
CY,2022,6.3
CY,2023,5.8
CY,2024,4.8
CY,2025,4.4
CZ,2009,6.7
CZ,2010,7.3
CZ,2011,6.7
CZ,2012,7.0
CZ,2013,7.0
CZ,2014,6.1
CZ,2015,5.1
CZ,2016,4.0
CZ,2017,2.9
CZ,2018,2.2
CZ,2019,2.0
CZ,2020,2.6
CZ,2021,2.8
CZ,2022,2.2
CZ,2023,2.6
CZ,2024,2.6
CZ,2025,2.8
DE,2009,7.3
DE,2010,6.6
DE,2011,5.5
DE,2012,5.1
DE,2013,4.9
DE,2014,4.7
DE,2015,4.4
DE,2016,3.9
DE,2017,3.5
DE,2018,3.2
DE,2019,2.9
DE,2020,3.6
DE,2021,3.6
DE,2022,3.1
DE,2023,3.1
DE,2024,3.5
DE,2025,3.8
DK,2009,6.4
DK,2010,7.7
DK,2011,7.8
DK,2012,7.8
DK,2013,7.4
DK,2014,6.9
DK,2015,6.3
DK,2016,6.0
DK,2017,5.8
DK,2018,5.1
DK,2019,5.0
DK,2020,5.6
DK,2021,5.1
DK,2022,4.5
DK,2023,5.1
DK,2024,6.2
DK,2025,6.4
EE,2009,13.5
EE,2010,16.6
EE,2011,12.3
EE,2012,9.9
EE,2013,8.6
EE,2014,7.3
