geo,time,unexpected_expenses
AL,2017,53.0
AL,2018,47.0
AL,2019,44.3
AL,2020,38.3
AL,2021,40.4
AL,2022,37.2
AL,2023,36.9
AT,2015,22.6
AT,2016,22.6
AT,2017,20.6
AT,2018,20.1
AT,2019,18.5
AT,2020,17.6
AT,2021,18.6
AT,2022,19.0
AT,2023,22.8
AT,2024,20.9
BE,2015,25.7
BE,2016,26.0
BE,2017,25.5
BE,2018,24.5
BE,2019,25.3
BE,2020,23.2
BE,2021,22.3
BE,2022,22.7
BE,2023,21.6
BE,2024,21.6
BG,2015,53.4
BG,2016,54.2
BG,2017,53.2
BG,2018,32.1
BG,2019,36.5
BG,2020,43.5
BG,2021,36.4
BG,2022,42.4
BG,2023,46.7
BG,2024,45.6
CH,2015,21.5
CH,2016,21.1
CH,2017,20.7
CH,2018,20.4
CH,2019,20.3
CH,2020,19.4
CH,2021,18.6
CH,2022,18.4
CH,2023,18.8
CH,2024,20.0
CY,2015,60.5
CY,2016,56.6
CY,2017,50.1
CY,2018,49.5
CY,2019,46.7
CY,2020,43.7
CY,2021,42.1
CY,2022,40.3
CY,2023,37.5
CY,2024,34.8
CZ,2015,36.0
CZ,2016,32.1
CZ,2017,28.1
CZ,2018,23.7
CZ,2019,21.8
CZ,2020,19.6
CZ,2021,18.1
CZ,2022,17.5
CZ,2023,19.7
CZ,2024,19.2
DE,2015,30.4
DE,2016,30.0
DE,2017,29.3
DE,2018,28.1
DE,2019,26.0
DE,2020,37.6
DE,2021,32.3
DE,2022,33.9
DE,2023,35.0
DE,2024,32.2
DK,2015,26.5
DK,2016,24.5
DK,2017,25.1
DK,2018,25.2
DK,2019,22.9
DK,2020,22.7
DK,2021,19.5
DK,2022,20.2
DK,2023,23.1
DK,2024,21.1
EA,2015,35.1
EA,2016,34.6
EA,2017,32.9
EA,2018,31.9
EA,2019,30.5
EA,2020,32.8
EA,2021,30.1
EA17,2015,36.0
EA18,2015,34.9
EA18,2016,34.4
EA18,2017,32.7
EA18,2018,31.8
EA18,2019,30.4
EA18,2020,32.8
EA19,2015,35.1
EA19,2016,34.6
EA19,2017,32.9
EA19,2018,31.9
EA19,2019,30.5
EA19,2020,32.8
EA19,2021,30.1
EA20,2015,35.4
EA20,2016,34.9
EA20,2017,33.2
EA20,2018,32.2
EA20,2019,30.8
EA20,2020,33.0
EA20,2021,30.4
EA20,2022,31.8
EA20,2023,31.4
EA20,2024,30.6
EE,2015,36.7
EE,2016,31.6
EE,2017,36.3
EE,2018,34.7
EE,2019,31.4
EE,2020,30.5
EE,2021,27.1
EE,2022,31.2
EE,2023,30.4
EE,2024,34.7
EL,2015,53.4
EL,2016,53.6
EL,2017,52.7
EL,2018,50.4
EL,2019,47.8
EL,2020,50.7
EL,2021,46.3
EL,2022,43.6
EL,2023,44.3
EL,2024,43.9
ES,2015,39.8
ES,2016,38.7
ES,2017,36.6
ES,2018,35.9
ES,2019,33.9
ES,2020,35.4
ES,2021,33.5
ES,2022,35.5
ES,2023,37.2
ES,2024,35.9
EU,2015,37.5
EU,2016,36.4
EU,2017,33.8
EU,2018,32.5
EU,2019,31.3
EU15,2015,36.2
EU27_2007,2015,37.3
EU27_2007,2016,36.2
EU27_2007,2017,33.6
EU27_2007,2018,32.4
EU27_2007,2019,31.2
EU27_2020,2015,37.4
EU27_2020,2016,36.2
EU27_2020,2017,34.0
EU27_2020,2018,32.2
EU27_2020,2019,30.8
EU27_2020,2020,32.5
EU27_2020,2021,30.2
EU27_2020,2022,31.6
EU27_2020,2023,31.2
EU27_2020,2024,30.0
EU28,2015,37.5
EU28,2016,36.4
EU28,2017,33.8
EU28,2018,32.5
EU28,2019,31.3
FI,2015,28.4
FI,2016,29.4
FI,2017,28.5
FI,2018,27.2
FI,2019,26.4
FI,2020,25.4
FI,2021,23.5
FI,2022,23.2
FI,2023,26.0
FI,2024,27.3
FR,2015,32.8
FR,2016,31.8
FR,2017,29.6
FR,2018,31.4
FR,2019,30.6
FR,2020,30.5
FR,2021,27.6
FR,2022,31.4
FR,2023,29.4
FR,2024,29.4
HR,2015,59.8
HR,2016,57.7
HR,2017,56.2
HR,2018,52.9
HR,2019,51.7
HR,2020,48.9
HR,2021,46.5
HR,2022,44.8
HR,2023,41.4
HR,2024,34.9
HU,2015,72.2
HU,2016,50.8
HU,2017,31.5
HU,2018,33.3
HU,2019,32.9
HU,2020,35.3
HU,2021,34.9
HU,2022,33.7
HU,2023,31.3
HU,2024,28.6
IE,2015,50.2
IE,2016,45.2
IE,2017,41.6
IE,2018,37.3
