geo,time,youth_unemployment_rate
AT,2009,11.3
AT,2010,10.1
AT,2011,9.5
AT,2012,10.0
AT,2013,10.3
AT,2014,11.0
AT,2015,11.3
AT,2016,12.0
AT,2017,10.5
AT,2018,10.0
AT,2019,9.1
AT,2020,11.7
AT,2021,11.0
AT,2022,9.5
AT,2023,10.4
AT,2024,10.3
BA,2021,38.3
BA,2022,35.1
BA,2023,30.1
BA,2024,30.2
BE,2009,22.0
BE,2010,22.4
BE,2011,18.9
BE,2012,20.0
BE,2013,23.9
BE,2014,23.4
BE,2015,22.5
BE,2016,20.3
BE,2017,19.4
BE,2018,16.0
BE,2019,14.5
BE,2020,15.9
BE,2021,18.2
BE,2022,16.4
BE,2023,16.1
BE,2024,17.4
BG,2009,19.4
BG,2010,25.1
BG,2011,28.2
BG,2012,31.2
BG,2013,31.5
BG,2014,26.9
BG,2015,24.7
BG,2016,20.4
BG,2017,16.1
BG,2018,15.9
BG,2019,12.1
BG,2020,17.5
BG,2021,15.8
BG,2022,10.6
BG,2023,12.1
BG,2024,12.3
CH,2010,8.2
CH,2011,7.7
CH,2012,8.3
CH,2013,8.7
CH,2014,8.6
CH,2015,8.8
CH,2016,8.6
CH,2017,8.1
CH,2018,7.9
CH,2019,8.0
CH,2020,8.6
CH,2021,8.3
CH,2022,6.8
CH,2023,7.9
CH,2024,8.2
CY,2009,13.8
CY,2010,16.6
CY,2011,22.4
CY,2012,27.7
CY,2013,38.9
CY,2014,36.0
CY,2015,32.8
CY,2016,29.1
CY,2017,24.7
CY,2018,20.2
CY,2019,17.6
CY,2020,17.6
CY,2021,17.3
CY,2022,18.1
CY,2023,16.5
CY,2024,13.0
CZ,2009,16.6
CZ,2010,18.3
CZ,2011,18.1
CZ,2012,19.5
CZ,2013,19.0
CZ,2014,15.9
CZ,2015,12.6
CZ,2016,10.5
CZ,2017,7.9
CZ,2018,6.7
CZ,2019,5.6
CZ,2020,8.0
CZ,2021,8.2
CZ,2022,6.8
CZ,2023,8.3
CZ,2024,9.1
DE,2009,11.9
DE,2010,10.5
DE,2011,9.1
DE,2012,8.6
DE,2013,8.3
DE,2014,8.2
DE,2015,7.7
DE,2016,7.5
DE,2017,7.2
DE,2018,6.6
DE,2019,6.1
DE,2020,7.9
DE,2021,7.0
DE,2022,6.0
DE,2023,5.9
DE,2024,6.6
DK,2009,13.5
DK,2010,15.6
DK,2011,16.4
DK,2012,15.8
DK,2013,14.8
DK,2014,14.2
DK,2015,12.2
DK,2016,12.2
DK,2017,12.4
DK,2018,10.5
DK,2019,10.1
DK,2020,11.7
DK,2021,10.8
DK,2022,10.6
DK,2023,11.5
DK,2024,14.6
EA20,2009,21.3
EA20,2010,22.1
EA20,2011,22.1
EA20,2012,24.3
EA20,2013,25.2
EA20,2014,24.5
EA20,2015,23.1
EA20,2016,21.6
EA20,2017,19.4
EA20,2018,17.6
EA20,2019,16.3
EA20,2020,18.2
EA20,2021,17.0
EA20,2022,14.6
EA20,2023,14.5
EA20,2024,14.7
EA21,2009,21.2
