geo,time,real_gdp_pc
EA19,2000,30330
EA19,2001,30890
EA19,2002,31010
EA19,2003,31060
EA19,2004,31600
EA19,2005,31980
EA19,2006,32890
EA19,2007,33700
EA19,2008,33670
EA19,2009,32070
EA19,2010,32660
EA19,2011,33140
EA19,2012,32760
EA19,2013,32660
EA19,2014,33080
EA19,2015,33690
EA19,2016,34200
EA19,2017,35030
EA19,2018,35570
EA19,2019,36050
EA19,2020,33830
EA19,2021,35990
EA19,2022,37110
EA19,2023,37030
EA19,2024,37240
EA19,2025,37570
EA20,2000,30040
EA20,2001,30600
EA20,2002,30730
EA20,2003,30790
EA20,2004,31330
EA20,2005,31710
EA20,2006,32620
EA20,2007,33420
EA20,2008,33400
EA20,2009,31810
EA20,2010,32390
EA20,2011,32870
EA20,2012,32500
EA20,2013,32400
EA20,2014,32820
EA20,2015,33430
EA20,2016,33940
EA20,2017,34770
EA20,2018,35320
EA20,2019,35800
EA20,2020,33590
EA20,2021,35750
EA20,2022,36880
EA20,2023,36800
EA20,2024,37020
EA20,2025,37350
EL,2000,16120
EL,2001,16780
EL,2002,17510
EL,2003,18480
EL,2004,19420
EL,2005,19590
EL,2006,20790
EL,2007,21470
EL,2008,21420
EL,2009,20490
EL,2010,19300
EL,2011,17420
EL,2012,16050
EL,2013,15800
EL,2014,16030
EL,2015,16100
EL,2016,16160
EL,2017,16430
EL,2018,16810
EL,2019,17210
EL,2020,15660
EL,2021,17110
EL,2022,18160
EL,2023,18600
EL,2024,19020
EL,2025,19400
EU27_2020,2000,25660
EU27_2020,2001,26170
EU27_2020,2002,26390
EU27_2020,2003,26530
EU27_2020,2004,27110
EU27_2020,2005,27530
EU27_2020,2006,28410
EU27_2020,2007,29200
EU27_2020,2008,29280
EU27_2020,2009,27970
EU27_2020,2010,28520
EU27_2020,2011,29030
EU27_2020,2012,28760
EU27_2020,2013,28740
EU27_2020,2014,29180
EU27_2020,2015,29810
EU27_2020,2016,30330
EU27_2020,2017,31140
EU27_2020,2018,31730
EU27_2020,2019,32270
EU27_2020,2020,30500
EU27_2020,2021,32470
EU27_2020,2022,33420
EU27_2020,2023,33390
EU27_2020,2024,33700
EU27_2020,2025,34100
