geo,time,real_hh_income_idx2008
EL,2005,88.85
EL,2006,93.88
EL,2007,96.47
EL,2008,100.0
EL,2009,100.38
EL,2010,86.87
EL,2011,76.85
EL,2012,67.06
EL,2013,64.23
EL,2014,65.89
EL,2015,67.79
EL,2016,67.88
EL,2017,68.39
EL,2018,68.3
EL,2019,73.3
EL,2020,71.04
EL,2021,78.03
EL,2022,78.05
EL,2023,82.07
EL,2024,84.13
EU27_2020,2005,96.1
EU27_2020,2006,97.99
EU27_2020,2007,99.33
EU27_2020,2008,100.0
EU27_2020,2009,100.13
EU27_2020,2010,99.65
EU27_2020,2011,99.47
EU27_2020,2012,97.72
EU27_2020,2013,97.16
EU27_2020,2014,98.17
EU27_2020,2015,100.06
EU27_2020,2016,102.26
EU27_2020,2017,103.99
EU27_2020,2018,105.77
EU27_2020,2019,107.97
EU27_2020,2020,108.02
EU27_2020,2021,110.75
EU27_2020,2022,111.08
EU27_2020,2023,111.9
EU27_2020,2024,114.52
EU27_2020,2025,115.57
