geo,time,severe_mat_deprivation_legacy
EA19,2005,6.3
EA19,2006,6.0
EA19,2007,5.6
EA19,2008,5.9
EA19,2009,6.0
EA19,2010,6.1
EA19,2011,6.9
EA19,2012,7.8
EA19,2013,7.5
EA19,2014,7.4
EA19,2015,7.0
EA19,2016,6.6
EA19,2017,5.9
EA19,2018,5.5
EA19,2019,4.9
EA19,2020,5.7
EA20,2014,7.4
EA20,2015,7.1
EA20,2016,6.7
EA20,2017,6.0
EA20,2018,5.5
EA20,2019,5.0
EA20,2020,5.7
EL,2003,16.9
EL,2004,14.1
EL,2005,12.8
EL,2006,11.5
EL,2007,11.5
EL,2008,11.2
EL,2009,11.0
EL,2010,11.6
EL,2011,15.2
EL,2012,19.5
EL,2013,20.3
EL,2014,21.5
EL,2015,22.2
EL,2016,22.4
EL,2017,21.1
EL,2018,16.7
EL,2019,16.2
EL,2020,16.6
EU,2008,8.5
EU,2009,8.2
EU,2010,8.4
EU,2011,8.8
EU,2012,9.9
EU,2013,9.6
EU,2014,8.9
EU,2015,8.1
EU,2016,7.5
EU,2017,6.6
EU,2018,5.9
EU,2019,5.3
EU27_2007,2005,10.8
EU27_2007,2006,9.9
EU27_2007,2007,9.2
EU27_2007,2008,8.5
EU27_2007,2009,8.2
EU27_2007,2010,8.4
EU27_2007,2011,8.8
EU27_2007,2012,9.9
EU27_2007,2013,9.6
EU27_2007,2014,8.9
EU27_2007,2015,8.1
EU27_2007,2016,7.5
EU27_2007,2017,6.6
EU27_2007,2018,5.9
EU27_2007,2019,5.3
EU27_2020,2010,8.9
EU27_2020,2011,9.4
EU27_2020,2012,10.2
EU27_2020,2013,9.8
EU27_2020,2014,9.1
EU27_2020,2015,8.4
EU27_2020,2016,7.9
EU27_2020,2017,6.9
EU27_2020,2018,6.1
EU27_2020,2019,5.4
EU27_2020,2020,5.9
EU28,2010,8.4
EU28,2011,8.8
EU28,2012,9.9
EU28,2013,9.6
EU28,2014,8.9
EU28,2015,8.1
EU28,2016,7.5
EU28,2017,6.6
EU28,2018,5.9
EU28,2019,5.3
